@relation 'magic04_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.5-A12-M-1'

@attribute 0.449fSize-0.442fConc-0.429fConc1+0.408fLength+0.395fWidth+0.257fDist-0.145fAsym-0.097fAlpha+0.012fM3Trans+0.005fM3Long numeric
@attribute '0.6  fM3Long+0.487fAsym-0.457fAlpha-0.245fWidth-0.226fLength-0.196fConc1-0.188fConc+0.093fSize-0.031fM3Trans+0.012fDist' numeric
@attribute class {g,h}

@data
-0.317539,0.567132,g
-1.200966,-0.466992,g
1.487634,1.590546,g
0.395116,0.529912,g
-2.249441,-1.071521,g
-1.338339,0.186329,g
0.254541,1.55359,g
-1.847307,0.406767,g
1.494365,1.014343,g
3.187938,1.141224,g
0.014297,0.985729,g
0.701586,1.284504,g
2.612584,1.982554,g
-1.247165,-1.449586,g
-1.735166,0.227441,g
-3.008278,-0.376144,g
2.854208,2.492331,g
-1.382718,-0.714272,g
-0.239409,0.897619,g
-0.149179,1.114057,g
0.612864,1.38631,g
2.1927,0.716142,g
1.481932,0.876684,g
2.611578,1.35451,g
0.602815,0.333883,g
-2.340106,-0.635936,g
-1.039672,0.333189,g
-1.093339,-1.320305,g
-0.56586,0.125983,g
-2.230283,-1.198359,g
0.65922,1.525023,g
1.158993,-0.699339,g
-0.309509,-0.156727,g
0.132193,0.477674,g
0.447439,-0.039931,g
-1.08121,0.716081,g
1.346332,0.212772,g
-0.760303,-0.308102,g
-0.534077,-0.454553,g
1.200651,1.607257,g
-1.898752,-1.050898,g
-0.702652,0.047054,g
-2.182939,-0.529947,g
-0.867548,0.544032,g
-1.174013,-0.121213,g
-3.85813,-0.865073,g
-2.9733,-0.200746,g
-0.027108,0.41293,g
2.085795,2.76282,g
-0.201678,-0.075059,g
-3.081502,-1.158441,g
-1.274077,-0.447628,g
-1.91168,0.610364,g
1.651515,0.510279,g
3.946119,0.059074,g
0.890978,-0.398252,g
-1.359042,0.291226,g
0.908701,1.852638,g
1.950521,2.144763,g
2.691071,1.733813,g
-1.08724,0.289251,g
0.970703,1.121296,g
0.792703,1.665997,g
-2.268634,-1.057874,g
-1.881394,-0.02838,g
-1.256267,-0.18837,g
0.369177,0.339822,g
-0.063814,0.606476,g
0.764039,0.362155,g
-1.993959,-1.146112,g
-1.571281,0.101926,g
-1.338518,0.2312,g
-1.814993,-0.070682,g
-1.384985,-0.427568,g
1.79008,-0.412999,g
-3.049267,-0.442062,g
0.801391,1.439058,g
-3.285094,-1.567582,g
-2.201653,0.233593,g
-2.374399,0.167054,g
0.182051,1.437923,g
-0.559302,0.758779,g
2.52739,2.017085,g
-3.703399,-1.193684,g
0.753444,0.295391,g
0.881917,0.970996,g
2.928335,0.727838,g
2.003227,1.666796,g
-1.648016,0.279261,g
0.985328,0.254472,g
-1.514069,-0.473739,g
-2.448146,-0.081767,g
-3.065807,0.119463,g
3.939351,0.849173,g
0.216288,1.271047,g
-0.077952,0.850028,g
0.347725,0.211776,g
1.700058,-0.326915,g
-1.873735,-0.042627,g
1.987012,1.655499,g
1.315287,0.649862,g
-2.801468,-1.591631,g
-1.65262,0.357193,g
-0.956062,0.680492,g
-0.86355,0.100064,g
-2.471505,-0.769975,g
-1.565122,-0.163191,g
0.523895,-1.08598,g
1.206577,0.870888,g
-2.779817,-0.249602,g
-2.106628,-0.961724,g
2.384315,1.192858,g
-2.788432,-0.823103,g
-0.280908,0.931147,g
-1.200225,0.649852,g
0.021272,-0.199272,g
-0.916919,0.728646,g
-2.221646,-0.643424,g
-0.798161,0.485306,g
0.980492,1.014309,g
2.452902,2.21338,g
2.979454,1.972507,g
1.207919,2.087058,g
-1.273258,-0.029882,g
-0.66125,0.732336,g
1.496758,0.900362,g
-2.119904,-0.944799,g
-0.04863,1.082137,g
-1.220367,0.058568,g
1.886799,1.588477,g
3.672782,2.423927,g
0.134328,1.453777,g
0.701665,1.436397,g
-0.999673,0.909736,g
-0.520455,-0.558661,g
1.452339,1.930302,g
-2.249431,0.426006,g
1.255844,1.218823,g
-0.269427,-0.213737,g
-0.308654,0.291916,g
-0.325207,1.042386,g
-0.844884,-0.541142,g
-3.38933,-0.689329,g
-1.722414,-0.107869,g
-0.120333,0.65681,g
-0.698362,0.546235,g
0.967207,0.673037,g
-1.080816,0.478647,g
1.06711,0.28639,g
1.250159,1.296009,g
-0.269792,0.408345,g
-1.422787,0.824419,g
3.387758,1.876337,g
0.499909,0.432553,g
1.345695,1.796034,g
-3.069377,-0.898473,g
0.934717,0.236306,g
-0.637156,0.010013,g
1.16332,-0.297999,g
-1.148617,-0.06261,g
-3.247146,-1.540277,g
1.181839,1.566925,g
0.199188,-0.390856,g
-1.358792,0.40344,g
0.857638,1.155696,g
0.342121,0.166906,g
-2.018728,-0.939,g
0.746846,1.910656,g
-0.614453,0.562302,g
-0.202795,-0.408532,g
-0.304577,0.878071,g
1.261428,1.513922,g
2.348748,-0.291752,g
-1.151255,-0.051815,g
-1.730526,-0.119141,g
0.120108,0.087303,g
2.688977,0.749361,g
-0.581766,-0.111688,g
0.692417,1.338359,g
1.106018,1.700338,g
1.821714,0.643051,g
3.045259,0.711608,g
0.645123,0.359546,g
-1.962628,-0.622478,g
1.233044,1.038991,g
-1.628611,-0.873309,g
-0.8741,0.82478,g
-3.105768,-1.03046,g
0.754112,0.172817,g
-0.760719,0.547021,g
-1.725515,-0.51372,g
-1.891735,-0.009497,g
-1.298365,0.726053,g
0.078299,1.265689,g
0.172482,-2.757606,g
-0.677161,0.361585,g
-3.492231,-0.653826,g
0.810913,1.717492,g
-3.815448,-0.89612,g
0.726713,0.569899,g
-1.376935,-0.121567,g
-3.565133,-1.62746,g
1.59401,1.740158,g
-0.250147,0.470802,g
1.014989,1.635347,g
-0.820692,-0.556682,g
1.131074,0.673514,g
-0.111888,1.01142,g
1.70352,0.898369,g
-1.832073,0.169623,g
-0.348394,0.361916,g
0.385074,0.927453,g
-0.709791,0.816352,g
-0.194617,0.31635,g
-0.56977,0.212972,g
-3.047143,-0.887474,g
-2.86145,-0.029866,g
-1.248004,-0.373621,g
0.197195,0.885026,g
2.924513,1.997036,g
0.512166,1.290139,g
-1.379377,0.579859,g
2.120262,2.109524,g
-1.06707,-0.202847,g
-0.405462,-0.150851,g
-1.426069,0.743595,g
2.249917,0.514577,g
0.30779,0.950799,g
-3.174083,-1.432978,g
-0.614813,0.456709,g
0.430774,1.263994,g
-0.7263,-0.534644,g
1.281069,1.329958,g
1.107592,0.28698,g
-0.84002,0.055241,g
0.449758,0.561388,g
-1.055234,0.827143,g
-0.183021,0.57619,g
-2.485599,-0.332026,g
-0.197516,-0.216786,g
-0.667695,0.194834,g
-2.435209,-0.515882,g
1.764217,1.770947,g
-2.352891,-0.348479,g
-2.000832,-0.520314,g
1.798592,0.684067,g
-3.492548,-1.457956,g
0.561142,0.925578,g
-0.767805,-1.882147,g
-1.351684,-0.330778,g
0.845448,1.006164,g
1.452712,1.720198,g
-1.304511,-0.620213,g
-0.080329,1.322291,g
1.137792,0.795974,g
0.762544,1.820273,g
1.825626,1.182868,g
-2.270561,-0.40212,g
-1.114169,-1.151548,g
2.674364,0.764521,g
-0.635289,-0.669171,g
-2.100636,-1.595983,g
-3.074037,-0.540102,g
0.541154,-0.07915,g
3.297517,2.159793,g
1.933177,1.703979,g
-0.253958,1.216655,g
-1.371532,-0.842416,g
-0.181371,1.176237,g
0.56307,-0.25335,g
0.499073,1.345994,g
2.189304,0.455183,g
2.320707,1.60048,g
-0.142181,0.976412,g
0.508702,1.268666,g
1.944797,0.111519,g
-0.359452,0.875531,g
-0.91693,-0.584046,g
-0.89125,-0.269805,g
0.957143,-0.783428,g
0.208768,0.538777,g
0.548657,0.782627,g
1.832728,1.864476,g
0.395888,0.273671,g
-2.304765,-0.108666,g
1.872478,2.323163,g
-0.027522,1.289902,g
-2.882167,0.055793,g
0.380793,0.313872,g
-2.01827,-0.300334,g
0.082367,0.712889,g
-1.218453,0.085535,g
-1.225132,0.517081,g
2.306218,2.130659,g
-2.306884,-0.588303,g
0.664473,1.412099,g
-0.05377,0.522713,g
1.314263,1.525664,g
-1.638019,-0.143759,g
-0.960832,-0.244448,g
-2.037266,-0.312864,g
-0.623458,0.606672,g
2.225971,0.820458,g
1.904179,1.906933,g
-1.703435,-0.075867,g
0.51272,0.747261,g
-0.823947,0.904388,g
-1.447084,-0.146106,g
-2.614819,-1.723931,g
0.778731,-0.08692,g
-1.006757,-0.550609,g
-0.132649,0.446412,g
-2.319996,-0.333612,g
-0.069045,0.549073,g
-1.51581,-1.319309,g
-0.661548,0.075561,g
-0.314106,0.144715,g
-2.780289,-1.812347,g
0.884867,0.784142,g
-0.273552,0.139317,g
1.515803,-0.548926,g
-1.292141,-0.05872,g
1.755433,1.163007,g
-1.058005,0.632562,g
-0.785249,0.038022,g
-0.27513,0.127965,g
0.790363,1.155273,g
-1.883448,-1.167138,g
1.72969,2.156105,g
1.809962,1.813794,g
2.115846,1.865027,g
4.255108,1.797571,g
0.385123,0.881388,g
-2.568614,-0.731732,g
1.428945,0.16054,g
0.780437,1.452311,g
-0.129448,0.675565,g
-0.274329,0.196994,g
-0.356849,1.238741,g
0.390241,1.047905,g
-1.277033,-0.318775,g
-1.248858,-0.197475,g
-1.236135,0.788711,g
1.03305,0.033853,g
-0.319193,0.293886,g
1.082988,1.676566,g
0.553377,1.150703,g
-0.085237,1.173833,g
0.767152,1.410908,g
2.301566,2.277403,g
0.594733,1.464064,g
-1.947782,-0.503002,g
-0.797914,-0.158962,g
-0.320067,1.302691,g
-1.124943,-0.176256,g
0.654271,1.214569,g
0.971464,1.423834,g
-1.618531,-0.023904,g
0.646652,0.99092,g
-0.230756,0.629425,g
1.427345,1.828406,g
2.234241,1.131287,g
0.567304,1.004147,g
3.358688,1.848699,g
0.310741,0.899922,g
0.35422,0.645561,g
-0.1247,0.079042,g
-3.081928,-0.745014,g
0.274349,0.493925,g
0.03979,0.076044,g
1.669575,0.16895,g
1.37018,0.712489,g
-1.143292,0.612675,g
3.659704,1.453319,g
-2.860547,-0.085974,g
-1.15781,0.557798,g
0.005495,0.08625,g
-0.307187,1.134958,g
-1.152601,0.90833,g
-1.181676,0.7253,g
2.3529,1.855405,g
-2.382633,-1.361483,g
-2.443113,-0.013669,g
-3.596277,-1.076451,g
0.040509,1.194783,g
2.387164,0.126848,g
-1.401833,0.327054,g
2.288751,1.712682,g
1.301081,1.596444,g
-0.755715,0.09374,g
-2.574417,-0.143199,g
-3.735498,-1.558525,g
-3.479162,-0.781885,g
-0.24501,1.078667,g
-3.975444,-0.850713,g
1.836104,0.828578,g
2.629123,1.15668,g
-3.224143,-0.921975,g
-2.365106,-0.584011,g
2.881925,-0.585557,g
0.128275,0.495404,g
-1.277226,0.519503,g
0.809876,1.143403,g
0.162505,0.412266,g
-0.268029,-0.118662,g
1.648607,0.094442,g
-0.674787,-0.560624,g
-1.916573,-0.582632,g
2.433479,2.180805,g
3.310553,0.96252,g
1.134004,1.027085,g
-1.175842,-0.919266,g
2.737852,0.662709,g
-3.181562,-0.349769,g
-3.073826,-1.12792,g
1.325738,0.406488,g
-0.417361,0.796823,g
3.164697,0.603092,g
-1.864371,-0.80378,g
-0.75111,0.83765,g
-0.214572,0.86392,g
-2.0723,0.594087,g
-1.221858,0.018813,g
-0.494498,0.543146,g
-1.158636,-0.349589,g
-0.024616,1.040783,g
-1.863532,-0.724163,g
-0.968851,0.400422,g
-0.95115,-0.718195,g
3.637759,1.45491,g
-0.955139,0.642125,g
-2.232022,-0.794171,g
-3.292816,-0.885081,g
3.178771,0.759366,g
2.419321,2.140384,g
0.111998,0.130582,g
0.317314,0.117013,g
0.747501,-1.277523,g
-1.164713,-0.283339,g
-1.802419,-0.175104,g
-0.031463,0.561362,g
-3.582111,-0.061955,g
1.156074,0.630063,g
-0.386264,0.195898,g
2.190625,0.660576,g
-0.525902,0.079164,g
-0.196525,1.219626,g
-1.955489,-0.504496,g
-1.585075,0.131808,g
2.773584,1.248162,g
0.458635,0.794287,g
-1.741333,-0.489312,g
2.246925,0.799465,g
-3.365217,-1.554083,g
0.534564,0.694042,g
-1.398481,-1.06989,g
2.231182,1.625614,g
-0.636079,0.62811,g
-1.592599,0.25204,g
-3.993662,-1.49148,g
-1.167023,-0.038947,g
-2.505277,-0.512686,g
2.45893,2.079757,g
-1.456284,0.160704,g
-2.696984,-0.115005,g
0.368422,0.811638,g
1.779256,1.247675,g
-0.568382,0.228703,g
3.648473,2.492295,g
0.781168,-0.136439,g
1.364244,1.357995,g
2.965866,1.059274,g
-0.9362,-0.064569,g
-1.343848,0.183707,g
-1.220086,0.449647,g
-0.301986,0.930289,g
-0.407474,0.65001,g
-0.137826,-0.093477,g
-2.447953,0.169917,g
-1.424271,-0.547893,g
1.719264,0.26979,g
-2.124293,0.261527,g
-2.697409,-0.368202,g
-0.226432,1.066795,g
-2.126353,0.612,g
-0.478582,1.037418,g
1.240492,1.496682,g
-1.29067,-0.287546,g
-0.934388,0.650481,g
-0.530554,0.534466,g
0.18202,1.503268,g
-3.237068,-0.963269,g
1.915255,0.390066,g
0.694303,-0.030657,g
4.662365,-0.316418,g
-1.175338,0.634078,g
-0.560747,0.921789,g
-3.534181,-1.434625,g
-2.070584,0.30901,g
-0.006026,-0.031754,g
-0.815649,0.457042,g
0.228126,0.115043,g
-1.560895,0.093656,g
-1.303937,0.560455,g
-1.276116,0.556957,g
-0.906265,0.451724,g
0.375364,-1.355683,g
2.274765,0.149169,g
1.73897,-0.065603,g
1.535099,2.351341,g
-0.231019,0.157745,g
-0.526892,1.056185,g
-1.612757,0.331128,g
-2.584719,0.177,g
-2.752003,-0.185946,g
2.345512,1.553483,g
-0.275523,1.20706,g
-0.901466,0.187849,g
1.321174,1.413217,g
0.027035,0.074442,g
-1.769028,-0.199787,g
-1.000633,0.078465,g
-1.258844,0.50603,g
-2.849666,-1.337087,g
-3.031856,-0.461804,g
2.09502,1.701768,g
-1.559905,0.370409,g
-2.320754,0.26207,g
-1.850187,0.442421,g
-1.665669,0.558136,g
-0.578693,0.78425,g
-2.90609,-0.688231,g
0.73558,1.341172,g
1.469687,1.551574,g
-1.376117,-0.271308,g
-0.847918,-0.683306,g
-3.975442,-1.697354,g
4.45112,0.996456,g
0.811742,-0.691165,g
0.077872,-1.116556,g
1.675911,1.554648,g
-0.215657,0.693349,g
-1.045704,0.493509,g
0.954065,1.499108,g
-0.840021,0.722695,g
-1.968102,-0.453396,g
2.84012,1.825507,g
-1.345675,0.270591,g
0.664165,1.087852,g
0.122686,0.171695,g
0.801764,-0.519096,g
-3.124681,-1.316445,g
-1.381363,0.615839,g
-0.463689,0.86164,g
0.114046,1.434106,g
2.644766,1.186519,g
0.108381,0.562587,g
-3.307099,-1.353434,g
-0.55227,1.089988,g
-0.080648,0.788913,g
-1.155078,0.135084,g
-3.289334,-0.898962,g
-0.635486,0.28169,g
3.350368,0.638397,g
-0.17671,0.568723,g
0.338066,0.94648,g
1.158721,1.420224,g
-0.702979,1.022291,g
1.313371,0.548571,g
0.170932,0.417843,g
0.964698,1.244706,g
-3.572247,-1.586944,g
-0.471975,0.75664,g
0.028864,0.639005,g
-0.756079,-0.161143,g
-0.593053,0.905935,g
-1.795016,-0.160485,g
-2.007788,-0.163351,g
0.248624,0.166689,g
-1.606893,-0.651748,g
0.629848,0.195482,g
-0.440131,0.440033,g
-3.275998,-0.759402,g
1.756393,0.336106,g
0.147972,0.453094,g
-0.703981,-0.168045,g
-3.123192,-0.738588,g
-1.401994,-0.137131,g
-2.663802,-0.622869,g
-1.280428,-0.254283,g
0.729422,0.666806,g
-2.469059,-1.155997,g
-1.091532,0.592245,g
2.110503,1.089944,g
0.892301,1.034849,g
2.061212,1.833775,g
-0.275076,0.319799,g
0.798787,-0.004587,g
-0.258143,0.042816,g
-3.190134,-0.199286,g
3.235647,2.21129,g
-0.204133,0.450124,g
-2.362542,-0.14037,g
-0.304102,0.287282,g
-3.691447,-1.192627,g
-1.751316,0.514715,g
0.480721,0.740844,g
1.111689,0.28644,g
1.194304,0.969793,g
-0.814326,0.785301,g
-2.442251,-0.388087,g
-3.48117,-0.671588,g
0.450265,0.979317,g
-0.274168,0.261152,g
-1.395327,-0.70782,g
-2.836799,-0.960922,g
2.634042,2.537953,g
2.841257,0.595429,g
-3.149101,-0.362228,g
1.547389,-0.04314,g
2.645857,0.457574,g
0.293528,0.211641,g
1.658544,1.288756,g
0.904935,1.461895,g
0.741877,1.391557,g
-1.103268,-0.116037,g
2.816633,1.329516,g
2.712066,1.820626,g
0.344424,0.997204,g
0.61097,1.266496,g
-1.235788,-0.773566,g
-1.207218,0.311878,g
4.624103,0.793545,g
-2.493051,0.000138,g
-1.567438,0.348439,g
1.983881,0.649817,g
-2.218449,-0.168835,g
-3.224172,-1.058149,g
0.339542,0.657949,g
1.236284,0.192998,g
1.922715,2.066338,g
3.028868,-1.534346,g
4.496839,2.450248,g
-0.03701,0.492636,g
-0.04791,-0.946361,g
-2.589838,-1.045456,g
1.372743,-0.972042,g
0.26185,0.849115,g
0.735886,1.479048,g
-1.384629,-0.117218,g
2.182225,0.997827,g
-0.764005,-0.387893,g
-0.421108,0.967488,g
-1.662006,-0.932971,g
-1.413884,-0.489496,g
-1.286882,-0.304914,g
-0.030614,1.028554,g
0.117863,1.142343,g
-2.746286,-0.40262,g
-0.12659,0.158231,g
1.303572,1.342058,g
-0.324912,0.345483,g
-0.998081,0.077264,g
-2.430824,-0.389755,g
2.949952,0.354565,g
-1.972743,-0.042495,g
0.383539,0.380706,g
1.332753,-0.162905,g
-2.935617,-1.201243,g
-1.119391,-0.745268,g
-0.172757,1.182376,g
-0.399241,0.86208,g
2.335215,1.08754,g
-3.205404,-1.527885,g
-2.097096,-0.523774,g
-1.4623,0.026388,g
-0.834233,0.321085,g
-0.207539,0.656999,g
-1.105459,-0.107602,g
0.72914,1.226654,g
-0.230355,1.019352,g
2.633925,2.565599,g
-1.939662,0.129581,g
-0.991059,-0.348206,g
-0.697189,0.06144,g
-0.408289,0.257479,g
1.147473,-0.349387,g
0.092184,1.403671,g
-1.741554,-0.067791,g
2.209494,1.382668,g
0.468522,1.442165,g
0.616082,0.195194,g
-1.752985,-0.942423,g
-2.920607,-1.193819,g
0.61405,0.781773,g
0.106725,1.172719,g
2.772391,1.074921,g
-0.578615,0.131238,g
1.87422,1.138523,g
1.405275,-0.372841,g
-2.657009,-0.962032,g
-2.324888,-0.133152,g
-1.869918,0.031696,g
1.110245,1.909693,g
2.295885,1.70024,g
0.725911,1.036383,g
2.450543,0.749424,g
0.06516,0.762456,g
-0.690183,0.735427,g
3.00466,2.304975,g
1.719317,0.049612,g
0.926077,0.91355,g
-3.398676,-1.422759,g
1.333146,1.385405,g
-1.922623,-0.216198,g
0.085702,-0.013624,g
1.358943,0.287423,g
0.563569,0.969781,g
1.688443,1.411268,g
-0.41138,0.153825,g
-1.278565,0.62248,g
0.619816,-0.138299,g
-1.312597,0.496123,g
-2.318886,-0.219994,g
-0.812886,0.537119,g
-1.043871,0.80215,g
-2.549322,-0.706039,g
1.708979,-1.506474,g
0.03375,1.072638,g
1.046926,0.292185,g
2.384729,1.716988,g
-1.500021,-0.105896,g
-1.46148,-0.583987,g
-2.085867,-0.308706,g
-0.800015,0.611687,g
2.183791,-0.883474,g
2.821166,1.835363,g
0.259625,0.685689,g
0.338266,1.259842,g
-1.085798,0.648234,g
3.047741,2.112355,g
1.092348,1.756357,g
0.675867,-1.707949,g
0.389201,0.399583,g
0.342134,0.713409,g
2.551686,-1.353358,g
-0.299713,0.049629,g
1.220462,1.145349,g
-2.317565,-0.463644,g
1.877194,1.889848,g
0.640877,0.156524,g
0.961531,0.51022,g
-2.923071,-1.574674,g
-0.598293,0.734427,g
-0.294255,0.718576,g
0.710453,0.794583,g
1.368813,1.3093,g
-0.536849,0.717571,g
1.069645,1.209415,g
-0.797962,0.122925,g
-1.991489,-0.438543,g
1.890786,1.883931,g
-1.982719,-0.424032,g
1.252617,0.804505,g
2.03454,2.137447,g
-1.600138,-0.317414,g
0.647722,0.131541,g
-2.752096,-0.796281,g
4.778685,2.200299,g
0.006325,0.730098,g
1.805461,1.455923,g
1.416473,0.434271,g
-1.089003,0.492381,g
-0.394343,0.488816,g
-3.079579,-0.103932,g
-3.26596,-0.209761,g
2.19263,1.692082,g
-0.248493,0.319422,g
-0.411405,-0.407025,g
2.120769,-1.362328,g
-0.78851,0.669231,g
-1.659465,-0.058169,g
0.13473,1.180186,g
-1.568179,0.4329,g
-1.321263,0.810749,g
0.371973,0.290187,g
2.153818,0.367712,g
-1.951831,-1.060448,g
-0.416111,0.62113,g
2.819538,0.705967,g
-1.135496,0.896154,g
-0.468782,-0.615907,g
-0.325046,0.4818,g
1.37964,2.116617,g
-0.389392,-0.191167,g
2.209509,0.850391,g
0.053479,0.872412,g
-0.872568,0.527293,g
0.661958,0.424525,g
1.236972,0.847768,g
-1.928018,-0.237786,g
-0.607347,0.947602,g
-1.966493,-0.405235,g
0.618383,-0.093236,g
0.485198,1.482314,g
0.606752,0.624775,g
-0.793609,0.918126,g
0.438798,-0.023329,g
-1.01996,0.353205,g
0.169011,0.085913,g
-2.831422,-0.618069,g
0.679464,1.346757,g
-0.375957,0.668411,g
-1.404963,0.300436,g
-0.662921,-0.01872,g
4.003944,2.352283,g
-0.45831,0.281877,g
-1.799888,-0.512003,g
2.095413,2.065313,g
2.092196,1.383527,g
-1.609966,-0.120845,g
1.212233,1.595784,g
-2.694434,-0.116522,g
-1.305139,0.924014,g
-1.195102,0.347381,g
-1.471287,0.244873,g
-0.279327,0.481165,g
-0.524215,0.203745,g
-1.346123,-0.650998,g
-1.275131,0.070308,g
-0.151748,0.709157,g
0.46296,0.434017,g
-0.720809,0.103113,g
-2.673886,-0.314422,g
-1.976527,0.262045,g
1.856203,1.400932,g
2.251523,1.296678,g
-1.219605,0.525336,g
1.37899,0.482391,g
0.886116,-0.786087,g
1.841164,0.549369,g
2.228749,1.334761,g
0.292995,0.981495,g
-0.195157,0.990152,g
0.305355,0.705256,g
-3.109962,-0.353599,g
-0.910415,0.76594,g
-2.3613,-0.611378,g
0.881002,-0.3007,g
-3.095216,-0.256309,g
-0.685748,-0.338398,g
-2.264275,-0.102654,g
0.620667,1.610423,g
0.938706,0.076324,g
0.980365,1.012465,g
0.909546,1.019942,g
1.828959,1.500284,g
-0.996878,0.445809,g
-0.756638,0.79106,g
-1.989851,-0.231233,g
1.114694,1.972922,g
-0.916061,0.146796,g
1.017952,1.667924,g
-2.968732,-0.649509,g
2.000244,1.385312,g
-1.516132,0.765378,g
0.358746,1.021231,g
-0.210702,0.094468,g
-1.847679,-0.306217,g
-1.764156,-0.103614,g
0.72592,0.859648,g
2.701568,2.118678,g
0.121186,1.029161,g
0.279925,1.05119,g
-2.471232,-0.252478,g
2.070183,0.502132,g
2.437203,-1.478496,g
0.527493,0.15263,g
2.892776,2.380186,g
-2.02322,0.30387,g
-0.76179,0.744687,g
0.001268,1.324267,g
-3.159872,-1.423123,g
-1.35829,-0.576325,g
-0.652419,-0.821468,g
-2.171021,-0.049987,g
0.224666,0.933707,g
-3.107998,-1.137295,g
0.016588,0.182832,g
0.786515,0.623634,g
-1.238663,0.473832,g
-0.668551,0.659399,g
1.776264,1.453673,g
0.333581,0.290338,g
1.424334,0.352377,g
-1.621299,-0.145726,g
0.512277,0.570306,g
-2.66513,-0.136656,g
-0.960422,0.565007,g
-3.411462,0.02603,g
-1.683522,0.129165,g
1.412756,1.369869,g
-0.580209,0.314324,g
1.255663,0.544859,g
-1.942482,-0.387604,g
-1.834607,0.432536,g
1.25778,1.257365,g
-0.911056,0.561924,g
-0.857964,0.233118,g
0.501057,0.922587,g
0.001356,0.693773,g
-1.843758,-0.263944,g
1.219854,1.224313,g
-1.180187,0.083283,g
-1.419589,0.208644,g
-2.212658,-0.766097,g
-0.762724,0.125924,g
-0.349796,0.532768,g
2.268345,0.778778,g
-0.113451,0.686382,g
-2.247033,-0.627082,g
3.118458,0.400132,g
2.036995,-1.307246,g
1.875521,1.48252,g
-1.596054,-0.461946,g
1.252003,1.330741,g
-2.473147,-0.584457,g
-2.899055,-0.47581,g
-1.003655,1.170922,g
-0.998061,-0.711135,g
-0.973918,-0.00607,g
1.16544,0.241031,g
-0.859369,0.841659,g
-1.89115,-1.046075,g
1.537396,-0.00059,g
1.734877,1.782522,g
-2.588614,-1.149402,g
2.877265,2.368414,g
1.377519,0.119401,g
0.181884,0.109442,g
-0.702444,0.487577,g
0.877165,1.100588,g
1.40543,1.421563,g
-0.302323,0.716043,g
0.493035,1.239071,g
-3.250382,-1.111781,g
-2.981559,-0.68244,g
3.864689,0.384317,g
0.475301,1.105111,g
-0.293293,0.927276,g
-0.412756,0.525468,g
-0.637563,0.357688,g
-1.007547,-0.17376,g
0.502297,0.308825,g
-0.570058,0.551486,g
2.794132,0.911986,g
-1.936594,-0.581621,g
0.078603,0.607259,g
-0.892564,0.530079,g
1.079501,-0.274877,g
0.586623,1.03035,g
4.679417,1.066109,g
-0.362261,0.50961,g
1.014351,1.307395,g
-1.779845,0.593715,g
0.256825,0.238538,g
2.005197,1.954446,g
3.424243,0.078013,g
-2.184359,-0.277873,g
-0.321397,-1.110176,g
-1.811015,0.174014,g
2.688324,1.262485,g
0.866477,-0.001387,g
0.089668,1.178128,g
-0.667881,-0.641,g
0.833812,0.807817,g
-2.900691,-0.784368,g
2.705102,2.119965,g
0.829021,0.312086,g
1.630867,0.647395,g
-2.867352,-0.526246,g
