@relation magic04-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-P75.0-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute class {g,h}

@data
-5.692385,-69.351314,300.066371,-304.823622,343.839279,-11.020693,164.655851,g
38.788931,78.721536,359.744528,-364.762972,409.983354,33.430486,91.914221,g
-28.986909,-188.384601,467.553952,-472.295614,516.240168,-34.223072,321.480754,g
24.727104,76.753753,469.279767,-474.299597,515.046958,19.232173,-48.252337,g
-6.440111,46.425543,287.986529,-292.830902,324.416234,-11.912006,-33.562295,g
-27.026921,-76.665072,522.091555,-527.556695,577.928716,-32.911217,114.898362,g
0.02754,-45.468585,201.096295,-204.972625,226.716098,-4.849915,91.700659,g
-38.659894,-147.826206,583.710995,-590.622397,666.11591,-45.779835,155.443246,g
-19.276513,10.288382,444.703179,-451.855683,518.96122,-26.603088,-25.444866,g
27.456989,7.858661,186.526284,-190.972458,222.071257,22.109629,89.028797,g
-6.563607,34.875189,381.876153,-387.82696,437.266619,-12.805918,-48.235883,g
-18.525323,-41.812746,304.750875,-309.425681,346.550804,-23.69203,161.192096,g
18.22689,98.378754,95.75972,-99.979342,128.330416,13.341121,-72.254578,g
-5.533729,-11.89382,404.997646,-408.67912,426.00188,-10.43474,21.978859,g
41.785379,-24.309679,526.477628,-532.295586,592.86038,35.590007,121.061691,g
-3.761668,-63.798013,124.831673,-129.079701,160.101597,-8.834498,142.427231,g
15.51727,-27.994618,250.057214,-253.766228,270.926002,10.545245,95.896205,g
45.6915,116.402821,255.472125,-261.125712,315.839811,39.731513,-35.792137,g
7.64406,-17.683892,337.80464,-341.799442,363.431891,2.853727,39.05255,g
31.487298,44.078268,380.093007,-384.833977,424.576575,26.102352,-7.798212,g
14.230183,-33.964304,361.306145,-365.149219,392.677396,9.612709,101.519655,g
-16.216326,51.502184,272.487272,-278.027064,328.730773,-22.015059,-46.531372,g
-7.299382,-34.29426,343.530973,-348.841961,382.401138,-13.124788,62.407696,g
-11.789204,-43.164958,332.411554,-336.682964,361.916866,-17.150247,99.569366,g
-1.851389,-1.786437,91.895861,-96.126395,128.373197,-6.794835,48.640144,g
-19.05533,64.474206,372.488438,-377.337661,412.184791,-24.418279,-79.977792,g
-14.064079,22.806779,431.507203,-435.229727,457.694946,-18.757071,-34.659896,g
30.625083,57.579951,616.43948,-621.788919,666.016317,24.737323,44.085196,g
52.169717,3.916513,524.373879,-530.960175,601.587838,45.322227,85.723351,g
16.669603,43.336431,343.35084,-348.159533,374.450852,11.304403,12.541607,g
27.941097,62.789613,374.02061,-379.452495,421.706567,22.023026,-44.352279,g
31.363283,62.899079,267.996931,-274.734435,339.992913,24.368223,-53.518984,g
30.969588,-1.889494,203.799507,-208.301626,244.340407,25.71801,115.127512,g
-3.778469,-19.538053,222.784342,-226.756628,257.076177,-8.641028,14.686232,g
16.449287,57.673135,162.045477,-165.822041,182.655323,11.449375,-8.110328,g
-17.908713,147.142393,435.427527,-442.218552,507.031893,-24.916244,-150.293166,g
-11.255386,-94.810556,52.39956,-56.608097,88.350526,-16.255816,241.530675,g
27.197008,74.204174,388.833455,-393.757502,433.348373,21.623962,-42.645343,g
33.268712,110.708184,364.745998,-369.475882,402.976862,27.927068,-77.31615,g
20.115518,21.43257,393.667089,-398.525838,425.043883,14.806436,1.724776,g
-37.519338,-158.001658,505.046443,-510.515047,568.643192,-43.295381,152.068518,g
-15.501508,-83.95129,624.400159,-629.581416,675.278286,-21.233904,82.628003,g
-18.118637,-28.759491,561.682773,-568.098808,629.986889,-24.891302,38.085026,g
34.985694,-35.891037,513.338983,-518.182836,569.319385,29.544283,89.257255,g
-5.930542,-6.874856,251.08536,-255.020233,278.102061,-10.912093,40.685527,g
15.634703,23.649768,330.725056,-334.890292,360.711705,10.753437,3.866457,g
23.21537,3.535462,402.94863,-407.383546,440.809875,17.994276,82.764143,g
-14.609156,-22.955216,331.318456,-335.661054,367.855375,-19.614436,89.604011,g
24.899616,20.565678,375.831816,-380.001555,405.523497,19.740183,42.451353,g
-34.822189,27.918927,152.743672,-158.011531,208.072996,-40.442694,-49.490927,g
17.494406,-106.6176,502.422733,-507.631183,532.921723,11.745729,363.457872,g
18.382775,-75.799047,286.713991,-291.130028,324.139799,13.400011,98.8568,g
-8.3736,36.723461,271.857499,-276.615442,313.912558,-13.612187,82.874994,g
33.953392,-46.899259,485.080747,-489.505271,528.418737,28.910526,142.772255,g
14.694546,38.83102,314.266936,-318.441005,345.109218,9.758894,-9.700177,g
-20.632709,-193.56707,518.656206,-523.458663,559.318697,-25.949585,243.281951,g
28.003451,-13.264911,263.048808,-267.193086,298.129938,23.185925,153.36773,g
14.041736,-75.352351,284.693554,-289.165882,324.569001,8.880224,155.660272,g
22.414989,83.685247,321.744199,-327.626071,368.686067,16.158648,-51.303691,g
26.597372,0.491556,121.589101,-125.986951,153.42558,21.353588,79.798179,g
-21.804788,-29.624131,183.9024,-188.828179,225.183752,-27.385629,62.950001,g
-0.033082,-17.283615,250.013913,-253.91172,270.623759,-4.952626,91.138608,g
-5.743827,20.638425,242.144167,-246.595538,273.060235,-10.875893,-5.288644,g
25.039046,31.099145,115.355103,-119.938803,150.626413,19.692898,72.605145,g
5.187492,0.393522,311.450448,-315.26096,320.448452,0,24.499859,g
-7.106258,30.415332,218.911996,-222.927063,243.51266,-12.278855,-26.085205,g
-11.942664,-11.983194,321.766716,-326.727136,364.378803,-17.436209,31.50306,g
-25.220911,140.562332,321.799278,-327.328158,390.716541,-31.027958,-192.691865,g
19.396544,-7.749022,259.513692,-264.304025,302.924428,14.053687,60.395746,g
-15.073692,-44.085889,311.064201,-314.916282,338.824299,-20.270017,43.498551,g
18.687443,-27.42027,254.958918,-259.213528,286.548234,13.633492,65.389595,g
14.326312,42.924722,80.620383,-84.868411,117.491415,9.19234,-33.950967,g
-16.022163,-189.374468,493.909703,-499.286162,539.452593,-21.838736,198.979036,g
45.452997,-234.823481,559.981206,-566.815359,642.403788,38.365618,327.387567,g
25.341982,-64.904274,157.828973,-162.823688,208.935903,20.037057,243.571723,g
-15.576679,0.295315,154.231677,-158.720459,194.028488,-20.877101,-14.812499,g
24.015924,143.465422,429.575793,-434.588868,468.664889,18.640504,-96.083613,g
-15.349954,123.141538,398.761917,-404.636514,453.193345,-21.448678,-107.681599,g
29.072126,84.22149,505.1592,-511.613168,574.227151,22.324749,-37.150758,g
31.757152,108.163282,168.293504,-172.762888,207.725893,26.58213,-47.631917,g
-13.155445,-26.634265,310.359429,-316.059435,357.189233,-19.29418,35.071084,g
-12.91088,44.652443,467.259676,-472.186495,503.472875,-18.358007,-55.478453,g
-20.556845,4.41188,544.173817,-548.142119,586.387013,-25.765468,-29.528175,g
15.564035,9.248805,324.98019,-329.157203,353.867679,10.393517,20.416376,g
-19.820204,-49.68024,194.606127,-199.078456,235.14443,-25.104171,86.596825,g
26.248884,12.989515,278.383173,-283.574822,326.156772,20.553727,86.845547,g
-26.452053,8.874336,257.361965,-262.443802,305.635607,-32.064244,-19.515363,g
54.290786,13.947339,529.2787,-534.117704,595.791876,48.841928,57.570771,g
24.553379,-0.656274,132.622784,-136.734326,165.27887,19.577717,86.237597,g
22.689692,28.815263,398.091094,-402.102523,425.071769,17.707621,57.086143,g
-9.02156,8.448424,342.150875,-346.340879,373.671082,-14.029785,-8.951239,g
11.750406,26.017308,251.353308,-255.458442,278.88287,6.781152,-12.125568,g
17.198745,-42.50418,345.344257,-349.442982,377.460636,12.198661,161.144465,g
34.673232,-145.741683,392.341378,-397.96985,443.123202,28.685013,327.092945,g
-3.391182,-13.172766,296.067585,-299.771229,317.457893,-8.417421,20.975482,g
-12.756727,16.048144,346.549245,-351.731022,388.717408,-18.34467,-31.671069,g
5.115266,10.654364,361.427215,-365.173468,370.288734,0,54.790656,g
14.131803,49.731336,272.436177,-276.338314,299.365237,9.184546,-26.513541,g
23.815352,68.500011,232.394799,-236.686475,264.538025,18.497783,-35.751434,g
19.570096,85.919073,304.239574,-309.105251,337.681318,14.226026,-47.884969,g
-9.270456,13.493715,336.300008,-341.071981,377.13553,-14.699915,-18.352637,g
27.193371,72.523739,438.039633,-444.158449,497.018907,20.811976,-47.486251,g
22.646391,40.153614,284.211697,-288.017533,310.717098,17.454915,-12.959897,g
-30.233293,-127.601569,531.178067,-536.281035,579.345707,-35.971404,134.754246,g
-12.188961,-26.922132,399.123915,-404.167128,445.267827,-17.631238,51.911295,g
-34.558224,-186.727375,420.001883,-426.675128,491.799199,-41.479672,183.534685,g
38.227747,109.297602,486.94478,-493.031726,544.877896,31.801665,-47.599701,g
22.949154,12.104437,406.067534,-409.889824,431.61563,18.158647,16.376194,g
26.613307,-169.681397,496.501371,-501.491063,532.723403,21.081137,200.868184,g
-15.240661,-40.675308,386.493108,-390.691772,412.726576,-20.339646,93.02256,g
-10.73144,-0.202996,203.897021,-207.977733,235.18929,-15.910965,-4.873645,g
15.340774,46.624556,300.870389,-304.827086,321.969885,10.04347,-26.632533,g
63.952512,-125.293438,437.747782,-444.839145,521.264847,56.721546,195.75084,g
25.873548,94.945829,249.744752,-254.270255,291.634401,20.904468,-27.088928,g
13.020692,35.015139,385.773614,-390.935992,422.856822,7.17173,8.911055,g
-14.815963,-60.629746,268.283065,-272.993724,320.055969,-19.94266,90.450464,g
-18.581614,-100.20676,576.612704,-581.939626,639.634932,-24.451361,259.355209,g
18.735767,39.068138,226.00665,-230.1705,257.105102,13.656355,-16.731264,g
-43.991839,-3.65584,452.347412,-458.37339,518.193575,-50.344828,-38.249224,g
-11.996011,-99.172899,499.119885,-504.329894,543.272458,-17.68216,134.872718,g
15.421661,14.158996,324.469754,-328.356996,345.935753,10.310552,47.294167,g
-8.060445,0.474062,371.466182,-375.67316,398.298074,-13.241528,-1.676106,g
-19.37524,5.793537,440.379114,-444.910159,480.543467,-24.757588,-22.578495,g
-3.814669,-107.335708,185.395947,-189.689008,221.261523,-8.844198,111.163714,g
19.359998,29.534238,297.726543,-302.071393,329.823004,13.919453,-12.512162,g
19.790413,-18.35818,222.937456,-227.326472,254.868159,14.520128,100.100586,g
-25.794567,-127.260008,494.420138,-499.16665,535.713615,-31.170852,346.85807,g
-4.469037,-104.966263,490.463095,-495.825524,526.550547,-10.363206,119.313706,g
-4.886115,-4.895468,271.842776,-275.614317,293.183721,-9.91218,47.133086,g
-14.345018,-21.440191,145.014915,-149.38384,189.444443,-19.665705,68.828235,g
-36.380861,-7.342163,388.988474,-395.347525,453.898983,-43.013057,60.613118,g
-5.50134,-50.277971,303.763607,-307.368004,324.586841,-10.356278,94.599939,g
-14.596339,-11.642326,314.858778,-319.688082,354.414488,-20.111188,1.657226,g
-19.677829,-5.310295,288.914215,-292.855151,326.51981,-24.408926,-7.580667,g
29.937459,-40.185311,377.961372,-382.28613,415.041809,25.072128,176.912362,g
-17.814489,6.223432,213.807469,-218.189904,249.149273,-22.881604,-11.215895,g
32.049868,30.755853,387.115954,-391.112661,422.343442,26.943956,7.694463,g
30.235199,39.632267,318.71744,-323.122738,358.08557,25.1014,6.30709,g
28.21147,176.725994,406.826172,-411.826256,464.909457,22.806779,-15.045979,g
34.098365,169.842997,273.665586,-280.204251,345.929864,27.368654,-120.605123,g
35.319287,104.156356,444.24176,-450.987925,515.663915,28.359561,-57.661184,g
27.638681,102.156876,363.598861,-369.257644,408.070651,21.532336,-109.2278,g
22.112919,55.853616,355.430855,-359.731364,391.410054,16.980507,-28.897709,g
-6.48653,56.64395,239.242809,-244.082332,274.602972,-11.977131,-63.792124,g
-39.511716,-69.563491,538.467922,-543.806796,597.545404,-45.324825,65.104153,g
-9.137261,18.691599,331.772427,-335.617753,362.455187,-13.97384,-8.870698,g
19.189391,69.405701,391.081657,-395.837695,424.961091,13.855021,-15.732217,g
19.53788,79.69287,251.591985,-255.713053,283.552306,14.671856,27.213116,g
-31.812577,66.290954,361.528887,-367.14281,437.901069,-37.689945,-119.171158,g
-40.375317,88.123108,451.767868,-459.014249,537.521357,-47.759049,-116.859563,g
-2.730232,70.268089,262.623763,-267.47541,303.113395,-8.055595,-73.361012,g
29.088234,106.249712,400.463137,-405.488683,442.171094,23.584643,-43.331061,g
25.7407,60.482695,84.442153,-89.199404,126.597152,20.26638,-39.247405,g
-7.989084,11.088762,392.208876,-396.74529,434.953465,-13.162547,0.151728,g
33.88792,128.664528,371.922057,-377.526454,423.552933,27.936247,-114.472797,g
-7.625873,45.824175,324.149152,-328.188987,346.201276,-12.721047,-40.352454,g
30.20125,44.453257,422.821661,-428.014003,468.084999,24.667694,2.232094,g
-16.648472,-74.058336,331.496858,-336.090603,369.471898,-21.836311,124.37164,g
-11.276517,-98.620202,389.021209,-393.18939,425.255539,-16.137517,123.143443,g
14.757939,73.833169,385.661204,-390.603438,420.686216,9.1118,-51.753851,g
16.724336,-31.184536,316.612825,-321.191502,347.853133,11.362253,204.41577,g
5.021908,45.238049,252.183307,-255.875866,260.905741,0,-31.162539,g
-13.63124,-11.391525,312.710688,-316.809413,342.945194,-18.668563,46.500368,g
31.791273,71.601941,232.021889,-236.968799,276.536287,26.337738,-25.778285,g
34.17267,77.908685,131.508729,-136.369729,178.235996,28.68432,-43.187994,g
19.712297,10.080362,228.543065,-233.890945,282.728715,14.043122,90.885382,g
22.798465,2.186021,369.799602,-374.206113,401.294348,17.481416,28.721386,g
-19.809465,-216.146084,394.50748,-399.606638,434.088825,-25.48401,236.263335,g
23.882383,48.623862,180.739329,-186.623278,242.527643,17.675578,-30.151367,g
19.261964,17.596943,369.394129,-374.046764,404.352457,13.970722,71.215174,g
19.661548,63.66222,359.373003,-363.356547,387.208272,14.835881,-39.32604,g
50.823913,105.866409,372.318004,-379.438638,457.073832,43.544797,-41.556056,g
-6.85563,170.096223,448.126924,-452.832559,508.025224,-12.113097,24.457597,g
-13.583089,94.878452,383.41179,-388.829818,435.745358,-19.33904,-74.064225,g
-5.556939,-11.004238,235.483912,-238.98837,256.205821,-10.276257,22.811629,g
-9.936429,-243.715657,426.217001,-431.038164,466.648263,-15.282231,230.548433,g
28.440967,35.892423,62.214919,-67.171702,110.227887,22.900829,2.44375,g
18.641024,-211.33081,521.147588,-526.048079,556.781588,13.129811,316.392509,g
-10.745816,14.570358,374.699055,-378.73023,405.551729,-15.518656,-4.095261,g
23.364673,-4.876589,300.438415,-304.28149,328.350068,18.202988,36.570348,g
34.087799,121.078838,291.470896,-296.944523,358.157623,28.181679,-106.271709,g
-26.37134,-65.133597,21.372814,-26.620928,76.68551,-32.005874,133.111915,g
-9.324496,36.66128,229.723977,-234.032973,263.636319,-14.360087,-40.481318,g
-13.342853,56.840192,370.55062,-375.780547,421.270263,-19.016532,-71.870063,g
24.429537,38.802788,157.536776,-162.704176,210.027442,18.878834,29.376448,g
11.974533,6.438033,383.96899,-388.033074,413.319111,6.864983,20.605862,g
-10.942577,102.493414,381.466004,-386.566027,423.09775,-16.485486,-118.892817,g
10.244907,81.05253,329.019852,-333.463082,358.114841,5.137089,37.043544,g
-38.549042,-67.227647,45.094462,-49.908178,107.013893,-43.878216,135.706008,g
-15.933655,43.726662,237.743546,-242.816203,279.162423,-21.608546,-44.94412,g
21.098457,74.131775,377.200482,-382.732999,424.878472,15.190432,-25.057752,g
-17.400702,-96.101107,512.813652,-518.662614,573.770928,-23.627078,304.093562,g
17.124786,-38.956767,311.11876,-315.441093,337.341317,11.955827,70.395741,g
-6.591839,-21.795088,251.430557,-255.88799,280.96237,-12.015929,81.218114,g
-13.001639,-66.229466,420.470402,-424.946541,463.237508,-18.055071,150.438485,g
-16.418456,-121.827258,467.34905,-473.492461,538.117355,-22.856835,150.979232,g
17.77673,-11.198921,286.43236,-291.027837,318.854965,12.511469,123.006091,g
-13.693767,55.452299,344.205607,-349.468963,386.170427,-19.40226,-22.488601,g
20.05455,112.017441,416.041029,-421.427014,469.089935,14.198833,-87.657359,g
43.566101,-94.70161,432.796715,-438.219247,488.211429,37.779492,160.721325,g
-37.538737,-130.243293,480.173674,-486.302709,574.55728,-43.888782,73.334165,g
21.578582,47.095674,336.136329,-341.634897,385.934175,15.557454,98.545031,g
-8.942925,-36.418793,281.644452,-285.516451,312.700469,-13.781582,83.085092,g
39.538909,52.928528,462.368192,-467.665842,518.239821,33.814482,6.212347,g
-2.484627,-4.253744,236.596755,-241.089348,273.853168,-7.837703,71.268521,g
16.630113,54.903413,314.124561,-319.071472,351.228554,10.850952,-44.61555,g
-14.809554,13.121151,285.463277,-289.441278,310.817383,-19.994795,-31.470844,g
-25.758194,-184.667966,430.579863,-435.413324,473.347142,-31.135865,200.025368,g
15.679563,34.466425,289.597683,-294.119548,331.866304,10.457257,6.210788,g
-12.886112,-18.871386,345.861794,-350.115018,376.565859,-18.043293,17.434304,g
-8.977566,14.708056,279.489434,-283.718583,311.035795,-14.171467,-16.040696,g
9.09396,63.231806,342.027727,-346.313167,377.432058,3.965704,-48.886441,g
-13.994971,16.234339,302.549612,-307.314311,337.749561,-19.303706,-16.195541,g
47.323439,-45.389604,216.342499,-220.969846,265.872051,42.054194,511.638629,g
20.056456,33.117504,281.623147,-286.235252,318.324092,14.758978,2.189139,g
14.483928,16.544203,372.449121,-376.405817,394.448591,9.087551,14.558926,g
13.161161,92.88746,420.537433,-425.518118,459.281158,7.656877,-60.538467,g
-4.257034,11.252788,249.031494,-252.931379,275.253011,-9.525067,-13.059663,g
31.272697,50.218561,241.016948,-246.417136,297.0914,25.504102,3.032821,g
30.319549,76.579336,208.504449,-212.938326,247.267054,25.117508,5.216071,g
25.232516,46.856651,167.499186,-171.235046,195.284745,20.168866,2.989866,g
32.495871,94.342383,290.695803,-296.885633,348.106359,25.967252,-76.780946,g
-13.517964,1.470684,325.296462,-329.860416,366.179963,-18.631844,-16.054725,g
-10.588719,16.244038,491.326176,-496.473311,525.360628,-16.223947,-36.037396,g
18.989685,-10.640854,242.546696,-246.794723,281.19152,14.112404,102.725509,g
21.344409,67.701536,287.365935,-292.929629,344.119871,15.445909,60.92991,g
18.976175,37.880644,152.098483,-157.233494,193.536759,13.317046,-10.697319,g
-27.362419,-108.114265,545.575739,-551.384518,592.485045,-33.642142,116.025753,g
-9.987178,-21.523503,354.77181,-358.634976,381.514674,-14.818214,14.983106,g
26.476821,11.744517,223.215623,-227.584548,257.95883,21.572173,102.216286,g
-7.992895,-16.826181,265.642207,-270.904871,309.901648,-13.765993,22.761226,g
16.881087,83.210838,337.208642,-341.870456,370.462805,11.517965,-46.068568,g
-20.173196,12.857879,243.533791,-248.284287,294.426813,-25.446771,-10.133883,g
-14.4143,22.752393,114.667479,-119.46093,158.305287,-19.760968,24.292186,g
23.635219,-3.449552,385.981114,-389.872512,413.387873,18.38953,52.915884,g
5.276,6.047455,208.617033,-212.626557,217.902557,0,57.31131,g
-4.44704,-47.116632,88.645841,-92.774703,114.088801,-9.248632,142.938879,g
27.432567,24.54368,312.086111,-317.062293,353.800129,21.964483,26.04606,g
-14.905163,30.939797,489.689734,-496.147686,557.673248,-21.554333,-40.524793,g
-12.395422,41.185397,365.867501,-370.936001,405.652188,-17.940063,-21.96379,g
20.091789,33.313226,352.094579,-356.170268,383.33939,15.132755,-7.027103,g
25.317733,91.530571,478.146135,-484.007742,531.054572,19.132926,-77.538199,g
-15.367101,-48.283168,200.604392,-205.175275,237.797585,-20.677742,98.470726,g
-18.118291,-61.377645,398.373245,-402.793611,441.52833,-23.233383,125.969111,g
-13.10435,9.2469,156.771556,-161.495032,186.475361,-18.659037,-24.433175,g
44.477506,-44.713931,499.64054,-505.469583,562.425649,38.261695,167.425054,g
31.12963,90.445095,367.267864,-372.12592,411.019467,25.755769,-15.220743,g
22.234336,45.869728,280.834198,-284.338657,309.338732,17.498563,8.769373,g
-6.873297,8.828956,287.400749,-292.120761,331.153046,-12.255472,-16.107206,g
15.702599,76.398856,287.392436,-292.520865,333.790266,10.121239,-32.626468,g
-16.006921,-24.687786,48.511625,-53.380247,87.380058,-21.437766,113.007655,g
-11.879617,7.296264,156.518157,-162.531491,216.761136,-18.214939,-31.77222,g
30.592001,-21.988905,323.000975,-328.424546,369.273579,24.806085,158.625889,g
15.434824,-18.252871,325.931259,-330.426797,356.834856,10.161249,99.8193,g
-9.941625,0.815103,321.151318,-325.980622,363.253663,-15.202556,92.259592,g
21.349605,61.280477,311.095551,-315.648939,340.931512,16.047278,-35.876834,g
17.471716,-5.636267,282.780677,-287.620893,319.686696,12.011599,41.08234,g
-3.367453,29.89052,247.591813,-251.538811,274.562269,-8.381047,-26.598411,g
18.355582,-19.983363,315.674747,-320.30296,360.661995,13.156138,103.848051,g
-13.796131,-45.165476,391.678695,-395.749361,421.854138,-18.54732,92.482333,g
-3.923961,-16.287167,176.737252,-181.03395,206.677482,-9.262835,18.124699,g
27.246891,101.550485,352.134763,-357.924835,404.34449,21.181596,-56.529635,g
-14.344152,-13.069363,222.069005,-226.306294,252.253974,-19.597808,42.395234,g
10.225682,-35.650629,298.114696,-302.107766,323.939574,5.229408,91.605223,g
-25.06572,137.126809,422.08554,-427.445891,487.440493,-30.721212,87.716942,g
-0.838486,-9.923265,283.189614,-286.898628,304.778935,-5.898153,21.976953,g
-25.572345,-3.471896,201.212862,-206.453528,262.041967,-31.224373,18.788594,g
15.523852,-75.857244,638.578381,-642.755394,660.722477,10.185498,433.085448,g
-8.328566,-76.959694,324.311272,-328.679157,351.865775,-13.63938,144.390164,g
-14.501942,13.136566,117.434084,-123.672585,174.702439,-21.166007,-17.932615,g
45.877349,74.434364,304.041947,-309.538264,358.308311,40.059217,-48.70371,g
-16.008999,-63.305937,296.284784,-300.249275,335.55436,-20.79275,103.107599,g
13.684241,44.690721,402.53848,-407.161844,430.517509,8.378449,-44.375661,g
38.968892,-19.696362,515.160754,-519.897567,560.9974,33.747278,88.980646,g
34.734374,172.62571,454.042916,-459.1251,494.825958,29.194756,-116.222168,g
26.824098,-5.218323,379.109202,-385.010646,430.806762,20.610019,58.685345,g
-2.814063,30.577971,333.350325,-337.512617,360.08886,-8.044337,-26.819075,g
11.713686,12.4337,134.954298,-139.778579,176.854858,6.216504,58.426577,g
-23.043031,-139.681064,510.146294,-515.844568,575.881259,-28.975824,171.452765,g
-22.772658,-51.7516,362.132506,-366.673424,402.30933,-28.124695,225.875187,g
25.396195,-12.44669,83.257084,-87.902618,120.933173,19.799939,93.99909,g
-5.185067,-4.822376,147.872106,-151.581119,169.004858,-10.144622,47.901078,g
30.189819,-32.915028,507.503357,-512.361413,550.568203,24.677567,189.370311,g
38.765549,119.848216,393.063123,-399.837001,467.815838,31.834401,-56.758612,g
-10.455351,21.854844,356.022697,-362.095614,413.32552,-16.813883,-24.740094,g
23.521943,97.674329,207.905506,-212.387534,247.94238,18.475959,-79.369323,g
23.837696,-61.155077,156.489924,-160.598349,191.278165,18.846618,218.648378,g
-14.273138,80.404397,381.979384,-386.687271,423.026217,-19.587589,-76.577257,g
36.22515,-37.914246,386.6121,-391.252957,433.596923,31.153012,194.796653,g
-6.505929,40.429357,307.587455,-312.673276,351.720456,-12.043122,-41.066232,g
27.147472,-112.764475,434.511965,-439.928781,499.27092,21.465825,172.22422,g
42.677039,97.371047,446.870148,-453.087171,509.117629,36.191202,-15.75612,g
-21.601098,20.237108,180.448517,-185.589244,234.591213,-27.319811,-36.663705,g
-16.862207,13.245512,432.138882,-437.109002,471.456782,-22.349171,-35.684577,g
