@relation 'magic04_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.75-A12-M-1'

@attribute 0.449fSize-0.442fConc-0.429fConc1+0.408fLength+0.395fWidth+0.257fDist-0.145fAsym-0.097fAlpha+0.012fM3Trans+0.005fM3Long numeric
@attribute '0.6  fM3Long+0.487fAsym-0.457fAlpha-0.245fWidth-0.226fLength-0.196fConc1-0.188fConc+0.093fSize-0.031fM3Trans+0.012fDist' numeric
@attribute -0.603fM3Trans-0.47fAlpha+0.454fDist-0.377fAsym-0.153fWidth+0.139fConc1+0.129fConc-0.071fSize-0.058fM3Long-0.001fLength numeric
@attribute -0.795fM3Trans+0.386fAlpha-0.364fDist+0.214fAsym-0.116fConc1-0.109fConc+0.095fWidth+0.057fSize+0.054fM3Long+0.025fLength numeric
@attribute class {g,h}

@data
-1.179096,0.498393,0.725203,-0.664135,g
-0.317539,0.567132,-0.095118,-0.868415,g
-1.200966,-0.466992,0.240845,-0.495293,g
1.487634,1.590546,-0.305237,0.984993,g
0.395116,0.529912,0.397166,0.174119,g
-2.249441,-1.071521,0.679104,0.080002,g
-1.338339,0.186329,-0.355695,0.512548,g
0.254541,1.55359,0.519958,0.393325,g
-1.847307,0.406767,1.176696,-0.319775,g
1.494365,1.014343,0.726159,-1.455225,g
3.187938,1.141224,-0.14661,-1.434615,g
0.014297,0.985729,0.128209,-0.518932,g
0.701586,1.284504,-0.232373,-0.622487,g
2.612584,1.982554,-1.038596,-0.033223,g
-1.247165,-1.449586,-1.580806,0.391684,g
-1.735166,0.227441,0.360146,0.016075,g
-3.008278,-0.376144,-0.472921,-0.066375,g
2.854208,2.492331,-0.106441,0.846571,g
-1.382718,-0.714272,0.358469,0.354465,g
-0.239409,0.897619,0.019743,-0.831024,g
-0.149179,1.114057,-0.520538,-0.630423,g
0.612864,1.38631,0.262121,-0.709483,g
2.1927,0.716142,1.727074,0.262322,g
1.481932,0.876684,1.820208,-0.630373,g
2.611578,1.35451,1.214134,-0.072802,g
0.602815,0.333883,0.658578,-1.528062,g
-2.340106,-0.635936,0.08867,0.310041,g
-1.039672,0.333189,-0.013235,-0.375814,g
-1.093339,-1.320305,-0.789672,0.021047,g
-0.56586,0.125983,0.722261,0.11591,g
-2.230283,-1.198359,-0.399303,-0.376508,g
0.65922,1.525023,-0.081137,1.439183,g
1.158993,-0.699339,1.330317,-1.345641,g
-0.309509,-0.156727,-0.301805,-0.14219,g
0.132193,0.477674,0.174598,0.302117,g
0.447439,-0.039931,0.389425,-1.243602,g
-1.08121,0.716081,0.280367,-0.598828,g
1.346332,0.212772,2.027336,-0.520945,g
-0.760303,-0.308102,-0.088142,-0.719175,g
-0.534077,-0.454553,0.123834,-0.340064,g
1.200651,1.607257,-0.46759,-0.239943,g
-1.898752,-1.050898,-1.372124,0.372724,g
-0.702652,0.047054,0.082803,0.902002,g
-2.182939,-0.529947,0.349966,-0.091293,g
-0.867548,0.544032,-0.0659,0.424128,g
-1.174013,-0.121213,-0.905279,0.017998,g
-3.85813,-0.865073,0.808237,-0.65079,g
-2.9733,-0.200746,0.335753,0.122575,g
-0.027108,0.41293,0.236149,0.424676,g
2.085795,2.76282,-0.318279,1.255933,g
-0.201678,-0.075059,-0.729235,0.111919,g
-3.081502,-1.158441,0.596992,0.250943,g
-1.274077,-0.447628,-0.508201,-0.029336,g
-1.91168,0.610364,-0.43,-0.026926,g
1.651515,0.510279,1.763615,-0.469648,g
3.946119,0.059074,0.859138,-1.787313,g
0.890978,-0.398252,-0.779297,0.001127,g
-1.359042,0.291226,-0.164676,0.847469,g
0.908701,1.852638,-0.223063,-0.566294,g
1.950521,2.144763,-0.020064,0.677209,g
2.691071,1.733813,-0.170833,-0.68549,g
-1.08724,0.289251,-1.468285,0.174019,g
0.970703,1.121296,0.485194,0.306981,g
0.792703,1.665997,0.795916,-0.000977,g
-2.268634,-1.057874,0.795232,0.246496,g
-1.881394,-0.02838,0.396968,-0.695905,g
-1.256267,-0.18837,0.424741,0.554064,g
0.369177,0.339822,-0.358785,-0.437839,g
-0.063814,0.606476,-0.00404,1.104985,g
0.764039,0.362155,0.160134,-1.844624,g
-1.993959,-1.146112,-1.319879,0.39209,g
-1.571281,0.101926,0.780532,-1.276575,g
-1.338518,0.2312,0.454681,0.111847,g
-1.814993,-0.070682,-0.388956,0.064268,g
-1.384985,-0.427568,0.930621,-1.142495,g
1.79008,-0.412999,0.521412,-1.273144,g
-3.049267,-0.442062,0.812729,-0.358143,g
0.801391,1.439058,0.332156,0.372312,g
-3.285094,-1.567582,-0.06131,0.060259,g
-2.201653,0.233593,0.154135,-0.493059,g
-2.374399,0.167054,-0.053571,-0.666539,g
0.182051,1.437923,-0.269068,-0.33121,g
-0.559302,0.758779,0.587698,0.02244,g
2.52739,2.017085,-0.314286,-0.48591,g
-3.703399,-1.193684,-0.235638,-0.459708,g
0.753444,0.295391,1.957074,-0.210417,g
0.881917,0.970996,0.805216,-0.009543,g
2.928335,0.727838,1.378873,0.497637,g
2.003227,1.666796,-0.262716,-0.967574,g
-1.648016,0.279261,0.702157,-1.20617,g
0.985328,0.254472,1.212128,-1.528372,g
-1.514069,-0.473739,0.967384,-0.036108,g
-2.448146,-0.081767,0.360433,0.250872,g
-3.065807,0.119463,0.805661,-1.050267,g
3.939351,0.849173,-0.324487,-1.568682,g
0.216288,1.271047,-0.653809,-0.260229,g
-0.077952,0.850028,0.464059,-0.649682,g
0.347725,0.211776,0.127287,0.637995,g
1.700058,-0.326915,1.777436,-0.485336,g
-1.873735,-0.042627,-0.525003,-0.084627,g
1.987012,1.655499,1.072096,0.890497,g
1.315287,0.649862,1.401588,-0.400315,g
-2.801468,-1.591631,-0.674155,0.188251,g
-1.65262,0.357193,1.017125,-0.363434,g
-0.956062,0.680492,1.405964,-0.293142,g
-0.86355,0.100064,0.372708,0.104884,g
-2.471505,-0.769975,-0.424867,-0.166773,g
-1.565122,-0.163191,0.237096,-0.689206,g
0.523895,-1.08598,1.904154,-0.323962,g
1.206577,0.870888,1.399956,-0.639768,g
-2.779817,-0.249602,0.943921,-0.423932,g
-2.106628,-0.961724,-0.284631,0.914025,g
2.384315,1.192858,0.678543,0.968516,g
-2.788432,-0.823103,0.881181,-0.31165,g
-0.280908,0.931147,0.727949,0.122765,g
-1.200225,0.649852,0.784446,0.209233,g
0.021272,-0.199272,0.263413,-1.037674,g
-0.916919,0.728646,0.249794,0.58269,g
-2.221646,-0.643424,-0.064249,-0.915974,g
-0.798161,0.485306,-0.102406,-0.82977,g
0.980492,1.014309,-0.535819,-0.509789,g
2.452902,2.21338,-1.449916,0.090603,g
2.979454,1.972507,-0.635608,-0.534917,g
1.207919,2.087058,-0.403866,-0.471189,g
-1.273258,-0.029882,-0.441461,-0.279096,g
-0.66125,0.732336,-0.440122,0.732501,g
1.496758,0.900362,1.713239,0.264116,g
-2.119904,-0.944799,-0.471554,0.860748,g
-0.04863,1.082137,0.240474,-0.722504,g
-1.220367,0.058568,-0.5298,-0.14524,g
1.886799,1.588477,-0.335287,1.536662,g
3.672782,2.423927,0.214772,1.432213,g
0.134328,1.453777,-0.208878,0.398551,g
0.701665,1.436397,-0.198058,-0.726868,g
-0.999673,0.909736,-0.862341,-0.072099,g
-0.520455,-0.558661,-0.633635,0.971826,g
1.452339,1.930302,-0.840025,-0.36648,g
-2.249431,0.426006,0.825857,-0.26236,g
1.255844,1.218823,-0.223558,-0.687767,g
-0.269427,-0.213737,0.570815,0.362433,g
-0.308654,0.291916,1.328916,-0.416553,g
-0.325207,1.042386,0.193748,-0.526026,g
-0.844884,-0.541142,0.646867,-0.882144,g
-3.38933,-0.689329,-0.298057,0.219128,g
-1.722414,-0.107869,0.76654,0.030301,g
-0.120333,0.65681,-1.071225,-0.106737,g
-0.698362,0.546235,-1.404495,0.06349,g
0.967207,0.673037,-0.453178,-0.136627,g
-1.080816,0.478647,0.627097,-1.113962,g
1.06711,0.28639,1.741427,-0.282854,g
1.250159,1.296009,-1.144142,0.270841,g
-0.269792,0.408345,0.358561,-0.786551,g
-1.422787,0.824419,0.466861,-0.944683,g
3.387758,1.876337,-1.248132,-0.577243,g
0.499909,0.432553,0.16917,0.130453,g
1.345695,1.796034,0.18286,0.458154,g
-3.069377,-0.898473,-0.044025,0.406798,g
0.934717,0.236306,1.788528,-0.668696,g
-0.637156,0.010013,-1.863243,0.681175,g
1.16332,-0.297999,1.668736,-1.570216,g
-1.148617,-0.06261,0.109758,0.444998,g
-3.247146,-1.540277,-0.426581,-0.285353,g
1.181839,1.566925,-1.179529,-0.109071,g
0.199188,-0.390856,-1.015412,1.988085,g
-1.358792,0.40344,-0.150054,0.588945,g
0.857638,1.155696,-0.229591,0.827063,g
0.342121,0.166906,-1.620707,0.625878,g
-2.018728,-0.939,-0.256413,-0.030339,g
0.746846,1.910656,0.136068,0.40572,g
-0.614453,0.562302,0.194921,-0.395344,g
-0.202795,-0.408532,-0.380708,1.866523,g
-0.304577,0.878071,-0.114384,0.812456,g
1.261428,1.513922,-0.158612,-0.445727,g
2.348748,-0.291752,1.399893,-0.200511,g
-1.151255,-0.051815,0.165287,-0.498355,g
-1.730526,-0.119141,0.750682,-0.181737,g
0.120108,0.087303,1.260674,-0.336478,g
2.688977,0.749361,1.044949,0.083166,g
-0.581766,-0.111688,0.051072,-0.461878,g
0.692417,1.338359,0.32822,0.372994,g
1.106018,1.700338,-0.169906,-0.434505,g
1.821714,0.643051,0.315648,-1.458504,g
3.045259,0.711608,0.738463,1.050385,g
0.645123,0.359546,-0.078172,-0.517078,g
-1.962628,-0.622478,0.45278,0.139572,g
1.233044,1.038991,-0.140166,-1.096171,g
-1.628611,-0.873309,-0.370341,0.570129,g
-0.8741,0.82478,0.14028,-0.534106,g
-3.105768,-1.03046,-0.127892,0.791306,g
0.754112,0.172817,1.764675,-0.156436,g
-0.760719,0.547021,0.06973,-0.458466,g
-1.725515,-0.51372,0.240113,0.452291,g
-1.891735,-0.009497,0.249998,0.271961,g
-1.298365,0.726053,0.397579,-0.51474,g
0.078299,1.265689,0.462384,0.299601,g
0.172482,-2.757606,-0.840008,-0.711124,g
-0.677161,0.361585,-0.424682,-0.19544,g
-3.492231,-0.653826,1.046007,-1.187767,g
0.810913,1.717492,0.166849,-0.437583,g
-3.815448,-0.89612,0.480266,-0.084113,g
0.726713,0.569899,-1.273181,0.102184,g
-1.376935,-0.121567,-0.980969,-0.153328,g
-3.565133,-1.62746,-1.381649,0.373123,g
1.59401,1.740158,-0.952925,-0.200389,g
-0.250147,0.470802,-0.030149,0.677416,g
1.014989,1.635347,0.904975,-0.137201,g
-0.820692,-0.556682,-0.686189,0.078085,g
1.131074,0.673514,-0.597989,-0.117779,g
-0.111888,1.01142,-0.692539,0.066118,g
1.70352,0.898369,1.842545,-0.188385,g
-1.832073,0.169623,0.991022,-0.269127,g
-0.348394,0.361916,-0.255774,-0.548947,g
0.385074,0.927453,0.186478,0.346701,g
-0.709791,0.816352,-0.080031,-0.401431,g
-0.194617,0.31635,-0.361691,1.160673,g
-0.56977,0.212972,-0.712091,1.233559,g
-3.047143,-0.887474,0.769713,-1.271862,g
-2.86145,-0.029866,0.760274,-0.619235,g
-1.248004,-0.373621,-0.377943,0.677505,g
0.197195,0.885026,-0.092268,-0.707972,g
2.924513,1.997036,0.520312,0.325831,g
0.512166,1.290139,0.470004,0.219778,g
-1.379377,0.579859,0.505635,-0.96863,g
2.120262,2.109524,-0.072621,-0.642127,g
-1.06707,-0.202847,0.290484,0.516248,g
-0.405462,-0.150851,1.148584,-0.076464,g
-1.426069,0.743595,0.216754,0.465873,g
2.249917,0.514577,0.28394,-1.486314,g
0.30779,0.950799,-0.369317,-0.661721,g
-3.174083,-1.432978,-0.850977,0.037997,g
-0.614813,0.456709,0.050593,0.370933,g
0.430774,1.263994,-0.311352,-0.161619,g
-0.7263,-0.534644,-0.988563,1.567382,g
1.281069,1.329958,-0.703223,1.200237,g
1.107592,0.28698,-0.160162,-0.705065,g
-0.84002,0.055241,0.46854,-0.717117,g
0.449758,0.561388,0.445454,0.169637,g
-1.055234,0.827143,0.088776,-0.675406,g
-0.183021,0.57619,-0.081438,-0.337131,g
-2.485599,-0.332026,-0.129481,0.368187,g
-0.197516,-0.216786,-0.21097,-0.274049,g
-0.667695,0.194834,1.093629,-0.194787,g
-2.435209,-0.515882,-0.13927,0.443698,g
1.764217,1.770947,-0.693673,-0.232758,g
-2.352891,-0.348479,0.566784,0.219359,g
-2.000832,-0.520314,0.456692,-0.522137,g
1.798592,0.684067,0.32268,0.696127,g
-3.492548,-1.457956,-0.128204,0.321793,g
0.561142,0.925578,0.13712,0.961144,g
-0.767805,-1.882147,2.428997,-2.209414,g
-1.351684,-0.330778,1.164295,-0.400428,g
0.845448,1.006164,-0.761876,1.334798,g
1.452712,1.720198,-0.9035,-0.699088,g
-1.304511,-0.620213,0.437049,0.417117,g
-0.080329,1.322291,0.339277,-0.55992,g
1.137792,0.795974,0.485362,-1.512034,g
0.762544,1.820273,-0.351107,-0.855331,g
1.825626,1.182868,-0.081659,-0.621723,g
-2.270561,-0.40212,0.074231,0.195002,g
-1.114169,-1.151548,-1.849917,1.274661,g
2.674364,0.764521,1.420541,0.007031,g
-0.635289,-0.669171,1.428321,-0.136501,g
-2.100636,-1.595983,-1.744011,0.731823,g
-3.074037,-0.540102,0.205808,0.182671,g
0.541154,-0.07915,0.919493,-1.560522,g
3.297517,2.159793,-0.963901,-0.390991,g
1.933177,1.703979,0.184326,0.434111,g
-0.253958,1.216655,-1.008662,0.115917,g
-1.371532,-0.842416,-0.060882,-0.548294,g
-0.181371,1.176237,0.41268,0.28692,g
0.56307,-0.25335,0.075811,-1.106257,g
0.499073,1.345994,0.076105,0.333537,g
2.189304,0.455183,0.28123,-0.852253,g
2.320707,1.60048,-0.480439,-0.935149,g
-0.142181,0.976412,-0.016221,0.927304,g
0.508702,1.268666,0.738651,0.190922,g
1.944797,0.111519,1.537482,-0.133506,g
-0.359452,0.875531,0.489291,0.176491,g
-0.91693,-0.584046,-0.937494,-0.141098,g
-0.89125,-0.269805,-0.407286,-0.100611,g
0.957143,-0.783428,2.49514,-0.44024,g
0.208768,0.538777,-0.644272,-0.572813,g
0.548657,0.782627,-0.793702,-0.376716,g
1.832728,1.864476,-0.133537,0.748992,g
0.395888,0.273671,-0.15084,-0.473938,g
-2.304765,-0.108666,-0.254419,0.642555,g
1.872478,2.323163,-1.150211,-0.211513,g
-0.027522,1.289902,0.446937,-0.140428,g
-2.882167,0.055793,0.787368,0.02878,g
0.380793,0.313872,0.351719,-0.992694,g
-2.01827,-0.300334,0.757537,0.042631,g
0.082367,0.712889,-0.393055,-0.327384,g
-1.218453,0.085535,0.378027,0.207345,g
-1.225132,0.517081,0.622669,0.167676,g
2.306218,2.130659,-0.663163,-0.672099,g
-2.306884,-0.588303,-1.039604,1.44125,g
0.664473,1.412099,0.0678,0.713622,g
-0.05377,0.522713,0.588583,0.193907,g
1.314263,1.525664,-0.028526,1.101657,g
-1.638019,-0.143759,0.705995,0.004236,g
-0.960832,-0.244448,-0.712285,-0.018572,g
-2.037266,-0.312864,-0.08346,-0.510195,g
-0.623458,0.606672,-0.774601,1.568687,g
2.225971,0.820458,0.374287,-1.032201,g
1.904179,1.906933,-0.696501,-0.389415,g
-1.703435,-0.075867,0.730871,-0.28846,g
0.51272,0.747261,0.218568,0.156837,g
-0.823947,0.904388,0.597874,-0.129529,g
-1.447084,-0.146106,-1.002125,0.858417,g
-2.614819,-1.723931,-0.176924,0.012202,g
0.778731,-0.08692,1.476129,0.290842,g
-1.006757,-0.550609,-0.121376,0.668761,g
-0.132649,0.446412,-0.20062,-0.448715,g
-2.319996,-0.333612,0.105353,-0.667875,g
-0.069045,0.549073,0.8647,0.036689,g
-1.51581,-1.319309,-0.392165,0.992121,g
-0.661548,0.075561,0.171417,-0.686105,g
-0.314106,0.144715,0.051351,-0.74218,g
-2.780289,-1.812347,-0.493365,0.009632,g
0.884867,0.784142,-0.089829,-0.874462,g
-0.273552,0.139317,0.436253,-0.940327,g
1.515803,-0.548926,0.066299,-1.41275,g
-1.292141,-0.05872,0.486683,0.438826,g
1.755433,1.163007,1.590693,-0.007319,g
-1.058005,0.632562,-0.070305,0.587905,g
-0.785249,0.038022,-0.451453,-0.371028,g
-0.27513,0.127965,-0.050978,-0.618425,g
0.790363,1.155273,-0.231026,0.955531,g
-1.883448,-1.167138,-0.545428,1.067989,g
1.72969,2.156105,-0.33285,0.048841,g
1.809962,1.813794,0.231573,0.816784,g
2.115846,1.865027,0.603717,0.194087,g
4.255108,1.797571,0.40325,1.148169,g
0.385123,0.881388,-0.9469,-0.289749,g
-2.568614,-0.731732,-0.009034,-0.678503,g
1.428945,0.16054,0.256888,-0.770785,g
0.780437,1.452311,-0.176383,0.796801,g
-0.129448,0.675565,0.284963,0.120899,g
-0.274329,0.196994,-0.919735,-0.034296,g
-0.356849,1.238741,0.330233,0.040039,g
0.390241,1.047905,0.090285,-0.56953,g
-1.277033,-0.318775,-1.234856,1.695877,g
-1.248858,-0.197475,-0.272389,0.681403,g
-1.236135,0.788711,0.05704,0.459492,g
1.03305,0.033853,0.609321,-0.922297,g
-0.319193,0.293886,-1.994189,1.076535,g
1.082988,1.676566,0.302412,0.417479,g
0.553377,1.150703,-0.87707,0.293612,g
-0.085237,1.173833,0.089139,0.480161,g
0.767152,1.410908,-0.210364,0.435701,g
2.301566,2.277403,-0.633035,-0.203522,g
0.594733,1.464064,-0.493037,-0.350694,g
-1.947782,-0.503002,0.113369,-0.42461,g
-0.797914,-0.158962,0.091521,-0.705051,g
-0.320067,1.302691,0.073125,0.462608,g
-1.124943,-0.176256,1.185366,-0.177739,g
0.654271,1.214569,0.934925,0.050673,g
0.971464,1.423834,0.153955,0.330545,g
-1.618531,-0.023904,0.160406,0.663401,g
0.646652,0.99092,-0.028331,1.055611,g
-0.230756,0.629425,-1.179503,0.25954,g
1.427345,1.828406,-0.370879,0.891388,g
2.234241,1.131287,1.532113,-0.129821,g
0.567304,1.004147,0.413777,0.803478,g
3.358688,1.848699,-1.099337,-0.514219,g
0.310741,0.899922,-0.728989,1.386931,g
0.35422,0.645561,0.713121,0.250441,g
-0.1247,0.079042,-0.448592,0.925679,g
-3.081928,-0.745014,0.520841,0.132516,g
0.274349,0.493925,-0.355215,-0.444882,g
0.03979,0.076044,0.191955,-0.810889,g
1.669575,0.16895,0.844993,0.074225,g
1.37018,0.712489,1.883514,-0.177777,g
-1.143292,0.612675,-0.081669,0.504639,g
3.659704,1.453319,1.341538,0.702061,g
-2.860547,-0.085974,-0.276034,-0.036012,g
-1.15781,0.557798,-0.187967,-0.285378,g
0.005495,0.08625,0.990627,-0.51455,g
-0.307187,1.134958,0.611787,-0.034296,g
-1.152601,0.90833,0.295999,0.043558,g
-1.181676,0.7253,0.33693,0.111751,g
2.3529,1.855405,-0.623175,-0.401017,g
-2.382633,-1.361483,-1.010982,0.135024,g
-2.443113,-0.013669,-0.473868,-0.228251,g
-3.596277,-1.076451,0.126048,-0.296894,g
0.040509,1.194783,0.052599,-0.494376,g
2.387164,0.126848,0.293818,-1.429774,g
-1.401833,0.327054,-0.115481,-0.526656,g
2.288751,1.712682,-0.32113,-0.91844,g
1.301081,1.596444,-0.263949,-0.820571,g
-0.755715,0.09374,0.573844,-0.768214,g
-2.574417,-0.143199,0.851343,-1.368784,g
-3.735498,-1.558525,-0.395589,-0.002644,g
-3.479162,-0.781885,0.290917,-0.949997,g
-0.24501,1.078667,0.071505,-0.758827,g
-3.975444,-0.850713,0.954424,-0.359335,g
1.836104,0.828578,0.240123,-1.122005,g
2.629123,1.15668,0.288922,-1.50041,g
-3.224143,-0.921975,1.166331,-0.294755,g
-2.365106,-0.584011,-0.961938,1.246085,g
2.881925,-0.585557,1.833028,-0.894865,g
0.128275,0.495404,0.428964,0.215347,g
-1.277226,0.519503,0.559808,-0.25827,g
0.809876,1.143403,-0.752832,-0.324289,g
0.162505,0.412266,-1.232679,-0.227924,g
-0.268029,-0.118662,0.650129,0.224753,g
1.648607,0.094442,0.428194,-1.041815,g
-0.674787,-0.560624,-1.382901,2.031509,g
-1.916573,-0.582632,-0.470044,1.022345,g
2.433479,2.180805,0.168313,0.383024,g
3.310553,0.96252,1.151391,0.20175,g
1.134004,1.027085,0.908023,0.397219,g
-1.175842,-0.919266,1.531187,-1.745849,g
2.737852,0.662709,1.370197,0.206349,g
-3.181562,-0.349769,0.86008,-0.412994,g
-3.073826,-1.12792,0.518839,0.299566,g
1.325738,0.406488,0.579002,0.293814,g
-0.417361,0.796823,0.616005,0.092323,g
3.164697,0.603092,0.546595,-1.582826,g
-1.864371,-0.80378,-0.187037,0.844434,g
-0.75111,0.83765,-0.106172,-0.441299,g
-0.214572,0.86392,-0.553829,-0.13399,g
-2.0723,0.594087,0.165707,-0.346483,g
-1.221858,0.018813,1.056075,-0.26147,g
-0.494498,0.543146,0.22674,-1.004451,g
-1.158636,-0.349589,-0.883383,0.003958,g
-0.024616,1.040783,-0.816306,-0.013137,g
-1.863532,-0.724163,-0.032212,-0.244182,g
-0.968851,0.400422,-0.018598,-0.263337,g
-0.95115,-0.718195,-0.694981,1.55884,g
3.637759,1.45491,1.396861,0.295446,g
-0.955139,0.642125,0.892586,0.10423,g
-2.232022,-0.794171,-0.550407,0.141267,g
-3.292816,-0.885081,1.017563,-1.068449,g
3.178771,0.759366,0.435891,-1.520448,g
2.419321,2.140384,-1.018643,0.018931,g
0.111998,0.130582,1.56023,-0.773776,g
0.317314,0.117013,1.132682,-0.254665,g
0.747501,-1.277523,-2.043258,0.513178,g
-1.164713,-0.283339,0.390291,-0.073209,g
-1.802419,-0.175104,0.489351,-0.252065,g
-0.031463,0.561362,0.62889,-0.844801,g
-3.582111,-0.061955,0.928753,-0.751791,g
1.156074,0.630063,0.411844,0.01521,g
-0.386264,0.195898,0.154062,-0.721532,g
2.190625,0.660576,0.459177,-1.465964,g
-0.525902,0.079164,1.592002,-0.590908,g
-0.196525,1.219626,-0.088952,0.370241,g
-1.955489,-0.504496,-0.175709,-0.445949,g
-1.585075,0.131808,-0.118062,-0.242594,g
2.773584,1.248162,0.587648,-1.301863,g
0.458635,0.794287,0.882248,-0.284784,g
-1.741333,-0.489312,0.483076,-0.930185,g
2.246925,0.799465,1.424653,0.021237,g
-3.365217,-1.554083,-0.276101,-0.036189,g
0.534564,0.694042,0.750907,-0.35232,g
-1.398481,-1.06989,0.729749,0.338283,g
2.231182,1.625614,0.466371,0.033497,g
-0.636079,0.62811,-1.253144,-0.185623,g
-1.592599,0.25204,0.622317,-0.139774,g
-3.993662,-1.49148,-0.204384,-0.489443,g
-1.167023,-0.038947,0.821173,-0.074132,g
-2.505277,-0.512686,0.518474,-0.15378,g
2.45893,2.079757,-0.29288,1.455147,g
-1.456284,0.160704,-0.025839,-0.650335,g
-2.696984,-0.115005,-0.375007,-0.433774,g
0.368422,0.811638,-0.032585,-0.720574,g
1.779256,1.247675,0.511504,0.25324,g
-0.568382,0.228703,-0.278048,0.561326,g
3.648473,2.492295,0.17724,1.54699,g
0.781168,-0.136439,1.730953,-0.346399,g
1.364244,1.357995,-0.374823,-0.589245,g
2.965866,1.059274,-2.091475,-1.943819,g
-0.9362,-0.064569,-0.390105,0.057054,g
-1.343848,0.183707,0.278836,0.388941,g
-1.220086,0.449647,-0.167224,-0.187174,g
-0.301986,0.930289,0.143018,-0.573034,g
-0.407474,0.65001,0.089479,0.589636,g
-0.137826,-0.093477,0.314477,-0.730985,g
-2.447953,0.169917,-0.075598,0.294196,g
-1.424271,-0.547893,-0.351367,-0.102384,g
1.719264,0.26979,0.584937,-1.000305,g
