@relation magic04-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-P50.0-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute class {g,h}

@data
14.131803,49.731336,272.436177,-276.338314,299.365237,g
23.815352,68.500011,232.394799,-236.686475,264.538025,g
19.570096,85.919073,304.239574,-309.105251,337.681318,g
-9.270456,13.493715,336.300008,-341.071981,377.13553,g
27.193371,72.523739,438.039633,-444.158449,497.018907,g
22.646391,40.153614,284.211697,-288.017533,310.717098,g
-30.233293,-127.601569,531.178067,-536.281035,579.345707,g
-12.188961,-26.922132,399.123915,-404.167128,445.267827,g
-34.558224,-186.727375,420.001883,-426.675128,491.799199,g
38.227747,109.297602,486.94478,-493.031726,544.877896,g
22.949154,12.104437,406.067534,-409.889824,431.61563,g
26.613307,-169.681397,496.501371,-501.491063,532.723403,g
-15.240661,-40.675308,386.493108,-390.691772,412.726576,g
-10.73144,-0.202996,203.897021,-207.977733,235.18929,g
15.340774,46.624556,300.870389,-304.827086,321.969885,g
63.952512,-125.293438,437.747782,-444.839145,521.264847,g
25.873548,94.945829,249.744752,-254.270255,291.634401,g
13.020692,35.015139,385.773614,-390.935992,422.856822,g
-14.815963,-60.629746,268.283065,-272.993724,320.055969,g
-18.581614,-100.20676,576.612704,-581.939626,639.634932,g
18.735767,39.068138,226.00665,-230.1705,257.105102,g
-43.991839,-3.65584,452.347412,-458.37339,518.193575,g
-11.996011,-99.172899,499.119885,-504.329894,543.272458,g
15.421661,14.158996,324.469754,-328.356996,345.935753,g
-8.060445,0.474062,371.466182,-375.67316,398.298074,g
-19.37524,5.793537,440.379114,-444.910159,480.543467,g
-3.814669,-107.335708,185.395947,-189.689008,221.261523,g
19.359998,29.534238,297.726543,-302.071393,329.823004,g
19.790413,-18.35818,222.937456,-227.326472,254.868159,g
-25.794567,-127.260008,494.420138,-499.16665,535.713615,g
-4.469037,-104.966263,490.463095,-495.825524,526.550547,g
-4.886115,-4.895468,271.842776,-275.614317,293.183721,g
-14.345018,-21.440191,145.014915,-149.38384,189.444443,g
-36.380861,-7.342163,388.988474,-395.347525,453.898983,g
-5.50134,-50.277971,303.763607,-307.368004,324.586841,g
-14.596339,-11.642326,314.858778,-319.688082,354.414488,g
-19.677829,-5.310295,288.914215,-292.855151,326.51981,g
29.937459,-40.185311,377.961372,-382.28613,415.041809,g
-17.814489,6.223432,213.807469,-218.189904,249.149273,g
32.049868,30.755853,387.115954,-391.112661,422.343442,g
30.235199,39.632267,318.71744,-323.122738,358.08557,g
28.21147,176.725994,406.826172,-411.826256,464.909457,g
34.098365,169.842997,273.665586,-280.204251,345.929864,g
35.319287,104.156356,444.24176,-450.987925,515.663915,g
27.638681,102.156876,363.598861,-369.257644,408.070651,g
22.112919,55.853616,355.430855,-359.731364,391.410054,g
-6.48653,56.64395,239.242809,-244.082332,274.602972,g
-39.511716,-69.563491,538.467922,-543.806796,597.545404,g
-9.137261,18.691599,331.772427,-335.617753,362.455187,g
19.189391,69.405701,391.081657,-395.837695,424.961091,g
19.53788,79.69287,251.591985,-255.713053,283.552306,g
-31.812577,66.290954,361.528887,-367.14281,437.901069,g
-40.375317,88.123108,451.767868,-459.014249,537.521357,g
-2.730232,70.268089,262.623763,-267.47541,303.113395,g
29.088234,106.249712,400.463137,-405.488683,442.171094,g
25.7407,60.482695,84.442153,-89.199404,126.597152,g
-7.989084,11.088762,392.208876,-396.74529,434.953465,g
33.88792,128.664528,371.922057,-377.526454,423.552933,g
-7.625873,45.824175,324.149152,-328.188987,346.201276,g
30.20125,44.453257,422.821661,-428.014003,468.084999,g
-16.648472,-74.058336,331.496858,-336.090603,369.471898,g
-11.276517,-98.620202,389.021209,-393.18939,425.255539,g
14.757939,73.833169,385.661204,-390.603438,420.686216,g
16.724336,-31.184536,316.612825,-321.191502,347.853133,g
5.021908,45.238049,252.183307,-255.875866,260.905741,g
-13.63124,-11.391525,312.710688,-316.809413,342.945194,g
31.791273,71.601941,232.021889,-236.968799,276.536287,g
34.17267,77.908685,131.508729,-136.369729,178.235996,g
19.712297,10.080362,228.543065,-233.890945,282.728715,g
22.798465,2.186021,369.799602,-374.206113,401.294348,g
-19.809465,-216.146084,394.50748,-399.606638,434.088825,g
23.882383,48.623862,180.739329,-186.623278,242.527643,g
19.261964,17.596943,369.394129,-374.046764,404.352457,g
19.661548,63.66222,359.373003,-363.356547,387.208272,g
50.823913,105.866409,372.318004,-379.438638,457.073832,g
-6.85563,170.096223,448.126924,-452.832559,508.025224,g
-13.583089,94.878452,383.41179,-388.829818,435.745358,g
-5.556939,-11.004238,235.483912,-238.98837,256.205821,g
-9.936429,-243.715657,426.217001,-431.038164,466.648263,g
28.440967,35.892423,62.214919,-67.171702,110.227887,g
18.641024,-211.33081,521.147588,-526.048079,556.781588,g
-10.745816,14.570358,374.699055,-378.73023,405.551729,g
23.364673,-4.876589,300.438415,-304.28149,328.350068,g
34.087799,121.078838,291.470896,-296.944523,358.157623,g
-26.37134,-65.133597,21.372814,-26.620928,76.68551,g
-9.324496,36.66128,229.723977,-234.032973,263.636319,g
-13.342853,56.840192,370.55062,-375.780547,421.270263,g
24.429537,38.802788,157.536776,-162.704176,210.027442,g
11.974533,6.438033,383.96899,-388.033074,413.319111,g
-10.942577,102.493414,381.466004,-386.566027,423.09775,g
10.244907,81.05253,329.019852,-333.463082,358.114841,g
-38.549042,-67.227647,45.094462,-49.908178,107.013893,g
-15.933655,43.726662,237.743546,-242.816203,279.162423,g
21.098457,74.131775,377.200482,-382.732999,424.878472,g
-17.400702,-96.101107,512.813652,-518.662614,573.770928,g
17.124786,-38.956767,311.11876,-315.441093,337.341317,g
-6.591839,-21.795088,251.430557,-255.88799,280.96237,g
-13.001639,-66.229466,420.470402,-424.946541,463.237508,g
-16.418456,-121.827258,467.34905,-473.492461,538.117355,g
17.77673,-11.198921,286.43236,-291.027837,318.854965,g
-13.693767,55.452299,344.205607,-349.468963,386.170427,g
20.05455,112.017441,416.041029,-421.427014,469.089935,g
43.566101,-94.70161,432.796715,-438.219247,488.211429,g
-37.538737,-130.243293,480.173674,-486.302709,574.55728,g
21.578582,47.095674,336.136329,-341.634897,385.934175,g
-8.942925,-36.418793,281.644452,-285.516451,312.700469,g
39.538909,52.928528,462.368192,-467.665842,518.239821,g
-2.484627,-4.253744,236.596755,-241.089348,273.853168,g
16.630113,54.903413,314.124561,-319.071472,351.228554,g
-14.809554,13.121151,285.463277,-289.441278,310.817383,g
-25.758194,-184.667966,430.579863,-435.413324,473.347142,g
15.679563,34.466425,289.597683,-294.119548,331.866304,g
-12.886112,-18.871386,345.861794,-350.115018,376.565859,g
-8.977566,14.708056,279.489434,-283.718583,311.035795,g
9.09396,63.231806,342.027727,-346.313167,377.432058,g
-13.994971,16.234339,302.549612,-307.314311,337.749561,g
47.323439,-45.389604,216.342499,-220.969846,265.872051,g
20.056456,33.117504,281.623147,-286.235252,318.324092,g
14.483928,16.544203,372.449121,-376.405817,394.448591,g
13.161161,92.88746,420.537433,-425.518118,459.281158,g
-4.257034,11.252788,249.031494,-252.931379,275.253011,g
31.272697,50.218561,241.016948,-246.417136,297.0914,g
30.319549,76.579336,208.504449,-212.938326,247.267054,g
25.232516,46.856651,167.499186,-171.235046,195.284745,g
32.495871,94.342383,290.695803,-296.885633,348.106359,g
-13.517964,1.470684,325.296462,-329.860416,366.179963,g
-10.588719,16.244038,491.326176,-496.473311,525.360628,g
18.989685,-10.640854,242.546696,-246.794723,281.19152,g
21.344409,67.701536,287.365935,-292.929629,344.119871,g
18.976175,37.880644,152.098483,-157.233494,193.536759,g
-27.362419,-108.114265,545.575739,-551.384518,592.485045,g
-9.987178,-21.523503,354.77181,-358.634976,381.514674,g
26.476821,11.744517,223.215623,-227.584548,257.95883,g
-7.992895,-16.826181,265.642207,-270.904871,309.901648,g
16.881087,83.210838,337.208642,-341.870456,370.462805,g
-20.173196,12.857879,243.533791,-248.284287,294.426813,g
-14.4143,22.752393,114.667479,-119.46093,158.305287,g
23.635219,-3.449552,385.981114,-389.872512,413.387873,g
5.276,6.047455,208.617033,-212.626557,217.902557,g
-4.44704,-47.116632,88.645841,-92.774703,114.088801,g
27.432567,24.54368,312.086111,-317.062293,353.800129,g
-14.905163,30.939797,489.689734,-496.147686,557.673248,g
-12.395422,41.185397,365.867501,-370.936001,405.652188,g
20.091789,33.313226,352.094579,-356.170268,383.33939,g
25.317733,91.530571,478.146135,-484.007742,531.054572,g
-15.367101,-48.283168,200.604392,-205.175275,237.797585,g
-18.118291,-61.377645,398.373245,-402.793611,441.52833,g
-13.10435,9.2469,156.771556,-161.495032,186.475361,g
44.477506,-44.713931,499.64054,-505.469583,562.425649,g
31.12963,90.445095,367.267864,-372.12592,411.019467,g
22.234336,45.869728,280.834198,-284.338657,309.338732,g
-6.873297,8.828956,287.400749,-292.120761,331.153046,g
15.702599,76.398856,287.392436,-292.520865,333.790266,g
-16.006921,-24.687786,48.511625,-53.380247,87.380058,g
-11.879617,7.296264,156.518157,-162.531491,216.761136,g
30.592001,-21.988905,323.000975,-328.424546,369.273579,g
15.434824,-18.252871,325.931259,-330.426797,356.834856,g
-9.941625,0.815103,321.151318,-325.980622,363.253663,g
21.349605,61.280477,311.095551,-315.648939,340.931512,g
17.471716,-5.636267,282.780677,-287.620893,319.686696,g
-3.367453,29.89052,247.591813,-251.538811,274.562269,g
18.355582,-19.983363,315.674747,-320.30296,360.661995,g
-13.796131,-45.165476,391.678695,-395.749361,421.854138,g
-3.923961,-16.287167,176.737252,-181.03395,206.677482,g
27.246891,101.550485,352.134763,-357.924835,404.34449,g
-14.344152,-13.069363,222.069005,-226.306294,252.253974,g
10.225682,-35.650629,298.114696,-302.107766,323.939574,g
-25.06572,137.126809,422.08554,-427.445891,487.440493,g
-0.838486,-9.923265,283.189614,-286.898628,304.778935,g
-25.572345,-3.471896,201.212862,-206.453528,262.041967,g
15.523852,-75.857244,638.578381,-642.755394,660.722477,g
-8.328566,-76.959694,324.311272,-328.679157,351.865775,g
-14.501942,13.136566,117.434084,-123.672585,174.702439,g
45.877349,74.434364,304.041947,-309.538264,358.308311,g
-16.008999,-63.305937,296.284784,-300.249275,335.55436,g
13.684241,44.690721,402.53848,-407.161844,430.517509,g
38.968892,-19.696362,515.160754,-519.897567,560.9974,g
34.734374,172.62571,454.042916,-459.1251,494.825958,g
26.824098,-5.218323,379.109202,-385.010646,430.806762,g
-2.814063,30.577971,333.350325,-337.512617,360.08886,g
11.713686,12.4337,134.954298,-139.778579,176.854858,g
-23.043031,-139.681064,510.146294,-515.844568,575.881259,g
-22.772658,-51.7516,362.132506,-366.673424,402.30933,g
25.396195,-12.44669,83.257084,-87.902618,120.933173,g
-5.185067,-4.822376,147.872106,-151.581119,169.004858,g
30.189819,-32.915028,507.503357,-512.361413,550.568203,g
38.765549,119.848216,393.063123,-399.837001,467.815838,g
-10.455351,21.854844,356.022697,-362.095614,413.32552,g
23.521943,97.674329,207.905506,-212.387534,247.94238,g
23.837696,-61.155077,156.489924,-160.598349,191.278165,g
-14.273138,80.404397,381.979384,-386.687271,423.026217,g
36.22515,-37.914246,386.6121,-391.252957,433.596923,g
-6.505929,40.429357,307.587455,-312.673276,351.720456,g
27.147472,-112.764475,434.511965,-439.928781,499.27092,g
42.677039,97.371047,446.870148,-453.087171,509.117629,g
-21.601098,20.237108,180.448517,-185.589244,234.591213,g
-16.862207,13.245512,432.138882,-437.109002,471.456782,g
-25.333841,-13.464617,584.540474,-590.298504,657.565468,g
-10.661466,-17.597117,263.180617,-267.847801,296.761445,g
30.496219,36.684663,390.921269,-395.392558,429.711413,g
18.16471,-17.051001,313.879996,-318.19159,347.578083,g
-34.092822,-206.614609,558.669697,-563.689007,605.059214,g
34.94603,67.146587,258.029844,-262.856031,306.207877,g
30.366315,178.181436,330.858597,-335.794422,379.719231,g
-12.246812,40.513534,291.125525,-297.538616,347.79892,g
23.013066,-13.692901,272.933622,-278.160431,322.388002,g
-8.616606,36.383459,159.709114,-163.73492,190.490255,g
36.711856,131.790187,289.10145,-294.640895,346.056304,g
-2.470424,75.063098,436.846423,-441.59155,471.918027,g
-14.964746,7.421145,178.137615,-181.976186,207.192248,g
25.889656,-7.105392,407.835265,-412.54679,447.789001,g
-12.850605,-57.470658,195.131978,-199.021298,222.537352,g
23.717145,2.025114,254.660659,-259.107873,298.531774,g
-9.747809,-9.462886,257.911199,-262.183995,293.600972,g
-14.874679,30.648119,353.253321,-357.623458,382.940499,g
37.785554,159.702532,462.869794,-468.873082,528.716303,g
-12.347271,19.699133,108.630416,-112.817649,139.740474,g
-18.245423,87.069848,335.411985,-340.503868,378.976527,g
-13.775173,-18.124699,311.298547,-316.08888,355.607698,g
-26.442007,43.73411,249.918823,-255.650699,313.350508,g
-11.580145,-9.098463,291.214552,-295.513849,327.274811,g
22.805393,0.219624,111.078324,-115.789848,140.079609,g
22.540736,-37.349424,214.699822,-218.584812,240.503049,g
-22.714114,18.972885,48.058694,-52.711329,94.712349,g
30.476473,-103.991118,438.795673,-444.544696,496.34081,g
32.576238,87.030357,344.680709,-350.813035,398.381385,g
-3.107299,-41.466509,220.226276,-224.080609,250.856556,g
-2.967696,-26.553378,301.903557,-307.300454,346.81321,g
-6.514763,57.514999,377.340086,-381.603702,409.035749,g
3.889147,9.956174,112.67614,-117.40741,150.931081,g
9.692037,-29.644223,363.328141,-367.191307,388.176488,g
-35.384412,-87.394261,476.373381,-481.127341,527.930818,g
-9.658955,-46.809019,317.138503,-321.700725,352.218594,g
22.707532,28.535537,376.592186,-381.338698,411.434813,g
21.419233,18.873118,317.47123,-321.373367,341.939219,g
-14.226892,-69.170488,320.227962,-324.950052,360.904136,g
-12.555636,-63.384053,288.260539,-292.427334,319.079093,g
21.160984,-8.138387,296.791063,-301.328343,331.20622,g
24.790843,18.50246,336.646071,-341.148191,374.896855,g
17.222994,-20.723642,317.320715,-321.408008,343.494947,g
32.910524,27.556062,397.948892,-402.972013,440.588865,g
22.59339,-4.540744,364.608819,-369.60059,404.006047,g
47.977807,-127.051469,406.443043,-411.244287,480.390527,g
-18.601186,-7.894341,363.429812,-367.75942,398.478207,g
-28.6211,-68.217341,551.412577,-556.925349,612.097229,g
-11.393257,42.396966,190.03386,-194.467736,231.341539,g
25.52887,43.072986,331.671622,-336.217043,368.023904,g
24.906025,-13.297474,277.047762,-281.94323,313.08689,g
-16.460198,18.074989,222.928103,-228.61685,273.523558,g
-11.295916,-61.383188,169.763496,-173.984504,200.299898,g
10.051957,137.955422,416.804863,-422.426407,465.794362,g
-23.525234,54.02838,352.136148,-358.260853,410.138719,g
-12.773702,18.967688,457.079721,-463.081104,508.74212,g
-33.892251,-22.881257,416.245238,-423.734106,517.490189,g
35.001283,37.262475,158.362445,-163.597049,208.642321,g
23.297815,47.251905,372.330648,-376.08712,401.789368,g
23.226455,-29.472403,399.042509,-404.586284,447.658231,g
-14.228451,60.710113,261.491001,-266.557423,307.526314,g
-7.886893,124.805173,339.55176,-343.978362,374.767124,g
26.338257,46.314346,229.635642,-234.183661,273.47177,g
-4.642416,60.945672,303.369045,-308.26001,338.233323,g
18.829471,48.128496,438.687593,-443.488145,477.525022,g
-15.038878,13.510689,95.346106,-99.94574,136.644952,g
-8.388842,8.299814,163.907259,-168.25921,195.178224,g
-10.822027,62.86132,211.44374,-215.744249,241.498458,g
24.134742,-200.305094,349.804288,-354.942244,390.077934,g
18.82566,118.842068,207.595989,-212.371946,248.985248,g
-14.71533,93.092535,419.067441,-424.61572,464.346021,g
16.333586,44.465901,165.768521,-170.97368,220.089964,g
-11.689438,53.241856,252.32672,-257.183564,289.851082,g
-2.567246,50.443901,261.539672,-266.988704,307.196704,g
24.690211,147.247528,392.583865,-398.967511,446.246436,g
25.528004,82.893873,283.916902,-289.297518,329.281738,g
14.125221,12.414474,353.670226,-357.568033,381.725119,g
23.209308,-8.320599,346.766791,-350.972383,385.109546,g
-11.251922,60.866171,257.121037,-261.775231,295.38966,g
-16.171292,-50.947062,329.056052,-333.47001,361.850182,g
-18.021469,22.840381,453.597087,-458.655714,502.24208,g
-7.546892,11.487654,307.842067,-312.997169,354.156932,g
-17.438288,-9.028661,224.590178,-229.136465,262.062751,g
-23.835271,-6.095953,219.953478,-225.556316,278.796614,g
24.252695,60.188592,161.797794,-166.963982,206.883423,g
-12.686579,98.881568,344.011271,-349.610991,398.63617,g
-23.039047,-74.333558,575.604304,-581.624393,638.355812,g
-26.704586,-19.952186,275.931802,-281.172468,329.504653,g
46.975989,57.543404,325.653957,-332.737352,405.784863,g
-17.667611,28.700082,130.308244,-135.908138,182.357584,g
-17.480723,-18.346748,401.045972,-406.342584,442.74752,g
-11.10591,17.528527,337.16967,-341.984772,382.356105,g
-11.329518,9.50688,277.202781,-281.212305,305.735893,g
26.026661,24.239878,224.708651,-229.876051,267.491691,g
25.115776,-22.168172,292.91508,-297.843457,329.525957,g
-15.294182,-31.20151,450.790991,-456.132116,510.059172,g
-30.047617,-91.20408,565.633927,-570.847573,616.668804,g
-8.290288,25.750746,181.726251,-186.217978,217.939277,g
-43.48123,-20.494145,592.825046,-599.70354,680.902428,g
11.435346,39.826257,128.74784,-132.910131,155.625631,g
16.177701,66.375824,314.743423,-319.061079,345.431899,g
-1.643023,-50.397829,414.879516,-419.339893,445.923582,g
-9.108855,40.44252,360.78653,-365.230626,397.982494,g
-4.479949,56.186169,247.997633,-252.352874,277.147528,g
-7.043731,48.360417,328.598963,-332.830883,354.851658,g
31.520553,89.035725,372.154152,-378.733694,431.518462,g
24.071176,35.078186,276.157142,-280.157486,303.390003,g
22.359044,4.382955,88.5388,-92.578635,116.308944,g
10.248198,13.310464,230.275289,-234.076274,252.017376,g
17.188872,67.50287,339.395356,-344.473729,379.421491,g
45.485906,-162.799786,475.146916,-480.320206,539.773889,g
22.188956,29.056192,268.126488,-272.332081,301.167262,g
39.10174,82.788045,489.248581,-495.361335,548.673339,g
33.252258,109.829342,448.659183,-453.897771,499.095636,g
14.389705,-22.859953,321.193927,-325.42983,349.07267,g
24.176831,-6.287864,343.589517,-347.23635,372.420368,g
13.951669,29.017913,288.543903,-292.725247,315.262172,g
25.291752,-2.049363,198.523333,-202.343371,224.920654,g
23.172761,85.851177,387.888102,-392.409967,426.164519,g
-7.251577,5.98666,299.371819,-303.271704,324.559128,g
33.993229,-22.93599,523.478755,-528.826288,580.270796,g
44.542631,-28.539001,548.272542,-554.025896,609.461221,g
-13.091879,-40.286116,348.830529,-352.494856,375.992204,g
-8.831034,17.539613,109.982455,-114.125174,140.953775,g
-7.461675,-101.076596,658.141029,-664.412958,729.485067,g
-10.56551,-22.715673,296.292752,-301.011378,339.497374,g
-1.223347,47.48296,390.894769,-395.172588,417.016,g
28.967857,130.89974,289.113574,-294.166313,340.414321,g
38.530509,79.924792,200.190779,-205.277466,252.999622,g
-14.963187,-61.854652,317.981838,-322.454167,355.295409,g
31.040602,-182.743485,361.708847,-366.94882,416.121396,g
