@relation 'magic04_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A12-M-1'

@attribute 0.449fSize-0.442fConc-0.429fConc1+0.408fLength+0.395fWidth+0.257fDist-0.145fAsym-0.097fAlpha+0.012fM3Trans+0.005fM3Long numeric
@attribute '0.6  fM3Long+0.487fAsym-0.457fAlpha-0.245fWidth-0.226fLength-0.196fConc1-0.188fConc+0.093fSize-0.031fM3Trans+0.012fDist' numeric
@attribute -0.603fM3Trans-0.47fAlpha+0.454fDist-0.377fAsym-0.153fWidth+0.139fConc1+0.129fConc-0.071fSize-0.058fM3Long-0.001fLength numeric
@attribute -0.795fM3Trans+0.386fAlpha-0.364fDist+0.214fAsym-0.116fConc1-0.109fConc+0.095fWidth+0.057fSize+0.054fM3Long+0.025fLength numeric
@attribute 0.599fM3Long+0.526fAlpha+0.521fDist+0.206fConc1+0.181fConc+0.119fLength+0.058fWidth-0.023fAsym+0.016fSize+0.008fM3Trans numeric
@attribute 0.722fAsym-0.46fM3Long+0.459fDist+0.169fWidth+0.116fConc1+0.104fConc-0.057fM3Trans+0.028fSize+0.015fLength-0.003fAlpha numeric
@attribute 0.495fWidth+0.437fLength+0.389fConc1-0.365fAlpha+0.331fConc-0.319fDist+0.234fM3Long+0.114fAsym-0.014fM3Trans+0.001fSize numeric
@attribute class {g,h}

@data
-1.179096,0.498393,0.725203,-0.664135,-0.393891,-0.211801,-0.048308,g
-0.317539,0.567132,-0.095118,-0.868415,0.079875,0.17468,-0.113635,g
-1.200966,-0.466992,0.240845,-0.495293,-0.036008,-0.052667,-0.664838,g
1.487634,1.590546,-0.305237,0.984993,-0.537694,-0.176662,-0.025009,g
0.395116,0.529912,0.397166,0.174119,-0.379744,-0.185487,-0.58311,g
-2.249441,-1.071521,0.679104,0.080002,0.45718,0.371247,0.162398,g
-1.338339,0.186329,-0.355695,0.512548,-1.589286,-0.63828,0.247116,g
0.254541,1.55359,0.519958,0.393325,0.075177,0.346187,0.218402,g
-1.847307,0.406767,1.176696,-0.319775,0.432672,0.698205,0.080148,g
1.494365,1.014343,0.726159,-1.455225,1.121216,0.883479,0.051623,g
3.187938,1.141224,-0.14661,-1.434615,0.589911,-0.138421,-0.100086,g
0.014297,0.985729,0.128209,-0.518932,-0.630996,0.086137,-0.353475,g
0.701586,1.284504,-0.232373,-0.622487,-0.070541,0.055516,-0.151995,g
2.612584,1.982554,-1.038596,-0.033223,-0.003369,-0.814108,0.728061,g
-1.247165,-1.449586,-1.580806,0.391684,0.17345,-0.320765,-0.851603,g
-1.735166,0.227441,0.360146,0.016075,-0.529463,-0.426692,0.430191,g
-3.008278,-0.376144,-0.472921,-0.066375,-0.240047,-0.013175,0.649863,g
2.854208,2.492331,-0.106441,0.846571,0.273899,0.979849,0.271125,g
-1.382718,-0.714272,0.358469,0.354465,-2.0352,-0.962902,0.986536,g
-0.239409,0.897619,0.019743,-0.831024,0.063004,0.433669,0.137316,g
-0.149179,1.114057,-0.520538,-0.630423,0.097392,0.347057,-0.182583,g
0.612864,1.38631,0.262121,-0.709483,-0.016083,-0.337079,-0.240517,g
2.1927,0.716142,1.727074,0.262322,0.322399,-0.551334,-0.417064,g
1.481932,0.876684,1.820208,-0.630373,1.242541,0.147649,-0.256168,g
2.611578,1.35451,1.214134,-0.072802,0.723753,0.413786,-0.077412,g
0.602815,0.333883,0.658578,-1.528062,0.414488,0.054191,-0.307395,g
-2.340106,-0.635936,0.08867,0.310041,0.052347,0.062873,0.038553,g
-1.039672,0.333189,-0.013235,-0.375814,-0.062576,-0.019679,-0.362384,g
-1.093339,-1.320305,-0.789672,0.021047,1.169896,0.419625,-1.254284,g
-0.56586,0.125983,0.722261,0.11591,-0.75812,0.216998,-0.330624,g
-2.230283,-1.198359,-0.399303,-0.376508,1.216156,0.503344,-0.39391,g
0.65922,1.525023,-0.081137,1.439183,-1.450197,-0.388801,0.263124,g
1.158993,-0.699339,1.330317,-1.345641,-0.511174,0.208269,-0.56249,g
-0.309509,-0.156727,-0.301805,-0.14219,-0.011166,-1.040103,-0.767754,g
0.132193,0.477674,0.174598,0.302117,-1.411474,0.420534,-0.180428,g
0.447439,-0.039931,0.389425,-1.243602,0.810209,-0.269263,-0.27332,g
-1.08121,0.716081,0.280367,-0.598828,-0.521171,0.072674,0.065786,g
1.346332,0.212772,2.027336,-0.520945,0.653673,-0.915509,-0.124179,g
-0.760303,-0.308102,-0.088142,-0.719175,-1.088362,-0.218731,-0.203086,g
-0.534077,-0.454553,0.123834,-0.340064,-0.485532,-0.614744,-0.333885,g
1.200651,1.607257,-0.46759,-0.239943,-0.491584,0.020325,-0.124079,g
-1.898752,-1.050898,-1.372124,0.372724,-0.147588,-0.657894,-0.144669,g
-0.702652,0.047054,0.082803,0.902002,-0.946014,-0.303161,0.024342,g
-2.182939,-0.529947,0.349966,-0.091293,-0.400054,-0.027247,0.134838,g
-0.867548,0.544032,-0.0659,0.424128,-0.419741,-0.224304,-0.050393,g
-1.174013,-0.121213,-0.905279,0.017998,-1.31299,-0.444886,0.140406,g
-3.85813,-0.865073,0.808237,-0.65079,0.885465,0.378143,0.99069,g
-2.9733,-0.200746,0.335753,0.122575,0.149104,0.186502,1.061812,g
-0.027108,0.41293,0.236149,0.424676,-0.385099,0.0117,-0.518181,g
2.085795,2.76282,-0.318279,1.255933,0.578776,0.085081,1.225082,g
-0.201678,-0.075059,-0.729235,0.111919,-0.318249,-0.45369,-0.697339,g
-3.081502,-1.158441,0.596992,0.250943,0.950365,0.197967,0.35104,g
-1.274077,-0.447628,-0.508201,-0.029336,0.113485,-0.58962,-0.454388,g
-1.91168,0.610364,-0.43,-0.026926,-1.28358,-0.619787,1.029841,g
1.651515,0.510279,1.763615,-0.469648,0.409345,-1.04632,-0.396426,g
3.946119,0.059074,0.859138,-1.787313,0.967909,-1.684968,-0.210783,g
0.890978,-0.398252,-0.779297,0.001127,-1.747895,-1.018308,-0.473468,g
-1.359042,0.291226,-0.164676,0.847469,-0.656719,-0.444291,0.328826,g
0.908701,1.852638,-0.223063,-0.566294,-0.180597,0.737691,-0.403945,g
1.950521,2.144763,-0.020064,0.677209,-0.259571,0.764854,-0.211419,g
2.691071,1.733813,-0.170833,-0.68549,0.586403,0.473124,-0.038084,g
-1.08724,0.289251,-1.468285,0.174019,-0.439593,-0.073552,0.022539,g
0.970703,1.121296,0.485194,0.306981,-0.736975,-0.331512,-0.172184,g
0.792703,1.665997,0.795916,-0.000977,0.714178,0.25682,0.105665,g
-2.268634,-1.057874,0.795232,0.246496,2.565151,1.252288,-0.090866,g
-1.881394,-0.02838,0.396968,-0.695905,-0.00755,0.137914,0.214433,g
-1.256267,-0.18837,0.424741,0.554064,-1.037828,-0.292125,0.185037,g
0.369177,0.339822,-0.358785,-0.437839,-1.038042,-0.136761,-0.349039,g
-0.063814,0.606476,-0.00404,1.104985,-0.414367,-0.014102,-0.214332,g
0.764039,0.362155,0.160134,-1.844624,0.583759,0.317405,-0.19211,g
-1.993959,-1.146112,-1.319879,0.39209,-0.140158,-0.588711,-0.214065,g
-1.571281,0.101926,0.780532,-1.276575,-0.410608,0.624394,0.038264,g
-1.338518,0.2312,0.454681,0.111847,0.087079,0.229972,-0.209149,g
-1.814993,-0.070682,-0.388956,0.064268,0.223037,-0.194007,-0.007199,g
-1.384985,-0.427568,0.930621,-1.142495,-0.630832,0.106747,0.344496,g
1.79008,-0.412999,0.521412,-1.273144,-0.948301,-0.851505,-0.748307,g
-3.049267,-0.442062,0.812729,-0.358143,0.372528,0.133865,0.767911,g
0.801391,1.439058,0.332156,0.372312,-0.284037,-0.161087,-0.293675,g
-3.285094,-1.567582,-0.06131,0.060259,1.449093,0.626088,-0.424059,g
-2.201653,0.233593,0.154135,-0.493059,-0.237124,0.190734,0.437328,g
-2.374399,0.167054,-0.053571,-0.666539,-0.055397,0.177305,1.213512,g
0.182051,1.437923,-0.269068,-0.33121,-0.620058,0.019676,-0.108072,g
-0.559302,0.758779,0.587698,0.02244,-0.131079,0.14752,0.25905,g
2.52739,2.017085,-0.314286,-0.48591,0.613758,-0.169507,0.209483,g
-3.703399,-1.193684,-0.235638,-0.459708,1.215352,0.432244,0.798165,g
0.753444,0.295391,1.957074,-0.210417,0.558776,0.000693,-0.270077,g
0.881917,0.970996,0.805216,-0.009543,-0.563505,0.012755,-0.534218,g
2.928335,0.727838,1.378873,0.497637,-0.159419,-0.991044,-0.322305,g
2.003227,1.666796,-0.262716,-0.967574,0.212901,0.647399,-0.267901,g
-1.648016,0.279261,0.702157,-1.20617,0.170396,0.204365,0.02732,g
0.985328,0.254472,1.212128,-1.528372,0.615325,-1.277278,-0.524118,g
-1.514069,-0.473739,0.967384,-0.036108,0.163059,0.397068,-0.291478,g
-2.448146,-0.081767,0.360433,0.250872,-0.161232,-0.131175,0.874814,g
-3.065807,0.119463,0.805661,-1.050267,0.094686,0.431385,1.292015,g
3.939351,0.849173,-0.324487,-1.568682,0.440332,-1.689929,-0.080875,g
0.216288,1.271047,-0.653809,-0.260229,-0.803963,-0.149671,0.205466,g
-0.077952,0.850028,0.464059,-0.649682,-0.295014,0.349857,-0.051214,g
0.347725,0.211776,0.127287,0.637995,-0.794228,-0.524164,-0.57588,g
1.700058,-0.326915,1.777436,-0.485336,0.163422,0.722424,-0.21172,g
-1.873735,-0.042627,-0.525003,-0.084627,-0.04259,-0.168135,0.133037,g
1.987012,1.655499,1.072096,0.890497,0.140744,0.401253,-0.057047,g
1.315287,0.649862,1.401588,-0.400315,0.422826,-0.314099,-0.297855,g
-2.801468,-1.591631,-0.674155,0.188251,1.406477,0.354162,-0.547676,g
-1.65262,0.357193,1.017125,-0.363434,0.117996,0.31825,0.262576,g
-0.956062,0.680492,1.405964,-0.293142,0.176321,0.704468,0.305467,g
-0.86355,0.100064,0.372708,0.104884,-0.68217,-1.375671,0.288718,g
-2.471505,-0.769975,-0.424867,-0.166773,1.077324,0.200292,0.291992,g
-1.565122,-0.163191,0.237096,-0.689206,-0.961565,-0.291355,0.452771,g
0.523895,-1.08598,1.904154,-0.323962,-0.431402,0.652032,-0.309364,g
1.206577,0.870888,1.399956,-0.639768,0.54815,-0.609944,-0.221164,g
-2.779817,-0.249602,0.943921,-0.423932,-0.379527,0.2446,0.775525,g
-2.106628,-0.961724,-0.284631,0.914025,-0.288368,-0.150488,0.57542,g
2.384315,1.192858,0.678543,0.968516,-0.413206,0.332162,-0.043362,g
-2.788432,-0.823103,0.881181,-0.31165,0.124721,0.035324,0.342342,g
-0.280908,0.931147,0.727949,0.122765,-0.406352,-0.156346,0.224538,g
-1.200225,0.649852,0.784446,0.209233,-0.574195,-0.03115,0.260378,g
0.021272,-0.199272,0.263413,-1.037674,-0.686636,-0.15021,-0.693691,g
-0.916919,0.728646,0.249794,0.58269,-0.923955,-0.257904,0.074644,g
-2.221646,-0.643424,-0.064249,-0.915974,1.007819,0.43353,0.129649,g
-0.798161,0.485306,-0.102406,-0.82977,-0.459966,0.037097,-0.074603,g
0.980492,1.014309,-0.535819,-0.509789,-0.810346,1.513197,-0.215934,g
2.452902,2.21338,-1.449916,0.090603,-0.510672,0.172228,0.428515,g
2.979454,1.972507,-0.635608,-0.534917,0.337358,0.252812,0.04744,g
1.207919,2.087058,-0.403866,-0.471189,0.402203,-0.187136,0.441061,g
-1.273258,-0.029882,-0.441461,-0.279096,0.541939,0.347537,-0.426647,g
-0.66125,0.732336,-0.440122,0.732501,-0.147618,-0.04637,-0.094265,g
1.496758,0.900362,1.713239,0.264116,0.608706,0.335894,-0.119259,g
-2.119904,-0.944799,-0.471554,0.860748,1.280447,0.365722,-0.642956,g
-0.04863,1.082137,0.240474,-0.722504,-0.330222,0.425349,-0.172452,g
-1.220367,0.058568,-0.5298,-0.14524,-0.696914,0.381474,-0.107353,g
1.886799,1.588477,-0.335287,1.536662,0.669838,0.200677,0.083718,g
3.672782,2.423927,0.214772,1.432213,0.582653,0.720936,0.398689,g
0.134328,1.453777,-0.208878,0.398551,-0.630482,-0.077939,0.006029,g
0.701665,1.436397,-0.198058,-0.726868,-0.117369,0.424931,-0.065449,g
-0.999673,0.909736,-0.862341,-0.072099,-1.413086,-0.705725,0.71954,g
-0.520455,-0.558661,-0.633635,0.971826,1.169731,0.357604,-1.358513,g
1.452339,1.930302,-0.840025,-0.36648,0.470948,0.025481,0.192379,g
-2.249431,0.426006,0.825857,-0.26236,0.14193,0.494768,0.772979,g
1.255844,1.218823,-0.223558,-0.687767,0.07487,-0.059218,-0.591522,g
-0.269427,-0.213737,0.570815,0.362433,-0.49623,-0.181602,-0.793273,g
-0.308654,0.291916,1.328916,-0.416553,-0.190104,-0.491519,-0.049089,g
-0.325207,1.042386,0.193748,-0.526026,0.07555,0.449329,0.03631,g
-0.844884,-0.541142,0.646867,-0.882144,-0.897144,0.190329,0.266331,g
-3.38933,-0.689329,-0.298057,0.219128,0.928769,0.181935,0.197914,g
-1.722414,-0.107869,0.76654,0.030301,-0.352003,0.30823,0.071253,g
-0.120333,0.65681,-1.071225,-0.106737,-0.507886,-0.238453,-0.230438,g
-0.698362,0.546235,-1.404495,0.06349,-0.835608,-0.485915,0.158821,g
0.967207,0.673037,-0.453178,-0.136627,-1.64324,-0.340601,-0.359971,g
-1.080816,0.478647,0.627097,-1.113962,-0.090908,-0.019128,0.24711,g
1.06711,0.28639,1.741427,-0.282854,0.557431,-1.657492,0.565559,g
1.250159,1.296009,-1.144142,0.270841,-0.872884,-0.746128,0.126037,g
-0.269792,0.408345,0.358561,-0.786551,-0.65485,0.270042,-0.346354,g
-1.422787,0.824419,0.466861,-0.944683,-0.163509,0.340203,0.337266,g
3.387758,1.876337,-1.248132,-0.577243,0.057654,-0.081984,0.292489,g
0.499909,0.432553,0.16917,0.130453,-0.786415,2.331176,-0.109736,g
1.345695,1.796034,0.18286,0.458154,-0.340514,0.612296,-0.049856,g
-3.069377,-0.898473,-0.044025,0.406798,0.596583,-0.122148,0.19482,g
0.934717,0.236306,1.788528,-0.668696,0.432587,-1.828305,-0.054951,g
-0.637156,0.010013,-1.863243,0.681175,-0.630622,-1.014571,0.028591,g
1.16332,-0.297999,1.668736,-1.570216,0.635322,-1.218408,-0.231758,g
-1.148617,-0.06261,0.109758,0.444998,0.423282,0.375205,-0.867281,g
-3.247146,-1.540277,-0.426581,-0.285353,1.402037,0.094742,0.174576,g
1.181839,1.566925,-1.179529,-0.109071,0.404608,-0.193371,0.769817,g
0.199188,-0.390856,-1.015412,1.988085,-1.445487,-1.145998,-0.157163,g
-1.358792,0.40344,-0.150054,0.588945,-0.238296,-0.041271,0.119156,g
0.857638,1.155696,-0.229591,0.827063,0.761614,0.121899,-0.080793,g
0.342121,0.166906,-1.620707,0.625878,-0.711749,-0.604192,-0.559806,g
-2.018728,-0.939,-0.256413,-0.030339,1.240361,0.358267,-0.656211,g
0.746846,1.910656,0.136068,0.40572,0.277939,0.383987,0.194003,g
-0.614453,0.562302,0.194921,-0.395344,-0.893159,0.727685,-0.069641,g
-0.202795,-0.408532,-0.380708,1.866523,-1.838063,-0.729466,0.122015,g
-0.304577,0.878071,-0.114384,0.812456,-0.347807,-0.025479,0.252006,g
1.261428,1.513922,-0.158612,-0.445727,-0.399536,0.184295,-0.2153,g
2.348748,-0.291752,1.399893,-0.200511,-0.382487,0.551503,-0.325737,g
-1.151255,-0.051815,0.165287,-0.498355,0.154897,-0.553454,-0.143686,g
-1.730526,-0.119141,0.750682,-0.181737,-0.833599,0.079413,0.469623,g
0.120108,0.087303,1.260674,-0.336478,-0.705146,0.239051,-0.493229,g
2.688977,0.749361,1.044949,0.083166,0.538277,-0.652671,0.077425,g
-0.581766,-0.111688,0.051072,-0.461878,-0.918311,-0.076536,-0.386311,g
0.692417,1.338359,0.32822,0.372994,-0.647247,0.392245,-0.205258,g
1.106018,1.700338,-0.169906,-0.434505,0.184523,0.489222,0.140988,g
1.821714,0.643051,0.315648,-1.458504,0.100952,-1.104729,-0.247691,g
3.045259,0.711608,0.738463,1.050385,1.251371,-0.666727,-0.130151,g
0.645123,0.359546,-0.078172,-0.517078,-0.983537,0.537207,-0.120242,g
-1.962628,-0.622478,0.45278,0.139572,-0.128225,0.006168,0.019753,g
1.233044,1.038991,-0.140166,-1.096171,0.169931,0.255697,-0.385611,g
-1.628611,-0.873309,-0.370341,0.570129,-0.039703,0.117522,-0.189921,g
-0.8741,0.82478,0.14028,-0.534106,0.042092,0.117031,0.634468,g
-3.105768,-1.03046,-0.127892,0.791306,1.480681,0.322233,0.271261,g
0.754112,0.172817,1.764675,-0.156436,0.296728,-1.002895,0.000646,g
-0.760719,0.547021,0.06973,-0.458466,-0.622734,0.063458,0.204369,g
-1.725515,-0.51372,0.240113,0.452291,0.768324,0.190809,-0.377383,g
-1.891735,-0.009497,0.249998,0.271961,0.093656,0.164859,0.193064,g
-1.298365,0.726053,0.397579,-0.51474,0.003255,0.412776,0.544407,g
0.078299,1.265689,0.462384,0.299601,-0.528808,-0.18871,0.045047,g
0.172482,-2.757606,-0.840008,-0.711124,-1.567311,0.28066,0.101786,g
-0.677161,0.361585,-0.424682,-0.19544,-0.311132,-0.129137,-0.342658,g
-3.492231,-0.653826,1.046007,-1.187767,0.842041,0.71187,1.225779,g
0.810913,1.717492,0.166849,-0.437583,0.433364,0.257505,0.365965,g
-3.815448,-0.89612,0.480266,-0.084113,0.773998,0.372677,1.290313,g
0.726713,0.569899,-1.273181,0.102184,-0.498324,-0.366481,-0.496505,g
-1.376935,-0.121567,-0.980969,-0.153328,-0.560172,0.14766,-0.038324,g
-3.565133,-1.62746,-1.381649,0.373123,0.9652,0.015008,0.204676,g
1.59401,1.740158,-0.952925,-0.200389,-0.370018,-0.225279,0.028976,g
-0.250147,0.470802,-0.030149,0.677416,0.103393,-0.092816,-0.651935,g
1.014989,1.635347,0.904975,-0.137201,0.777983,0.085995,-0.18373,g
-0.820692,-0.556682,-0.686189,0.078085,-0.441934,-0.328415,-0.627822,g
1.131074,0.673514,-0.597989,-0.117779,-1.389117,0.391076,-0.486348,g
-0.111888,1.01142,-0.692539,0.066118,-1.181301,-0.695811,0.217675,g
1.70352,0.898369,1.842545,-0.188385,0.903071,-0.168086,0.051663,g
-1.832073,0.169623,0.991022,-0.269127,0.108067,0.096089,0.164409,g
-0.348394,0.361916,-0.255774,-0.548947,-1.508583,-0.371262,-0.228576,g
0.385074,0.927453,0.186478,0.346701,-0.714443,-0.462642,-0.087048,g
-0.709791,0.816352,-0.080031,-0.401431,-0.206928,0.438935,-0.04655,g
-0.194617,0.31635,-0.361691,1.160673,-0.327091,-0.072269,-0.374792,g
-0.56977,0.212972,-0.712091,1.233559,-1.342753,-0.294725,-0.22176,g
-3.047143,-0.887474,0.769713,-1.271862,0.75878,0.542375,0.702763,g
-2.86145,-0.029866,0.760274,-0.619235,-0.865066,-0.015113,0.873253,g
-1.248004,-0.373621,-0.377943,0.677505,-1.517136,-0.911408,-0.158961,g
0.197195,0.885026,-0.092268,-0.707972,-0.792836,-0.210221,-0.231764,g
2.924513,1.997036,0.520312,0.325831,0.390951,0.291847,-0.167188,g
0.512166,1.290139,0.470004,0.219778,-0.484037,0.316066,-0.280236,g
-1.379377,0.579859,0.505635,-0.96863,-0.310862,0.200037,0.181734,g
2.120262,2.109524,-0.072621,-0.642127,0.708005,0.153719,0.108222,g
-1.06707,-0.202847,0.290484,0.516248,-0.985525,-0.341532,0.014933,g
-0.405462,-0.150851,1.148584,-0.076464,-0.457594,0.311811,-0.371849,g
-1.426069,0.743595,0.216754,0.465873,-0.735157,-0.488173,0.828464,g
2.249917,0.514577,0.28394,-1.486314,0.478029,-0.338943,0.012694,g
0.30779,0.950799,-0.369317,-0.661721,-0.276865,0.382079,-0.194606,g
-3.174083,-1.432978,-0.850977,0.037997,1.0751,0.411188,-0.16573,g
-0.614813,0.456709,0.050593,0.370933,-0.197839,-0.053751,-0.110983,g
0.430774,1.263994,-0.311352,-0.161619,-0.80186,0.090444,0.020246,g
-0.7263,-0.534644,-0.988563,1.567382,-1.371949,-0.707043,-0.311844,g
1.281069,1.329958,-0.703223,1.200237,-0.796548,-0.891225,0.164074,g
1.107592,0.28698,-0.160162,-0.705065,-1.187292,-0.271521,-0.716819,g
-0.84002,0.055241,0.46854,-0.717117,-0.752769,0.000256,-0.253185,g
0.449758,0.561388,0.445454,0.169637,-1.246748,0.238664,-0.526132,g
-1.055234,0.827143,0.088776,-0.675406,-0.217337,0.109446,0.340919,g
-0.183021,0.57619,-0.081438,-0.337131,-0.493019,-0.485601,-0.17787,g
-2.485599,-0.332026,-0.129481,0.368187,0.343918,0.138536,0.212022,g
-0.197516,-0.216786,-0.21097,-0.274049,-0.570705,-0.113141,-0.734826,g
-0.667695,0.194834,1.093629,-0.194787,-0.422183,0.130333,-0.480552,g
-2.435209,-0.515882,-0.13927,0.443698,0.105756,-0.388057,0.561813,g
