@relation magic04-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-P25.0-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute class {g,h}

@data
-31.812577,66.290954,g
-40.375317,88.123108,g
-2.730232,70.268089,g
29.088234,106.249712,g
25.7407,60.482695,g
-7.989084,11.088762,g
33.88792,128.664528,g
-7.625873,45.824175,g
30.20125,44.453257,g
-16.648472,-74.058336,g
-11.276517,-98.620202,g
14.757939,73.833169,g
16.724336,-31.184536,g
5.021908,45.238049,g
-13.63124,-11.391525,g
31.791273,71.601941,g
34.17267,77.908685,g
19.712297,10.080362,g
22.798465,2.186021,g
-19.809465,-216.146084,g
23.882383,48.623862,g
19.261964,17.596943,g
19.661548,63.66222,g
50.823913,105.866409,g
-6.85563,170.096223,g
-13.583089,94.878452,g
-5.556939,-11.004238,g
-9.936429,-243.715657,g
28.440967,35.892423,g
18.641024,-211.33081,g
-10.745816,14.570358,g
23.364673,-4.876589,g
34.087799,121.078838,g
-26.37134,-65.133597,g
-9.324496,36.66128,g
-13.342853,56.840192,g
24.429537,38.802788,g
11.974533,6.438033,g
-10.942577,102.493414,g
10.244907,81.05253,g
-38.549042,-67.227647,g
-15.933655,43.726662,g
21.098457,74.131775,g
-17.400702,-96.101107,g
17.124786,-38.956767,g
-6.591839,-21.795088,g
-13.001639,-66.229466,g
-16.418456,-121.827258,g
17.77673,-11.198921,g
-13.693767,55.452299,g
20.05455,112.017441,g
43.566101,-94.70161,g
-37.538737,-130.243293,g
21.578582,47.095674,g
-8.942925,-36.418793,g
39.538909,52.928528,g
-2.484627,-4.253744,g
16.630113,54.903413,g
-14.809554,13.121151,g
-25.758194,-184.667966,g
15.679563,34.466425,g
-12.886112,-18.871386,g
-8.977566,14.708056,g
9.09396,63.231806,g
-13.994971,16.234339,g
47.323439,-45.389604,g
20.056456,33.117504,g
14.483928,16.544203,g
13.161161,92.88746,g
-4.257034,11.252788,g
31.272697,50.218561,g
30.319549,76.579336,g
25.232516,46.856651,g
32.495871,94.342383,g
-13.517964,1.470684,g
-10.588719,16.244038,g
18.989685,-10.640854,g
21.344409,67.701536,g
18.976175,37.880644,g
-27.362419,-108.114265,g
-9.987178,-21.523503,g
26.476821,11.744517,g
-7.992895,-16.826181,g
16.881087,83.210838,g
-20.173196,12.857879,g
-14.4143,22.752393,g
23.635219,-3.449552,g
5.276,6.047455,g
-4.44704,-47.116632,g
27.432567,24.54368,g
-14.905163,30.939797,g
-12.395422,41.185397,g
20.091789,33.313226,g
25.317733,91.530571,g
-15.367101,-48.283168,g
-18.118291,-61.377645,g
-13.10435,9.2469,g
44.477506,-44.713931,g
31.12963,90.445095,g
22.234336,45.869728,g
-6.873297,8.828956,g
15.702599,76.398856,g
-16.006921,-24.687786,g
-11.879617,7.296264,g
30.592001,-21.988905,g
15.434824,-18.252871,g
-9.941625,0.815103,g
21.349605,61.280477,g
17.471716,-5.636267,g
-3.367453,29.89052,g
18.355582,-19.983363,g
-13.796131,-45.165476,g
-3.923961,-16.287167,g
27.246891,101.550485,g
-14.344152,-13.069363,g
10.225682,-35.650629,g
-25.06572,137.126809,g
-0.838486,-9.923265,g
-25.572345,-3.471896,g
15.523852,-75.857244,g
-8.328566,-76.959694,g
-14.501942,13.136566,g
45.877349,74.434364,g
-16.008999,-63.305937,g
13.684241,44.690721,g
38.968892,-19.696362,g
34.734374,172.62571,g
26.824098,-5.218323,g
-2.814063,30.577971,g
11.713686,12.4337,g
-23.043031,-139.681064,g
-22.772658,-51.7516,g
25.396195,-12.44669,g
-5.185067,-4.822376,g
30.189819,-32.915028,g
38.765549,119.848216,g
-10.455351,21.854844,g
23.521943,97.674329,g
23.837696,-61.155077,g
-14.273138,80.404397,g
36.22515,-37.914246,g
-6.505929,40.429357,g
27.147472,-112.764475,g
42.677039,97.371047,g
-21.601098,20.237108,g
-16.862207,13.245512,g
-25.333841,-13.464617,g
-10.661466,-17.597117,g
30.496219,36.684663,g
18.16471,-17.051001,g
-34.092822,-206.614609,g
34.94603,67.146587,g
30.366315,178.181436,g
-12.246812,40.513534,g
23.013066,-13.692901,g
-8.616606,36.383459,g
36.711856,131.790187,g
-2.470424,75.063098,g
-14.964746,7.421145,g
25.889656,-7.105392,g
-12.850605,-57.470658,g
23.717145,2.025114,g
-9.747809,-9.462886,g
-14.874679,30.648119,g
37.785554,159.702532,g
-12.347271,19.699133,g
-18.245423,87.069848,g
-13.775173,-18.124699,g
-26.442007,43.73411,g
-11.580145,-9.098463,g
22.805393,0.219624,g
22.540736,-37.349424,g
-22.714114,18.972885,g
30.476473,-103.991118,g
32.576238,87.030357,g
-3.107299,-41.466509,g
-2.967696,-26.553378,g
-6.514763,57.514999,g
3.889147,9.956174,g
9.692037,-29.644223,g
-35.384412,-87.394261,g
-9.658955,-46.809019,g
22.707532,28.535537,g
21.419233,18.873118,g
-14.226892,-69.170488,g
-12.555636,-63.384053,g
21.160984,-8.138387,g
24.790843,18.50246,g
17.222994,-20.723642,g
32.910524,27.556062,g
22.59339,-4.540744,g
47.977807,-127.051469,g
-18.601186,-7.894341,g
-28.6211,-68.217341,g
-11.393257,42.396966,g
25.52887,43.072986,g
24.906025,-13.297474,g
-16.460198,18.074989,g
-11.295916,-61.383188,g
10.051957,137.955422,g
-23.525234,54.02838,g
-12.773702,18.967688,g
-33.892251,-22.881257,g
35.001283,37.262475,g
23.297815,47.251905,g
23.226455,-29.472403,g
-14.228451,60.710113,g
-7.886893,124.805173,g
26.338257,46.314346,g
-4.642416,60.945672,g
18.829471,48.128496,g
-15.038878,13.510689,g
-8.388842,8.299814,g
-10.822027,62.86132,g
24.134742,-200.305094,g
18.82566,118.842068,g
-14.71533,93.092535,g
16.333586,44.465901,g
-11.689438,53.241856,g
-2.567246,50.443901,g
24.690211,147.247528,g
25.528004,82.893873,g
14.125221,12.414474,g
23.209308,-8.320599,g
-11.251922,60.866171,g
-16.171292,-50.947062,g
-18.021469,22.840381,g
-7.546892,11.487654,g
-17.438288,-9.028661,g
-23.835271,-6.095953,g
24.252695,60.188592,g
-12.686579,98.881568,g
-23.039047,-74.333558,g
-26.704586,-19.952186,g
46.975989,57.543404,g
-17.667611,28.700082,g
-17.480723,-18.346748,g
-11.10591,17.528527,g
-11.329518,9.50688,g
26.026661,24.239878,g
25.115776,-22.168172,g
-15.294182,-31.20151,g
-30.047617,-91.20408,g
-8.290288,25.750746,g
-43.48123,-20.494145,g
11.435346,39.826257,g
16.177701,66.375824,g
-1.643023,-50.397829,g
-9.108855,40.44252,g
-4.479949,56.186169,g
-7.043731,48.360417,g
31.520553,89.035725,g
24.071176,35.078186,g
22.359044,4.382955,g
10.248198,13.310464,g
17.188872,67.50287,g
45.485906,-162.799786,g
22.188956,29.056192,g
39.10174,82.788045,g
33.252258,109.829342,g
14.389705,-22.859953,g
24.176831,-6.287864,g
13.951669,29.017913,g
25.291752,-2.049363,g
23.172761,85.851177,g
-7.251577,5.98666,g
33.993229,-22.93599,g
44.542631,-28.539001,g
-13.091879,-40.286116,g
-8.831034,17.539613,g
-7.461675,-101.076596,g
-10.56551,-22.715673,g
-1.223347,47.48296,g
28.967857,130.89974,g
38.530509,79.924792,g
-14.963187,-61.854652,g
31.040602,-182.743485,g
-20.511812,-5.701911,g
-14.058017,25.485049,g
-8.612969,56.711847,g
-20.296864,-175.120902,g
-26.776639,5.968474,g
22.250791,-65.831094,g
-27.305608,-149.373794,g
-3.480556,-4.188618,g
-14.903951,-44.333053,g
-15.388405,-27.445211,g
-11.474317,13.093784,g
41.037999,-26.765035,g
-12.84333,-80.788912,g
18.7808,69.369501,g
19.885329,97.516193,g
9.746423,63.900724,g
-11.635225,-3.815708,g
28.661111,5.808086,g
25.770491,-5.11336,g
24.146347,38.776287,g
12.553904,11.410231,g
12.995231,10.345366,g
-22.366318,-42.50089,g
-31.700687,-57.529548,g
-18.507656,-0.062527,g
13.387887,10.812847,g
11.848094,7.348572,g
42.811966,-56.209898,g
25.722687,176.878068,g
-3.7634,-159.440473,g
-11.137953,-100.608423,g
38.78668,-19.662587,g
-1.973499,-5.311853,g
1.817787,-45.23216,g
14.182205,27.682156,g
5.009091,-1.803931,g
-4.341385,5.807047,g
21.560049,37.354101,g
39.967419,-44.070994,g
-13.3697,-73.2247,g
-4.106,53.284638,g
21.394638,19.274608,g
14.369093,23.758195,g
31.865058,-10.49744,g
-4.874511,-53.56142,g
20.586809,-1.56179,g
-24.744251,-65.03972,g
12.283878,11.805139,g
0.802806,-87.823809,g
-20.088845,-54.416013,g
-5.431365,36.227921,g
38.02094,65.234749,g
-6.756557,28.425379,g
23.994619,0.926301,g
-10.973061,-56.082593,g
-1.772408,-27.220737,g
-32.056277,145.995429,g
23.058619,44.774553,g
24.742865,58.401289,g
26.589578,32.272263,g
-11.345279,-26.670292,g
-4.795529,4.030655,g
-43.99461,116.954133,g
-22.333236,-81.79125,g
29.992711,82.144415,g
106.978732,156.092938,g
12.94708,-14.346404,g
-13.115262,4.080365,g
13.276689,48.449618,g
17.127904,71.999447,g
-14.09976,4.728845,g
20.407542,-45.270958,g
-2.20542,18.834147,g
17.409535,-45.205487,g
26.327519,-171.599816,g
-11.493023,-20.268459,g
24.739575,46.996947,g
-11.770151,56.37479,g
-13.808602,25.621362,g
25.121492,91.750369,g
-18.000165,9.641114,g
-11.654623,-64.541063,g
14.937379,18.912436,g
-12.195023,31.889653,g
37.533887,91.709492,g
15.319123,12.167137,g
-31.446075,47.276673,g
19.76703,-159.94017,g
61.097226,-255.914491,g
34.233465,94.810729,g
-11.867666,37.836303,g
4.815448,5.881871,g
-4.397157,30.944127,g
18.036365,-59.51621,g
-2.75067,20.021815,g
-9.891396,-49.849288,g
23.173281,37.877353,g
18.652282,41.661884,g
-8.96215,15.363983,g
21.375932,33.161325,g
36.402165,-78.454973,g
35.604729,-252.472386,g
-16.604651,-51.604202,g
-4.628906,141.380552,g
39.397574,22.936163,g
1.371611,42.978589,g
23.582738,40.742338,g
3.681647,37.840807,g
23.844797,-6.601885,g
-29.93157,-9.115783,g
19.491114,80.85958,g
12.208014,-8.914866,g
26.584382,67.688892,g
-5.552089,-120.494445,g
20.607421,-25.122877,g
-18.810245,-34.628199,g
18.762094,51.43221,g
19.772919,18.22741,g
-4.404259,-1.944054,g
31.774645,106.058321,g
-19.156136,14.951582,g
10.072915,41.947672,g
-19.928977,4.62804,g
15.538747,77.222273,g
29.067103,72.352439,g
-3.507403,-4.980685,g
21.398968,46.968368,g
-20.907239,49.460789,g
8.029441,37.989244,g
32.612265,-3.637826,g
-5.191996,-14.268461,g
69.471865,-50.537259,g
-9.72408,-33.677996,g
60.022662,-28.749445,g
-24.036362,35.360683,g
14.907242,-12.90118,g
0.140989,43.419223,g
27.324834,145.844047,g
20.278678,44.217871,g
23.338692,-19.579449,g
93.82831,195.858227,g
-7.297823,25.870084,g
42.2972,77.751588,g
-21.565938,-44.937019,g
-48.926971,-85.103277,g
-13.879962,-17.626215,g
17.983191,28.299459,g
36.13976,74.370451,g
18.658344,75.151086,g
-30.230522,-127.418491,g
-9.661553,14.138211,g
25.541168,46.602559,g
22.10322,71.174817,g
-18.667351,-49.380422,g
19.616861,47.343704,g
33.629325,29.818813,g
-6.888539,-99.37451,g
-24.971496,-194.112146,g
25.217621,19.861773,g
25.963615,30.319896,g
-8.751187,18.690214,g
-10.48393,58.439567,g
30.865145,-106.409581,g
-7.365546,-35.633308,g
-18.923868,-27.27114,g
22.798292,43.392722,g
18.114827,105.680214,g
19.847743,82.563225,g
-9.516926,-44.851282,g
23.474311,69.554137,g
-11.557109,-10.740101,g
20.645526,46.167987,g
-14.825835,-62.256834,g
-30.331847,-45.26022,g
51.69323,-0.793799,g
18.689348,71.51378,g
5.02364,43.175697,g
-14.564815,-159.022876,g
-24.684149,-32.367353,g
-7.116997,-27.842197,g
-7.499953,11.853983,g
-17.936772,3.104701,g
24.841766,-5.158047,g
16.236764,18.763999,g
25.291752,-36.375145,g
29.810326,23.108675,g
24.338605,1.038018,g
-39.028474,-32.293221,g
-22.173714,-21.066761,g
-15.933655,58.380678,g
24.152409,-1.48558,g
-14.367535,-94.492032,g
-21.386151,-134.769488,g
15.553123,50.674264,g
33.728225,122.172282,g
-10.252702,-6.805054,g
24.441835,46.613991,g
-10.892868,-9.230965,g
-5.07387,-38.48409,g
-8.550442,7.175886,g
18.597549,27.131363,g
24.498646,-0.290119,g
40.966466,74.574487,g
22.407195,37.654958,g
21.632449,21.343889,g
-13.723212,-41.227832,g
15.898321,28.544197,g
42.018513,18.490855,g
-21.228881,-19.756984,g
1.623451,36.717572,g
57.615284,193.908977,g
59.017033,-74.110124,g
14.874506,9.433961,g
35.816039,-26.024583,g
50.445633,-123.380214,g
20.479942,2.28752,g
36.558223,42.407532,g
30.749271,114.296647,g
-12.486181,94.976313,g
-20.202121,28.091266,g
56.446843,63.549117,g
-4.415344,54.412376,g
26.466949,52.426926,g
-5.558844,20.8965,g
-8.41794,-59.73722,g
-13.556588,2.955225,g
-20.331852,-141.888217,g
-7.670041,-16.515451,g
-11.774308,2.186368,g
-2.47077,-92.064563,g
12.82982,-15.69342,g
-10.628037,-14.139424,g
26.952616,56.008115,g
30.223767,4.978953,g
-2.675326,59.95286,g
91.351824,-105.07365,g
-66.961777,85.217766,g
-9.848787,-36.94932,g
14.833456,-117.003496,g
18.69593,13.596079,g
32.059048,-121.950233,g
-29.334186,12.138558,g
-13.688224,59.345084,g
19.12288,15.200651,g
38.422083,-48.372715,g
-21.684237,-8.255474,g
34.093342,65.221759,g
15.094996,-14.398365,g
-8.883342,25.038007,g
-10.842811,-22.064942,g
-9.238586,46.363363,g
-9.779159,18.949848,g
24.148252,46.96144,g
-13.130504,28.377228,g
-13.732911,10.02996,g
14.295655,19.226284,g
20.633055,18.492067,g
-6.416382,-12.249929,g
-12.715851,-239.409778,g
16.153279,10.756036,g
-9.918416,-84.110119,g
-32.321281,-92.784057,g
10.788771,22.01783,g
-5.296611,64.944111,g
-10.58387,14.665101,g
-13.218492,29.18367,g
30.88645,-17.15094,g
-5.054297,-49.46945,g
15.948724,-14.994883,g
8.08937,26.958505,g
18.728146,-35.080264,g
31.250527,84.054694,g
29.90074,38.973914,g
-32.167648,10.589412,g
-17.769282,13.103657,g
35.092215,137.800577,g
-5.686669,-8.79674,g
-0.723131,-10.449289,g
10.820468,-35.352889,g
17.063125,-108.80033,g
35.740002,-103.0785,g
-20.25339,63.974509,g
13.693074,33.491108,g
-36.882983,29.943348,g
-9.72356,49.642308,g
-38.615553,-70.237085,g
-18.633403,-23.202379,g
14.41482,8.715506,g
-9.353594,-32.946378,g
-27.991153,48.434203,g
-33.30751,-94.662985,g
-19.193721,-45.513272,g
-38.098536,-56.055746,g
32.074463,-30.628547,g
-2.897028,15.073519,g
13.197015,41.232682,g
16.271232,19.443656,g
32.857697,127.070349,g
51.737224,144.942168,g
-10.078977,-8.34225,g
30.093863,-90.934746,g
39.587407,79.411065,g
18.259453,32.032894,g
28.597025,136.541376,g
26.358522,-71.558986,g
-34.87952,120.031467,g
20.891477,-6.908804,g
-16.3949,-10.455178,g
-17.081312,-45.635901,g
-17.101577,-58.372191,g
26.107721,-129.139976,g
-15.928805,-12.964054,g
-24.166959,-15.481763,g
-15.290545,-20.493279,g
20.805914,55.52851,g
26.966992,11.614267,g
-12.371346,6.835712,g
-16.823929,-2.407897,g
22.679127,101.755387,g
-12.10028,-9.525413,g
-11.356191,40.478547,g
-30.341373,-174.772414,g
26.607418,102.115134,g
-18.718619,-70.565309,g
-23.310806,-1.723564,g
23.576156,18.8073,g
-16.743908,-57.07679,g
-1.831817,-10.05161,g
-25.804613,-15.984058,g
-16.186188,-66.805719,g
-13.492156,19.394466,g
23.103306,3.27323,g
-23.551734,55.628795,g
-6.493632,2.753095,g
40.073074,149.8605,g
-5.254349,46.374794,g
-21.992888,-123.537311,g
-14.592701,-62.56895,g
-14.576593,10.027362,g
43.023969,-134.243464,g
36.597021,46.225665,g
27.107288,21.557451,g
20.211128,47.791439,g
57.295375,167.569507,g
25.102093,-151.558949,g
23.73689,16.52082,g
25.53857,-4.084695,g
-19.980072,6.440631,g
20.212687,25.967772,g
-4.325797,-35.749529,g
33.608541,126.645996,g
-9.954096,-12.255472,g
-15.9534,-7.004413,g
-2.882306,-18.421053,g
24.495009,65.362921,g
29.647687,105.265041,g
21.831634,-10.878145,g
33.921695,46.410301,g
38.070996,154.905098,g
19.976088,-21.967774,g
-20.155009,-141.272299,g
20.175447,60.199158,g
-102.965398,86.821991,g
14.66181,137.00366,g
-1.174157,11.325534,g
-14.592528,-134.234804,g
0.014203,43.865919,g
-18.052473,22.034977,g
-5.557112,32.878308,g
-15.192684,6.310727,g
-24.303964,23.997044,g
18.260146,-69.455237,g
-19.882384,-42.77871,g
28.822191,-321.735193,g
12.317479,43.391683,g
-12.048492,-11.449722,g
18.197272,38.262215,g
-12.845235,-24.21511,g
-9.659821,26.991414,g
17.650464,-89.189358,g
-22.704068,-169.580591,g
-3.777083,2.192084,g
-8.628558,15.853981,g
41.54116,-108.111147,g
15.716975,50.115331,g
39.004052,18.112402,g
-14.910533,-18.243172,g
-20.391261,123.259664,g
-3.189745,-45.857604,g
25.486608,13.535977,g
36.984481,76.951726,g
17.376453,54.172833,g
35.944731,1.355849,g
21.02675,-40.257884,g
17.832502,22.164535,g
-11.61929,39.552073,g
-1.66121,-45.698429,g
33.937284,-12.680344,g
-17.640071,58.246444,g
36.844185,57.947145,g
-15.179174,28.335485,g
34.307423,-87.095482,g
20.999384,34.29374,g
31.282743,-37.449017,g
18.794483,20.683285,g
38.771611,90.136617,g
-10.565856,88.033734,g
17.45682,14.660424,g
-14.391437,-45.066403,g
57.121823,174.906994,g
-16.730745,-13.876671,g
12.206108,32.131275,g
-20.9689,89.522085,g
-15.794918,-30.462963,g
21.980764,9.829388,g
-16.207665,35.113866,g
-1.668311,28.765727,g
2.229323,53.319625,g
-8.851819,-6.197797,g
16.384335,9.063302,g
-18.417416,-4.517708,g
22.804527,-4.424177,g
24.357484,44.89112,g
-6.488089,-11.382172,g
19.067455,63.181403,g
-13.694806,-34.259099,g
-16.729359,9.308387,g
-8.996445,-41.090481,g
-3.844114,-14.12678,g
31.555021,68.443373,g
33.258493,23.966041,g
18.371343,26.598931,g
41.037653,-69.98715,g
-17.580142,-117.535409,g
-11.034376,-148.214879,g
-34.068573,-92.687581,g
29.640066,48.180804,g
22.327867,55.137586,g
-3.48021,3.807567,g
24.523588,44.053846,g
-10.91625,34.222553,g
-13.547062,24.513542,g
40.995045,-9.115957,g
-4.082617,30.071,g
34.162104,24.491718,g
23.008217,60.603592,g
17.932442,119.840595,g
21.482799,-204.223859,g
-23.996178,-33.880473,g
28.138205,9.576682,g
27.019993,84.073573,g
17.773786,20.26586,g
-4.523944,41.152834,g
-11.288295,-45.359466,g
15.985443,96.777646,g
27.93313,-0.651771,g
42.177169,129.36826,g
18.789807,-28.614692,g
24.909489,31.666392,g
8.351603,93.250151,g
-18.023201,2.527062,g
21.900224,-4.15519,g
-9.656703,-43.797849,g
28.598757,40.997989,g
15.561264,26.216494,g
42.490151,140.170715,g
-16.814576,-3.86282,g
37.730129,67.095145,g
19.230267,63.833347,g
-12.466089,-186.240668,g
-15.17571,-185.467134,g
-18.95643,-31.664833,g
38.73212,185.863774,g
23.82332,58.743542,g
17.290544,29.885497,g
20.489815,79.341091,g
23.848608,-4.999218,g
30.808681,14.668045,g
25.124783,-32.996954,g
23.259364,10.063735,g
-15.558666,22.946209,g
-5.080971,-11.917029,g
-30.522892,-79.365859,g
36.123825,37.093947,g
22.815093,4.014374,g
-5.159779,-12.292711,g
29.930877,74.287486,g
-9.951325,-15.258328,g
-24.484963,-245.508156,g
-9.536672,-39.123564,g
22.680166,4.345023,g
4.956263,1.613752,g
-20.70736,-7.76513,g
15.07196,47.590521,g
13.250708,64.24367,g
-15.966044,32.232946,g
25.314269,48.32976,g
37.930354,-13.316526,g
18.226197,25.097243,g
9.387023,36.02683,g
31.836653,27.327778,g
18.453789,31.829551,g
24.912953,36.323704,g
20.094387,56.134554,g
-22.802102,31.270099,g
-12.528443,-21.389269,g
40.125555,125.825524,g
-12.149817,-12.462279,g
-9.082874,-48.446674,g
13.679218,51.551201,g
-11.968817,-12.149644,g
-20.446513,27.351854,g
27.399312,-110.126042,g
-23.040086,72.51248,g
-2.188273,-4.727113,g
-42.254245,-260.285494,g
55.377128,-115.76075,g
29.821585,28.378094,g
26.081741,42.743203,g
31.823489,79.397036,g
23.027442,26.049871,g
25.777766,-3.810339,g
-10.116043,76.850228,g
-9.064515,-50.262209,g
30.707529,48.629751,g
-26.381385,-161.820484,g
17.363463,70.723445,g
-18.68623,2.55235,g
39.202372,-20.573819,g
36.566364,111.88927,g
19.394466,-0.772148,g
54.527904,215.299978,g
48.400428,-82.734525,g
-28.649333,55.138452,g
25.674016,81.560887,g
64.462255,182.887764,g
-31.098106,57.958404,g
30.200904,70.454457,g
-39.180028,-16.050915,g
21.349431,25.039739,g
22.514062,11.647176,g
-37.813787,-231.54748,g
48.735926,98.315188,g
-13.970549,0.343985,g
19.974356,38.381553,g
16.62942,34.606375,g
-15.374029,-89.871093,g
33.233378,38.847128,g
-10.410665,5.861606,g
39.233722,-36.863757,g
-5.985621,-22.515448,g
29.024668,50.362841,g
31.260573,45.180372,g
-19.494578,-131.727314,g
-5.581361,2.283363,g
21.697054,-68.426746,g
-19.000944,29.044414,g
-50.321965,61.255189,g
-1.329003,41.535098,g
-4.327356,-138.335607,g
-30.676698,28.200212,g
-18.811457,42.3069,g
-16.721565,-38.69211,g
33.002669,-73.593626,g
12.343633,-1.766865,g
-27.190426,-74.462596,g
30.157256,-111.549961,g
23.631062,76.243491,g
8.929588,25.715932,g
-6.100803,24.751352,g
16.058882,10.196063,g
-10.531562,106.518007,g
-14.538488,-71.301084,g
-22.255121,-81.038847,g
14.548707,5.350305,g
18.539006,41.736362,g
-21.958594,86.319523,g
19.419927,-28.960236,g
28.177003,72.250941,g
41.115076,91.066901,g
-1.440893,95.731834,g
24.466777,-5.356021,g
-6.68485,89.757125,g
17.686317,23.289155,g
31.878915,93.440677,g
-15.277035,-44.082598,g
24.344321,31.249487,g
33.332625,8.113272,g
22.707186,126.981321,g
17.137604,-84.55439,g
15.257462,10.801762,g
-8.306916,-94.869446,g
25.88065,-6.142025,g
25.987171,75.56037,g
19.085641,-22.458117,g
12.111192,8.788426,g
