@relation 'magic04-weka.filters.unsupervised.attribute.Remove-R3-5,10'

@attribute fLength numeric
@attribute fWidth numeric
@attribute fAsym numeric
@attribute fM3Long numeric
@attribute fM3Trans numeric
@attribute fAlpha numeric
@attribute class {g,h}

@data
20.7154,7.1982,1.5153,-8.8118,5.9528,88.4999,g
23.807,10.0712,7.3563,16.856,-7.645,10.378,g
24.38,17.4654,17.1472,19.777,-14.2938,0.8652,g
36.5237,15.3246,-57.2893,29.2074,-5.1062,12.715,g
19.0154,12.8813,8.3826,17.2241,8.0364,58.903,g
23.8915,12.8584,-19.4911,-14.9193,8.3832,6.2472,g
82.3156,17.9964,-55.8407,-62.4659,-17.9965,10.08,g
72.8104,14.3361,-54.9261,58.5437,-5.9832,0.644,g
20.4525,7.2419,2.1721,-9.6562,-5.7228,9.1256,g
23.6179,20.0571,-1.574,-15.0956,-11.354,47.786,g
80.0169,29.9756,20.4369,24.4273,-24.8336,4.142,g
20.7779,7.1383,-23.7708,-10.7906,-5.9792,28.79,g
37.3516,16.8653,4.4937,31.5053,-11.6112,1.713,g
25.0056,16.7048,10.5704,18.3557,-14.0925,4.2353,g
42.1289,16.1025,-37.9885,-22.3351,14.4754,12.9801,g
24.3343,14.9489,16.4085,14.006,-13.2107,10.288,g
17.8912,15.0832,1.5604,11.248,15.5561,44.74,g
21.6327,17.2218,7.9688,9.6019,14.4923,10.615,g
60.7883,27.5272,88.6317,-19.3902,13.1675,5.097,g
78.6493,34.0613,82.1473,66.0231,15.8013,3.227,g
84.2741,33.3225,43.638,73.8035,16.3734,3.7714,g
77.5343,18.8832,46.2902,94.0484,12.4317,1.892,g
20.5321,15.3265,21.9631,14.7728,9.8037,44.9,g
33.7616,14.4511,39.2425,30.9736,-6.915,32.377,g
68.0121,27.6698,-14.268,44.4184,-26.1683,3.9746,g
23.1657,12.7022,18.2871,9.4278,-8.0678,82.0505,g
42.1441,13.7346,31.7383,19.1549,7.9992,1.7038,g
36.079,13.2636,37.1098,-17.1724,8.4708,26.3559,g
74.3456,37.459,59.8813,83.1157,-21.7603,31.553,g
101.424,41.0631,78.3723,90.4413,-27.5737,6.1992,g
43.1994,17.501,44.9467,40.3342,-4.6509,7.6914,g
61.6933,18.0011,47.4507,38.9838,13.6166,2.926,g
23.2114,18.431,22.8049,22.652,11.7008,2.8462,g
25.2455,19.0726,13.6337,11.1564,-7.5994,81.6368,g
78.2002,23.1372,57.955,86.1356,16.129,12.616,g
31.5256,7.4577,33.1918,21.022,-7.3445,10.2785,g
57.1656,19.9402,11.2262,44.4537,14.2419,12.267,g
26.3353,16.2775,-30.4934,-15.3203,-12.6072,27.835,g
45.8894,15.7069,-48.0214,22.4139,-9.317,1.7371,g
39.2192,14.1085,36.9605,31.7324,5.2607,9.1923,g
52.221,12.2973,-25.0167,-41.2341,6.56,5.096,g
23.1587,0.0046,25.3507,15.0322,0,61.5621,g
19.7592,12.1812,3.6595,-11.2892,-10.7783,18.354,g
32.5377,19.6957,25.8408,21.2875,15.2061,27.297,g
23.153,21.0028,28.0575,19.6679,16.5609,27.621,g
36.9017,24.9234,-2.4734,-13.2831,8.1078,1.9727,g
29.1556,12.5696,-9.3565,21.4041,10.0929,1.925,g
100.747,16.6321,-110.411,74.4191,-14.7132,0.305,g
46.5588,28.6929,17.6816,46.0987,10.205,12.727,g
33.3045,14.4421,1.7249,-9.9052,8.066,5.2437,g
29.8023,10.9847,27.7037,24.3173,8.5655,0.352,g
86.5346,40.6201,35.8899,74.5456,25.1406,4.8152,g
64.6445,28.8301,104.88,-54.6747,-6.9935,10.304,g
64.4081,23.7635,65.7484,41.2256,-11.1654,1.0067,g
20.683,7.2158,-1.1217,7.933,-5.933,56.923,g
68.8466,17.4731,-132.189,67.6255,-8.8232,0.137,g
31.5283,21.6599,7.1639,22.6167,13.2218,50.0234,g
90.239,14.5621,-129.945,37.1621,7.5805,3.241,g
20.9663,12.7298,16.9437,5.9588,-8.9597,47.8491,g
13.0557,10.9159,-14.0863,5.2668,10.5095,74.1884,g
79.9539,31.9315,53.3845,87.6757,16.2707,17.7108,g
44.9999,25.6517,-19.3494,-12.726,-18.4786,46.1539,g
26.611,14.1842,29.0377,20.5257,-8.2908,29.5051,g
70.457,22.9878,43.5397,68.1553,-10.9792,34.2372,g
36.9794,24.1174,11.2818,8.5158,10.8997,46.43,g
16.3371,11.6489,-0.8501,4.6868,3.9635,69.7431,g
71.2234,17.8914,68.4368,71.1737,-9.5179,7.615,g
45.8732,11.2837,43.4461,-19.3437,2.9659,4.6366,g
33.429,29.8932,-13.7784,-31.4401,-25.3331,29.644,g
43.351,17.7081,37.3736,31.5782,-12.4757,20.664,g
56.2479,20.9217,33.813,36.6852,8.7702,0.556,g
100.226,28.222,-42.0608,-33.4996,-13.6411,4.4376,g
34.4244,9.6598,-29.8832,23.1758,6.9027,27.604,g
22.2442,11.3451,-6.2041,-19.0011,-6.9374,6.6462,g
37.3887,19.1897,-28.1468,-21.6535,-10.4241,1.818,g
92.6284,33.594,-57.3109,62.6011,-13.1964,6.878,g
32.2468,13.0261,-14.0759,-25.0816,7.2235,16.2095,g
50.0122,17.8938,42.9603,19.7787,-11.2019,2.8523,g
63.7616,24.1374,56.2044,57.895,8.1977,3.473,g
68.9648,25.5221,-76.6982,52.6603,21.812,0.402,g
80.7093,47.2876,-49.9844,88.2266,-25.3392,30.763,g
49.6601,22.0999,17.9069,-25.4435,8.9821,5.4509,g
22.8274,12.9011,-13.6277,-12.0722,-7.9568,33.5573,g
50.5984,25.8939,10.7891,35.9762,19.5228,8.44,g
22.4236,15.8256,1.5724,-20.7925,-4.5251,53.815,g
37.6518,15.2293,24.9532,37.9769,6.2648,7.803,g
21.1221,9.3478,18.4225,20.1723,-11.544,75.3948,g
70.4799,18.7963,-88.956,43.637,-17.9763,4.5199,g
26.466,18.778,13.4573,9.0185,6.0375,6.6995,g
19.4731,12.2939,-1,9.8855,-10.4173,53.7383,g
18.9671,12.7729,16.1166,11.5546,-8.1819,31.4965,g
33.5123,15.0057,33.7307,27.5196,2.2896,6.8985,g
49.2754,14.5068,20.2038,38.108,-11.145,1.985,g
114.806,22.8821,-50.8563,-130.103,24.28,41.91,g
24.5581,15.468,10.2036,12.6949,8.5211,26.996,g
17.1997,7.3014,3.4739,4.489,5.2467,19.79,g
86.5389,16.3152,48.9056,72.2829,4.4207,1.53,g
12.871,9.8459,11.2062,8.4149,-5.4993,40.035,g
36.1618,25.9263,14.0562,20.1419,14.7248,33.371,g
21.1474,16.8163,29.268,-11.5756,14.5016,35.595,g
13.123,10.9616,14.6416,-4.0114,11.6445,88.1516,g
53.5736,25.803,39.2808,58.4267,14.9922,7.596,g
29.1123,18.0166,11.2887,26.7753,-10.7571,36.953,g
74.4746,13.4246,18.4636,76.5354,-9.3669,5.847,g
29.4259,17.0431,-14.6546,-15.5914,8.1478,45.059,g
40.749,26.1492,29.9765,-24.5987,8.9177,8.364,g
33.8898,17.6924,13.8792,25.8841,7.6886,6.891,g
85.6478,20.1038,-43.2684,61.6568,-19.4233,0.7472,g
21.4944,10.4204,-4.4301,16.7152,-8.5553,14.8311,g
35.9225,14.7049,-5.9833,-17.4181,12.4547,2.969,g
38.5491,19.1817,-2.0615,27.1747,-7.9478,7.8488,g
32.0949,13.4114,40.987,17.3007,6.6499,14.233,g
29.9358,23.5957,21.8132,13.6714,-14.6917,39.0829,g
24.8738,19.3399,24.2257,-13.6964,-11.409,31.2269,g
13.1469,10.548,-13.3907,-4.7953,10.6172,27.3603,g
23.6426,0,2.7603,-12.9376,0,0,g
36.2124,9.5335,-22.2515,-24.4503,-5.3397,27.4653,g
31.3143,18.0536,1.2051,14.7875,12.6812,1.6985,g
80.0634,31.6829,30.1971,73.1529,-12.4444,0.57,g
45.5567,16.8422,33.8612,24.1014,-10.3577,3.378,g
20.5056,12.823,9.9865,14.0662,8.7369,1.701,g
88.6611,23.5917,41.6122,91.629,11.0464,0.71,g
23.8669,15.7684,-16.3651,-17.0472,-11.9383,20.646,g
29.669,19.4103,-22.4237,-21.0367,-13.4138,12.24,g
32.4734,11.2154,15.6316,30.4684,-10.7728,6.915,g
91.9495,29.2949,-48.1293,43.1926,22.0904,4.1635,g
48.6413,19.3526,37.0506,20.0806,14.8701,11.287,g
12.691,11.6996,15.6692,-8.7521,10.1028,79.5407,g
23.2097,19.4279,11.7908,20.3361,-7.0757,24.8586,g
43.1149,20.6045,38.0039,23.6864,5.8435,2.4098,g
34.3373,16.4943,-2.201,-29.0313,-12.3771,48.259,g
50.1872,27.6518,14.543,53.802,-10.5164,17.073,g
43.9615,20.2437,-27.2263,-20.6041,14.3218,6.846,g
24.598,12.202,-16.8541,-16.6278,5.8666,8.0075,g
40.9468,18.4822,8.9986,-21.5671,-8.7772,3.655,g
33.1959,11.5356,25.683,27.794,9.2649,6.484,g
35.5524,15.3608,-10.5469,22.0225,6.9349,13.69,g
18.1069,10.398,21.4803,11.3674,-4.8388,45.778,g
23.3353,20.2994,-19.4629,-17.4883,7.5957,29.1324,g
31.8025,12.3285,-15.7609,-6.2242,-10.7083,9.822,g
19.8547,11.7229,-4.6572,13.4459,-5.3479,42.523,g
72.7983,23.2986,46.2421,59.0347,12.2292,7.4414,g
18.0762,11.9477,3.1824,-10.1699,-11.3148,20.997,g
19.6908,9.72,-24.1813,-9.5954,3.0192,25.149,g
92.3205,31.3727,96.7367,-55.23,-17.7369,2.0919,g
18.9658,7.402,-3.1037,8.6013,-3.4053,76.0739,g
38.525,28.8308,15.7854,11.6545,-18.0274,2.3112,g
109.37,7.2912,-50.3473,-90.9952,5.8806,0.589,g
31.0208,10.3206,-37.1024,-15.7849,-7.8747,8.2969,g
37.6758,25.6146,19.5589,28.2246,-12.2202,20.1948,g
68.6967,24.7983,19.6607,76.9693,23.1282,3.4614,g
22.7946,17.6215,-25.018,-12.1896,-12.0047,37.2132,g
72.912,10.4211,20.5709,77.5674,4.8373,9.402,g
74.1464,20.7143,-31.1356,53.6291,19.484,4.802,g
58.4387,17.4136,82.5458,42.7297,16.8556,3.1218,g
62.1547,22.8527,-15.0925,43.1847,11.8992,3.4278,g
18.7703,10.0147,21.682,11.9557,-4.6444,50.86,g
24.1417,18.2322,3.201,-13.1804,3.5891,89.2231,g
85.4576,31.2369,-64.0511,50.385,-16.7292,2.245,g
54.2845,17.4844,-14.1093,-62.4836,-16.2378,1.7076,g
19.7692,15.8392,-19.1665,-15.8836,11.4315,83.8778,g
20.6147,7.1962,2.3508,-10.1138,-5.857,25.643,g
53.6832,18.8762,-33.6288,-22.3987,14.2476,0.803,g
108.261,35.2459,50.724,90.2158,18.3796,1.873,g
64.713,25.9065,22.1605,56.6713,-9.7075,1.569,g
63.6676,17.6143,45.3996,63.7663,10.6671,20.872,g
49.8142,14.8314,-46.6986,-30.2335,10.8811,14.103,g
47.4667,17.912,57.3802,33.9482,-11.3089,11.762,g
41.504,21.5189,-40.125,-31.0859,17.9862,12.8677,g
47.1637,19.347,30.0344,40.5783,-6.9531,7.132,g
70.6596,30.9809,-77.6508,48.7238,12.3933,11.138,g
66.5662,28.6046,35.167,40.3408,20.895,0.4,g
28.3371,24.9896,27.1233,22.0479,-15.7731,7.208,g
53.7088,16.6628,20.2522,53.7607,-12.9033,11.677,g
79.7124,35.2208,10.1771,-28.5291,-18.2423,2.129,g
30.251,13.6492,-1.3097,17.8866,-9.1995,2.103,g
20.7708,16.7921,6.1544,11.5784,14.5851,72.2425,g
27.1848,14.0718,-17.8425,14.9077,7.5929,47.377,g
66.8289,20.5976,-96.7076,-28.5553,-22.971,5.1606,g
35.8341,21.9779,21.3774,-18.5377,17.1248,6.11,g
57.8911,22.2757,88.1908,-36.4026,14.4477,8.217,g
62.7644,25.1345,34.1638,64.2319,-10.954,4.1234,g
30.3706,22.2166,-18.1745,-15.7373,9.9684,6.7334,g
23.3751,12.5305,28.3051,4.9827,-7.8915,33.8435,g
101.178,26.3345,58.0917,109.953,17.8454,3.1693,g
39.2852,14.4233,47.5036,37.0007,-4.512,11.679,g
12.7592,11.6189,15.1407,-4.8943,-11.5795,1.2142,g
34.2513,17.3507,-16.3295,-18.29,11.951,4.939,g
23.2118,10.7747,-23.5159,-19.3164,-10.2216,7.755,g
43.0546,19.9313,-9.9563,30.6469,10.863,12.089,g
20.7417,15.2144,2.6314,-10.302,-8.5521,16.395,g
22.3238,11.6049,28.8057,10.4378,-11.5998,18.82,g
79.6309,30.9289,73.8548,71.5445,18.1939,2.3084,g
32.9957,12.5757,20.9195,26.5732,-10.0969,71.066,g
60.012,19.0335,63.7436,29.51,-13.7127,11.1868,g
26.1033,19.74,0.2545,-7.5265,-11.0293,5.4609,g
40.0436,29.8364,43.8255,22.922,-18.7429,1.6058,g
18.8932,15.3311,3.915,-16.1011,-9.6919,14.71,g
43.9241,10.9225,-10.3197,-22.4855,10.0655,21.329,g
23.6577,9.8458,-32.3346,16.0048,10.2052,26.831,g
28.4739,21.2686,26.7542,12.1834,-16.0947,25.431,g
70.0225,26.4199,-74.3157,60.8729,14.111,3.902,g
72.7908,23.7428,34.9796,74.514,15.0871,4.2311,g
30.5807,12.704,-19.9214,-13.3648,-4.5491,0.0648,g
35.086,19.428,-10.5013,20.5008,-5.0981,11.3154,g
31.3015,12.9583,39.4292,16.4468,-6.6409,7.923,g
25.7334,16.1706,6.2344,22.7043,-0.9389,49.1483,g
19.6633,9.2678,-20.4804,-14.1482,2.7477,81.0899,g
42.7735,24.0127,-27.2832,-27.861,-23.4385,13.269,g
23.9467,14.5395,-18.8146,12.5722,-8.6566,60.493,g
37.6122,14.3011,6.1052,21.3123,10.0353,28.521,g
22.241,8.9672,0.7829,10.3637,9.4599,32.6097,g
27.506,17.6938,-28.9954,12.4763,-11.2782,3.3162,g
21.1305,12.5141,-26.9401,-12.1122,-10.1223,81.2274,g
27.515,14.227,-14.2964,-16.8821,9.1943,8.977,g
31.5473,16.5484,-1.0313,-21.8471,11.3766,10.6245,g
18.0693,9.6759,-19.5487,-12.7659,6.8677,84.2593,g
67.9187,18.5575,-0.1913,29.7202,15.8403,9.654,g
27.8546,16.5647,-12.7839,-19.3784,9.745,4.1367,g
81.8495,36.8892,-98.2812,25.5609,24.6676,16.194,g
23.4123,14.7674,8.6813,14.9779,-13.7075,39.4624,g
70.2288,28.4154,-19.6781,65.1319,-19.9625,1.562,g
34.1392,18.3298,33.6157,16.5571,-9.5372,13.7301,g
29.0976,15.3475,12.7534,6.2127,11.7229,36.077,g
29.4748,14.7801,-19.2304,-15.1459,11.1788,10.721,g
38.941,22.4191,23.2233,27.294,-13.0111,13.913,g
20.8484,12.248,-26.4809,-10.5577,-9.4669,68.6674,g
88.0174,21.6106,77.0907,78.2005,2.3756,6.986,g
59.0112,26.2465,48.3117,45.5126,-17.2875,1.8811,g
79.539,22.7182,21.7908,75.6075,-11.0191,1.6851,g
106.364,49.748,10.6809,83.0956,-23.9498,0.624,g
34.9792,22.7377,4.3277,13.4747,16.9388,4.075,g
12.4899,11.9789,15.9987,-8.5835,10.5907,45.6611,g
55.8434,21.4546,-27.225,-27.5871,9.9968,5.4306,g
68.7354,20.5108,46.1909,45.2258,-11.3574,9.3666,g
64.5226,14.9087,79.1655,-40.6169,-7.4207,0.47,g
31.5737,19.7566,14.159,-5.5612,12.28,29.603,g
38.3448,14.1032,40.6911,26.0716,-5.8822,0.1899,g
37.7253,16.6038,19.6874,33.9511,7.8238,15.834,g
26.7751,18.1128,19.1387,14.3378,-11.7582,66.0281,g
33.0776,12.6328,12.1478,-23.3928,-7.7522,29.307,g
42.1712,11.9324,45.024,17.3649,-9.1849,10.7626,g
67.2302,17.0296,-126.614,59.9437,10.6782,13.9446,g
62.3261,18.0596,60.5019,49.8049,7.7899,73.9247,g
63.7006,19.4801,65.4462,46.0652,-11.9541,8.519,g
36.852,25.1337,19.2474,29.5049,6.2066,8.877,g
38.7558,15.7457,40.2922,14.8127,-9.8638,3.952,g
57.7702,19.8409,33.752,43.2779,-4.8554,6.527,g
88.5562,23.4657,74.4441,72.9694,10.4241,0.8794,g
41.745,19.728,36.2267,34.9348,11.3817,1.2137,g
17.2692,11.1405,1.2627,-6.3159,5.3486,40.0799,g
23.1041,16.8594,-15.7757,-11.8597,10.5502,21.8327,g
35.315,16.4057,44.3245,29.9203,-9.4979,5.231,g
30.7339,13.3786,-17.5294,-25.4043,-12.3432,4.661,g
46.3706,21.9331,26.5122,32.6991,-13.6362,2.447,g
47.0893,20.5962,13.9659,39.1249,-7.5246,2.621,g
19.7221,15.8656,7.4801,13.3605,-13.2124,31.983,g
32.9203,27.2356,13.4766,28.0548,-17.264,13.181,g
31.4417,19.7318,23.7303,21.7099,10.6866,27.914,g
