@relation 'winequality-white_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.75-A12-M-1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R7-precision6'

@attribute '-0.512density+0.437alcohol-0.427residual sugar-0.407total sulfur dioxide-0.3free sulfur dioxide-0.212chlorides-0.157fixed acidity-0.144citric acid+0.129pH-0.043sulphates-0.005volatile acidity' numeric
@attribute '0.588fixed acidity-0.581pH+0.345citric acid-0.29free sulfur dioxide-0.244total sulfur dioxide-0.223sulphates-0.052volatile acidity+0.036alcohol+0.009chlorides-0.009residual sugar-0.006density' numeric
@attribute '-0.591volatile acidity+0.504citric acid+0.433sulphates+0.279free sulfur dioxide-0.214residual sugar-0.129density+0.127pH+0.124total sulfur dioxide+0.121fixed acidity+0.106alcohol-0.102chlorides' numeric
@attribute '-0.711chlorides-0.442sulphates+0.306free sulfur dioxide-0.274volatile acidity+0.274residual sugar-0.149citric acid+0.141alcohol-0.098pH+0.06 total sulfur dioxide+0.022density-0.019fixed acidity' numeric
@attribute '0.643volatile acidity+0.401sulphates+0.337alcohol-0.329chlorides+0.293total sulfur dioxide+0.251fixed acidity+0.177free sulfur dioxide-0.12pH-0.085density+0.054citric acid+0.011residual sugar' numeric
@attribute '0.494free sulfur dioxide-0.481sulphates+0.396chlorides-0.328density-0.289residual sugar+0.276total sulfur dioxide-0.193pH+0.139alcohol+0.132citric acid+0.122volatile acidity-0.104fixed acidity' numeric
@attribute quality {'\'(-inf-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-6]\'','\'(6-6.6]\'','\'(6.6-7.2]\'','\'(7.2-7.8]\'','\'(7.8-8.4]\'','\'(8.4-inf)\''}

@data
1.211262,0.278342,-2.132603,0.078076,-0.393233,-0.039098,'\'(5.4-6]\''
0.87227,0.451977,0.028486,0.163939,-0.317222,0.049524,'\'(5.4-6]\''
0.64094,-1.390825,-1.683747,-1.201613,-0.570006,-0.184273,'\'(4.8-5.4]\''
1.94274,-0.408418,-0.135167,0.384222,0.260513,0.093961,'\'(6.6-7.2]\''
-0.312496,-1.347832,0.10944,1.282481,0.118724,2.029335,'\'(4.8-5.4]\''
1.292522,-0.640968,0.895394,-0.89298,-0.218862,-0.883688,'\'(7.8-8.4]\''
-0.557192,1.167615,-1.151677,0.383482,-1.319573,-0.61826,'\'(4.8-5.4]\''
-2.334488,-0.746493,0.567915,-0.142009,0.186146,1.02011,'\'(5.4-6]\''
-1.683176,-1.926912,0.342103,-0.721881,0.645275,0.448377,'\'(4.8-5.4]\''
-0.576306,-3.403099,0.908474,-1.745884,-0.040128,-1.167822,'\'(4.8-5.4]\''
0.283338,3.317652,0.296899,-1.195327,-0.799605,-0.738601,'\'(5.4-6]\''
1.292522,-0.640968,0.895394,-0.89298,-0.218862,-0.883688,'\'(7.8-8.4]\''
-0.557192,1.167615,-1.151677,0.383482,-1.319573,-0.61826,'\'(4.8-5.4]\''
2.549942,0.700518,0.697574,0.537573,-0.669063,0.778058,'\'(6.6-7.2]\''
2.418015,0.030861,0.53867,-1.199393,0.672745,-0.987671,'\'(6.6-7.2]\''
-0.957416,1.477087,-0.067661,-0.618296,-1.037059,-0.873522,'\'(4.8-5.4]\''
0.025524,-0.079863,-2.694731,-1.218686,0.078183,0.09248,'\'(4.8-5.4]\''
0.937522,-1.222021,1.605856,-1.587641,0.17877,-1.176946,'\'(5.4-6]\''
-2.696163,-0.560042,0.561169,0.344205,-0.228959,-1.085331,'\'(5.4-6]\''
-0.753189,-0.392683,-1.036879,-0.110625,0.057664,0.930658,'\'(4.8-5.4]\''
-1.646674,-0.79085,0.298824,0.392668,-0.293737,-0.055037,'\'(5.4-6]\''
-2.592262,0.775021,-0.092856,-0.058102,0.82568,0.477545,'\'(4.8-5.4]\''
-2.543313,0.791167,-0.10473,-0.149714,0.891779,0.338915,'\'(5.4-6]\''
-2.596052,0.996915,0.242515,0.084356,0.62063,0.569429,'\'(5.4-6]\''
-2.58778,-1.1767,0.267029,0.986625,0.16131,0.582927,'\'(5.4-6]\''
-2.592262,0.775021,-0.092856,-0.058102,0.82568,0.477545,'\'(4.8-5.4]\''
-2.543313,0.791167,-0.10473,-0.149714,0.891779,0.338915,'\'(5.4-6]\''
-2.596052,0.996915,0.242515,0.084356,0.62063,0.569429,'\'(5.4-6]\''
-2.498125,-1.10207,0.735984,0.518472,0.271856,1.5425,'\'(4.8-5.4]\''
1.839679,-0.175243,0.7197,0.923054,0.338112,1.304744,'\'(6.6-7.2]\''
1.829581,-0.158298,0.946376,1.027538,0.218379,1.255193,'\'(6.6-7.2]\''
0.787017,0.19401,1.198266,0.801903,-0.05177,1.015809,'\'(6.6-7.2]\''
-2.983412,-0.333326,-0.178302,1.341649,0.386442,0.982276,'\'(5.4-6]\''
-2.432545,0.40643,0.075393,-0.349954,-0.123163,-0.706237,'\'(5.4-6]\''
1.740793,3.183639,-0.292473,0.359357,0.051361,0.162446,'\'(6.6-7.2]\''
-0.489243,4.713315,-1.419478,0.284256,0.28451,-0.807373,'\'(3.6-4.2]\''
-2.432545,0.40643,0.075393,-0.349954,-0.123163,-0.706237,'\'(5.4-6]\''
-2.925963,0.670659,-0.161463,0.496381,-0.168036,0.534773,'\'(4.8-5.4]\''
-1.660374,-1.11249,0.955101,0.957563,-1.412592,0.417582,'\'(4.8-5.4]\''
-1.577224,-1.748246,-0.453937,1.063606,-1.26094,0.184123,'\'(4.8-5.4]\''
-3.555862,1.042167,-0.812892,0.392725,-0.001989,-0.436607,'\'(4.8-5.4]\''
-2.925963,0.670659,-0.161463,0.496381,-0.168036,0.534773,'\'(4.8-5.4]\''
-1.460713,0.707417,-0.376111,1.016,-2.051585,-0.785078,'\'(5.4-6]\''
-1.660374,-1.11249,0.955101,0.957563,-1.412592,0.417582,'\'(4.8-5.4]\''
-3.021354,-0.526093,0.505064,0.834786,0.209411,-0.91344,'\'(5.4-6]\''
-3.021354,-0.526093,0.505064,0.834786,0.209411,-0.91344,'\'(5.4-6]\''
0.115236,-0.980007,0.363587,-0.934463,0.88276,0.301044,'\'(4.8-5.4]\''
-2.590961,1.065017,0.868372,-0.067339,-1.412582,2.07083,'\'(5.4-6]\''
-4.335731,0.202254,0.164681,0.503143,0.557254,-0.241547,'\'(4.8-5.4]\''
-3.389116,0.484255,0.399287,0.48311,0.564724,0.993075,'\'(4.8-5.4]\''
-1.209963,-0.329716,-1.112299,-0.652517,0.348327,-0.613668,'\'(4.8-5.4]\''
-1.209963,-0.329716,-1.112299,-0.652517,0.348327,-0.613668,'\'(4.8-5.4]\''
1.812362,-2.866281,-3.274917,-1.584301,-0.950161,-0.620094,'\'(3.6-4.2]\''
1.565551,-1.070611,-0.610503,0.042783,-0.085993,0.292006,'\'(5.4-6]\''
2.238527,1.172562,0.85443,0.361592,-1.037317,-0.191157,'\'(5.4-6]\''
-3.389116,0.484255,0.399287,0.48311,0.564724,0.993075,'\'(4.8-5.4]\''
-3.224385,0.501314,0.214199,0.016286,0.563118,0.56539,'\'(4.8-5.4]\''
1.339166,-1.174912,-2.096889,-0.354428,-0.424628,-0.903543,'\'(4.8-5.4]\''
-2.369382,1.048072,-0.169667,0.023069,-0.28871,-0.824243,'\'(4.8-5.4]\''
-0.433408,0.366352,-0.107059,0.275687,-1.759044,0.084271,'\'(4.8-5.4]\''
-0.204566,0.067747,-0.608148,-0.255768,-1.886732,-0.312229,'\'(5.4-6]\''
-0.361014,0.132563,1.007067,-1.005707,-2.175947,1.972255,'\'(5.4-6]\''
0.836536,-0.762562,1.582556,1.093529,0.122156,1.020698,'\'(5.4-6]\''
0.304111,0.519219,-1.42247,0.429284,0.660952,-0.217291,'\'(4.8-5.4]\''
-1.172374,-1.993755,0.760381,0.32332,0.036586,-0.271721,'\'(6.6-7.2]\''
0.075481,-0.891908,1.677597,-0.538546,0.77963,0.883542,'\'(6.6-7.2]\''
0.042848,-0.941068,1.679045,-0.626333,0.765457,0.916112,'\'(5.4-6]\''
1.759812,-0.64198,-1.43902,0.951962,-1.512574,-1.76056,'\'(4.8-5.4]\''
-1.172374,-1.993755,0.760381,0.32332,0.036586,-0.271721,'\'(6.6-7.2]\''
-3.105242,-1.512134,-0.152964,0.232059,1.669022,0.139139,'\'(4.8-5.4]\''
-2.370399,-1.11434,-0.279579,1.077923,-0.160245,-0.940722,'\'(4.8-5.4]\''
-1.787458,-1.191314,-0.052375,0.797016,0.31495,0.015053,'\'(4.8-5.4]\''
-2.126511,-1.021952,-0.080062,0.695404,0.258254,-1.123982,'\'(4.8-5.4]\''
0.843248,1.725225,0.647775,0.815019,0.057026,0.50517,'\'(5.4-6]\''
-2.433448,0.891416,0.481454,-0.121465,0.337338,0.366196,'\'(4.8-5.4]\''
1.413882,0.480669,0.929553,0.00797,-0.412146,-0.315921,'\'(6.6-7.2]\''
1.892773,1.483966,0.546416,-0.202109,0.533505,-0.872253,'\'(5.4-6]\''
1.546446,-0.085071,-0.5953,-0.531071,-0.887434,-0.286872,'\'(4.8-5.4]\''
-2.433448,0.891416,0.481454,-0.121465,0.337338,0.366196,'\'(4.8-5.4]\''
0.933847,0.921873,1.349047,-0.164872,0.101651,-0.076086,'\'(5.4-6]\''
0.027429,1.744097,0.83224,-0.236411,-0.253358,-1.168837,'\'(5.4-6]\''
1.424216,1.861141,0.99593,-0.298828,-0.027995,-0.727571,'\'(5.4-6]\''
1.384691,0.783841,0.061458,0.456226,-0.368234,1.25912,'\'(5.4-6]\''
0.515498,-1.587077,0.524432,0.917179,-1.295951,1.485033,'\'(5.4-6]\''
0.527494,-0.972908,-3.702344,-1.285773,0.061245,-0.328667,'\'(3.6-4.2]\''
2.272092,-0.684286,-0.035754,-0.560546,0.465345,-1.028597,'\'(6.6-7.2]\''
0.059646,1.239728,-0.857829,-0.100624,-1.12591,0.293174,'\'(5.4-6]\''
-0.210444,1.247648,0.253211,1.278142,-0.04337,1.092219,'\'(6.6-7.2]\''
-1.77355,0.836291,0.926022,0.617804,-0.68457,0.455215,'\'(5.4-6]\''
0.059646,1.239728,-0.857829,-0.100624,-1.12591,0.293174,'\'(5.4-6]\''
0.858717,0.922007,1.013313,0.014099,-0.833723,0.604217,'\'(4.8-5.4]\''
-0.414763,1.686164,1.163643,-1.879495,0.438291,-2.925358,'\'(5.4-6]\''
-3.297825,1.309741,-0.194526,0.35939,-0.347949,0.738778,'\'(5.4-6]\''
-3.297825,1.309741,-0.194526,0.35939,-0.347949,0.738778,'\'(5.4-6]\''
2.353859,-0.966679,-0.326215,0.490154,0.375434,0.968143,'\'(6.6-7.2]\''
2.777263,-2.383732,-2.212546,0.772348,0.358582,1.424064,'\'(7.8-8.4]\''
2.777263,-2.383732,-2.212546,0.772348,0.358582,1.424064,'\'(7.8-8.4]\''
2.353859,-0.966679,-0.326215,0.490154,0.375434,0.968143,'\'(6.6-7.2]\''
-2.330168,1.298463,-0.05385,0.258875,-1.120965,-0.121237,'\'(4.8-5.4]\''
1.417775,-0.005675,-1.41474,-0.486744,-0.677055,-0.283484,'\'(4.8-5.4]\''
-3.297825,1.309741,-0.194526,0.35939,-0.347949,0.738778,'\'(5.4-6]\''
-2.643992,-0.833474,0.42171,0.814011,0.130413,0.516862,'\'(4.8-5.4]\''
-2.501192,-0.57689,0.601798,0.956442,0.068826,0.5946,'\'(4.8-5.4]\''
-2.260567,0.993103,1.034534,-0.400738,0.921352,-0.498316,'\'(5.4-6]\''
2.646842,0.352587,-1.70355,0.092835,1.43473,0.593465,'\'(6.6-7.2]\''
-1.264821,0.840279,-0.56753,-0.67858,-0.098401,-0.946979,'\'(4.8-5.4]\''
-0.781502,4.660186,-1.618238,0.289645,0.878909,-0.508935,'\'(4.8-5.4]\''
1.467508,0.908935,0.893913,-1.186732,0.776334,1.059852,'\'(5.4-6]\''
1.379067,2.10549,0.650344,-0.090284,-0.787151,0.153869,'\'(5.4-6]\''
2.156795,2.116197,-1.546017,-0.680079,1.179425,0.336009,'\'(3.6-4.2]\''
1.308849,-0.238999,0.389896,0.728205,-0.839515,0.708847,'\'(6.6-7.2]\''
-2.488384,0.273317,-0.152872,-0.03132,0.668434,-1.595479,'\'(4.8-5.4]\''
0.05639,0.675067,0.055521,1.572995,-0.364675,1.621775,'\'(5.4-6]\''
2.042041,2.139387,-0.174516,-0.068746,0.280573,0.353915,'\'(3.6-4.2]\''
-1.915378,-1.494736,-0.39661,0.935635,-1.090695,0.46505,'\'(4.8-5.4]\''
1.008815,-0.388115,-4.601972,-1.603767,0.517054,0.469602,'\'(3.6-4.2]\''
-1.017931,-1.070878,0.835431,-0.774221,0.224704,-0.533415,'\'(5.4-6]\''
-0.963288,-1.099009,0.265398,-0.843612,0.68944,-0.371116,'\'(5.4-6]\''
-0.79803,-0.611571,-0.760554,0.204104,0.35895,1.58442,'\'(4.8-5.4]\''
-3.964613,0.648935,-0.757006,0.925774,-0.098804,-0.895748,'\'(4.8-5.4]\''
-3.151842,-0.965446,0.80792,0.435341,0.816114,0.212109,'\'(5.4-6]\''
-3.176878,-0.055232,1.706289,0.250204,1.133223,0.432158,'\'(4.8-5.4]\''
-3.286191,-0.128163,1.566319,0.211719,1.367215,0.53082,'\'(4.8-5.4]\''
-1.320157,-0.26411,1.010364,0.168367,0.439154,-0.282065,'\'(5.4-6]\''
1.042369,-0.830682,-0.398316,0.346092,0.101591,0.322211,'\'(4.8-5.4]\''
2.150101,-0.157193,-0.79167,-0.80041,2.388479,-0.00423,'\'(7.8-8.4]\''
-2.122692,-0.906953,0.00988,0.281493,0.306126,0.391407,'\'(3.6-4.2]\''
-2.220871,-0.87764,0.058153,0.097297,0.313065,0.463151,'\'(5.4-6]\''
-3.964613,0.648935,-0.757006,0.925774,-0.098804,-0.895748,'\'(4.8-5.4]\''
0.553984,1.154334,-0.60687,0.589174,-0.169858,0.574185,'\'(5.4-6]\''
0.035963,-0.541677,0.482976,-0.009315,-1.775241,-0.049954,'\'(4.8-5.4]\''
-3.057356,-0.113959,-0.094577,-4.28829,-2.171823,4.94334,'\'(4.8-5.4]\''
-3.032714,-0.063899,-0.155669,-4.141551,-2.125407,5.024622,'\'(5.4-6]\''
-3.04451,-0.029613,-0.196942,-4.065178,-2.210275,5.041247,'\'(4.8-5.4]\''
-2.079933,-0.838879,-0.206426,0.428131,-0.073769,0.697993,'\'(4.8-5.4]\''
-2.828734,-0.50959,-0.831697,0.503821,0.363099,0.006803,'\'(4.8-5.4]\''
-2.079933,-0.838879,-0.206426,0.428131,-0.073769,0.697993,'\'(4.8-5.4]\''
-2.865552,-0.845006,-0.488881,0.848008,0.083015,-0.242753,'\'(4.8-5.4]\''
-2.828734,-0.50959,-0.831697,0.503821,0.363099,0.006803,'\'(4.8-5.4]\''
-2.744616,-1.114399,-1.49013,-0.136284,2.167994,0.614156,'\'(4.8-5.4]\''
-0.053446,-0.65081,0.270543,0.821527,0.483425,-0.850016,'\'(5.4-6]\''
0.914198,-0.93081,0.141715,-0.62587,-0.651506,0.35741,'\'(3.6-4.2]\''
-1.984304,0.139299,0.481558,0.674404,-0.965778,-0.074977,'\'(4.8-5.4]\''
-0.781412,0.309721,-0.154271,0.923466,-1.711986,-0.040994,'\'(4.8-5.4]\''
-1.757786,4.849293,1.244565,-1.593881,1.943606,-0.291723,'\'(3.6-4.2]\''
1.347599,-0.613903,-1.168834,-2.320595,1.961002,-1.775941,'\'(4.8-5.4]\''
0.254932,-1.314215,0.23595,-2.059382,1.294345,-0.808155,'\'(5.4-6]\''
1.435806,-0.482749,-1.467367,0.828834,-1.761412,-1.074683,'\'(4.8-5.4]\''
1.422829,-0.367266,1.56718,-0.259908,-0.210364,-0.374535,'\'(6.6-7.2]\''
-0.781412,0.309721,-0.154271,0.923466,-1.711986,-0.040994,'\'(4.8-5.4]\''
0.270088,-0.745919,0.235717,0.341798,-2.103771,-0.233962,'\'(5.4-6]\''
1.927899,-0.792568,-0.020328,0.552249,-0.4426,0.170459,'\'(6.6-7.2]\''
-0.992935,-1.704761,-0.684575,1.005131,-0.986503,0.427272,'\'(4.8-5.4]\''
-0.403361,1.144966,-0.189255,1.314251,0.278162,1.121065,'\'(4.8-5.4]\''
-0.992935,-1.704761,-0.684575,1.005131,-0.986503,0.427272,'\'(4.8-5.4]\''
-2.408239,-2.093439,-0.934077,1.300361,-0.583258,-0.32657,'\'(4.8-5.4]\''
-0.307881,1.19809,-0.021621,1.414352,-0.058555,1.035159,'\'(4.8-5.4]\''
-0.403361,1.144966,-0.189255,1.314251,0.278162,1.121065,'\'(4.8-5.4]\''
-1.926688,0.087997,-3.221208,-1.825938,2.377024,0.219776,'\'(5.4-6]\''
1.927899,-0.792568,-0.020328,0.552249,-0.4426,0.170459,'\'(6.6-7.2]\''
0.402396,-1.021051,0.263789,0.116135,-1.549387,0.148411,'\'(5.4-6]\''
0.978691,-1.626642,-1.301162,-1.113713,1.135298,-0.001073,'\'(5.4-6]\''
-2.707826,-0.091012,-0.501639,0.825785,-1.14642,-1.075713,'\'(4.8-5.4]\''
-0.256821,-1.987959,1.182,-0.112307,-0.818559,0.234146,'\'(5.4-6]\''
-3.152005,-1.190739,0.747594,0.950698,0.85912,0.793469,'\'(5.4-6]\''
-0.256821,-1.987959,1.182,-0.112307,-0.818559,0.234146,'\'(5.4-6]\''
-2.707826,-0.091012,-0.501639,0.825785,-1.14642,-1.075713,'\'(4.8-5.4]\''
-0.961973,-1.504979,-3.783293,-1.345742,1.087169,-0.610595,'\'(3.6-4.2]\''
-1.814049,0.165878,0.612507,-0.013328,0.555648,-0.604233,'\'(5.4-6]\''
-2.152942,-0.083535,0.812367,0.318923,0.69511,-0.213298,'\'(5.4-6]\''
-3.04687,0.155087,0.049035,0.641117,-0.383866,0.39392,'\'(5.4-6]\''
-3.04687,0.155087,0.049035,0.641117,-0.383866,0.39392,'\'(5.4-6]\''
-3.04687,0.155087,0.049035,0.641117,-0.383866,0.39392,'\'(5.4-6]\''
-3.04687,0.155087,0.049035,0.641117,-0.383866,0.39392,'\'(5.4-6]\''
-2.464054,-1.376404,-1.323566,0.066064,1.955246,0.346321,'\'(5.4-6]\''
1.016806,0.464007,1.440177,0.068395,-0.093275,0.834799,'\'(6.6-7.2]\''
-1.34988,-2.259396,-0.305325,0.011815,-0.314599,-2.380157,'\'(5.4-6]\''
-2.809015,-0.638889,-0.99994,0.523902,0.113808,-0.263313,'\'(4.8-5.4]\''
0.476093,1.040383,-0.744179,0.240729,0.224788,-1.188394,'\'(4.8-5.4]\''
1.989051,1.132368,0.319582,0.812579,-0.457171,0.209031,'\'(6.6-7.2]\''
-1.098911,-1.581941,1.497899,-0.022089,0.594178,1.022891,'\'(5.4-6]\''
-2.047687,0.687175,-0.328641,-0.205541,0.354583,-0.174002,'\'(4.8-5.4]\''
0.382767,-2.032882,2.304883,-1.051966,1.048312,-0.830816,'\'(5.4-6]\''
2.123055,-0.086854,1.014747,0.142967,0.785176,-0.246494,'\'(6.6-7.2]\''
2.681932,-0.090202,-0.498453,0.501017,-1.594975,-0.196733,'\'(6.6-7.2]\''
2.747073,-0.26703,-0.470545,0.537262,-1.679437,-0.262018,'\'(6.6-7.2]\''
0.261996,-1.430431,-2.279636,0.045618,-0.132396,-1.328102,'\'(4.8-5.4]\''
-0.551153,-3.68377,1.430397,-1.087824,-0.281518,-1.14572,'\'(3.6-4.2]\''
-3.000472,0.960079,-0.791331,-0.020327,0.239749,-0.204507,'\'(-inf-3.6]\''
-2.047687,0.687175,-0.328641,-0.205541,0.354583,-0.174002,'\'(4.8-5.4]\''
2.497128,-0.887495,0.409753,-0.073026,-0.861386,-0.764821,'\'(-inf-3.6]\''
-0.036282,-0.861327,0.622467,-0.690754,-0.735425,0.547278,'\'(5.4-6]\''
0.054901,-0.855849,1.149289,-0.470052,0.073977,-0.001246,'\'(7.8-8.4]\''
1.680924,0.037881,-1.26844,-0.075117,-0.305933,-0.6685,'\'(6.6-7.2]\''
1.680924,0.037881,-1.26844,-0.075117,-0.305933,-0.6685,'\'(6.6-7.2]\''
