@relation winequality-white-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-P75.0-R42-DSparse1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R9-precision6

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute quality {'\'(-inf-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-6]\'','\'(6-6.6]\'','\'(6.6-7.2]\'','\'(7.2-7.8]\'','\'(7.8-8.4]\'','\'(8.4-inf)\''}

@data
4.62319,130.785424,-9.02537,-107.05806,50.229473,130.059695,-10.738715,197.678959,'\'(7.8-8.4]\''
4.350392,296.965307,-11.099501,-275.690527,29.444864,295.990163,-12.817176,340.382625,'\'(5.4-6]\''
14.957125,230.681455,-9.534074,-213.042249,58.889727,229.739219,-11.25833,300.6667,'\'(4.8-5.4]\''
4.62319,130.785424,-9.02537,-107.05806,50.229473,130.059695,-10.738715,197.678959,'\'(7.8-8.4]\''
7.397935,177.39318,-9.368316,-157.010406,32.908965,176.721144,-11.085125,223.677041,'\'(6.6-7.2]\''
5.391874,212.12253,-10.058019,-192.292281,71.014083,211.206275,-11.777945,294.950932,'\'(7.8-8.4]\''
4.561702,291.355195,-11.442447,-273.993117,43.30127,290.343677,-13.163586,346.271597,'\'(4.8-5.4]\''
4.685371,246.751422,-9.707972,-227.816643,27.712813,245.847292,-11.431535,285.528576,'\'(5.4-6]\''
17.86697,424.986378,-10.400099,-405.473094,96.994845,424.040679,-12.124356,534.164469,'\'(5.4-6]\''
4.058195,253.575702,-10.231224,-234.796807,60.621778,252.723533,-11.951151,325.261821,'\'(5.4-6]\''
17.469638,244.982998,-10.39906,-225.114643,55.425626,243.976677,-12.124356,312.461966,'\'(5.4-6]\''
4.453795,229.543497,-11.100021,-207.690212,29.444864,228.613386,-12.817176,273.109771,'\'(5.4-6]\''
5.803409,198.134488,-10.754996,-174.919811,64.08588,196.847574,-12.470766,278.028796,'\'(6.6-7.2]\''
20.416376,246.702925,-12.994884,-227.71272,34.641016,245.708728,-14.722432,292.785869,'\'(5.4-6]\''
4.214772,82.068031,-12.655402,-63.046649,12.124356,81.302465,-14.376022,105.429933,'\'(5.4-6]\''
5.892437,173.915222,-11.098982,-153.73683,53.693575,173.066517,-12.817176,240.512575,'\'(5.4-6]\''
4.908459,203.316784,-9.01723,-186.178141,74.478185,202.355496,-10.738715,287.000819,'\'(5.4-6]\''
27.966039,310.459715,-8.320426,-291.729318,38.105118,309.742646,-10.045895,360.439773,'\'(4.8-5.4]\''
5.404865,213.925595,-10.928375,-190.144538,36.373067,213.05957,-12.643971,266.545299,'\'(4.8-5.4]\''
11.472065,258.562277,-9.537711,-240.148844,43.30127,257.867724,-11.25833,313.761004,'\'(4.8-5.4]\''
4.348487,239.669066,-10.408586,-219.139068,65.817931,239.092293,-12.124356,319.390169,'\'(5.4-6]\''
33.497689,258.849797,-10.912093,-242.556395,77.942286,258.127532,-12.643971,345.769303,'\'(4.8-5.4]\''
33.497689,258.849797,-10.912093,-242.556395,77.942286,258.127532,-12.643971,345.769303,'\'(4.8-5.4]\''
6.726766,274.63744,-9.883602,-256.759212,109.119201,273.715989,-11.60474,394.0762,'\'(5.4-6]\''
7.419586,272.907121,-9.883602,-255.061802,109.119201,272.018579,-11.60474,392.37879,'\'(5.4-6]\''
14.991593,277.697974,-10.400272,-259.357288,48.497423,276.781719,-12.124356,337.715266,'\'(5.4-6]\''
4.613144,263.838103,-9.710916,-245.847292,57.157677,262.769428,-11.431535,331.722371,'\'(5.4-6]\''
4.595824,267.290081,-9.884121,-249.311393,57.157677,266.216209,-11.60474,335.134511,'\'(5.4-6]\''
4.681907,289.88988,-11.097076,-271.01399,65.817931,288.871434,-12.817176,367.229412,'\'(6.6-7.2]\''
9.793015,357.361919,-9.017057,-338.927702,109.119201,356.352133,-10.738715,478.011382,'\'(3.6-4.2]\''
9.775522,359.081845,-9.01723,-340.659753,107.38715,358.066863,-10.738715,478.063343,'\'(4.8-5.4]\''
14.991593,277.697974,-10.400272,-259.357288,48.497423,276.781719,-12.124356,337.715266,'\'(5.4-6]\''
10.989862,260.529886,-10.22776,-242.002139,55.425626,259.582455,-11.951151,326.716744,'\'(4.8-5.4]\''
5.025892,300.289113,-10.753091,-278.617693,53.693575,299.419623,-12.470766,368.130079,'\'(5.4-6]\''
4.124706,215.394374,-9.71438,-194.717152,67.549981,214.272005,-11.431535,296.024804,'\'(6.6-7.2]\''
4.193295,142.69847,-9.022253,-122.352069,36.373067,141.803,-10.738715,191.807306,'\'(6.6-7.2]\''
4.054904,187.745647,-9.36849,-167.575916,67.549981,187.061487,-11.085125,268.069503,'\'(5.4-6]\''
4.300682,229.907228,-10.058019,-212.210865,65.817931,228.994437,-11.777945,305.273955,'\'(5.4-6]\''
4.574,331.495472,-10.235035,-310.868479,50.229473,330.527256,-11.951151,395.11543,'\'(5.4-6]\''
22.925771,369.590197,-10.745297,-351.433109,64.08588,368.649694,-12.470766,444.652083,'\'(5.4-6]\''
23.654964,255.14494,-8.665104,-238.572678,86.60254,254.438264,-10.392305,351.242583,'\'(5.4-6]\''
9.947341,135.435981,-9.711436,-116.774865,43.30127,134.701591,-11.431535,191.339653,'\'(5.4-6]\''
4.421233,192.946996,-11.097942,-174.521439,76.210236,192.292281,-12.817176,280.141898,'\'(5.4-6]\''
10.626305,213.61729,-10.054382,-197.349869,51.961524,212.661198,-11.777945,275.032348,'\'(5.4-6]\''
23.654964,255.14494,-8.665104,-238.572678,86.60254,254.438264,-10.392305,351.242583,'\'(5.4-6]\''
3.742962,261.721537,-10.407893,-242.764241,29.444864,261.072018,-12.124356,304.75434,'\'(4.8-5.4]\''
9.947341,135.435981,-9.711436,-116.774865,43.30127,134.701591,-11.431535,191.339653,'\'(5.4-6]\''
4.611932,211.84367,-10.751359,-192.673332,53.693575,210.981109,-12.470766,277.803629,'\'(5.4-6]\''
3.851042,208.00891,-9.018096,-191.149127,50.229473,206.962751,-10.738715,268.866247,'\'(4.8-5.4]\''
13.216067,215.259274,-9.369875,-192.101755,46.765372,214.341287,-11.085125,278.236642,'\'(6.6-7.2]\''
4.021822,301.673021,-9.886546,-283.675281,140.296115,300.874546,-11.60474,453.641427,'\'(4.8-5.4]\''
5.893476,166.893488,-9.885507,-146.635421,51.961524,165.705301,-11.60474,231.401988,'\'(7.8-8.4]\''
19.721477,182.454232,-11.091707,-164.804634,36.373067,181.761412,-12.817176,229.687258,'\'(4.8-5.4]\''
15.979208,423.462174,-9.014285,-406.148594,83.138439,422.481833,-10.738715,516.445589,'\'(5.4-6]\''
10.090582,413.598144,-10.053169,-395.600404,87.468566,412.453259,-11.777945,511.786373,'\'(4.8-5.4]\''
10.524634,348.736306,-8.666489,-329.591948,53.693575,347.39743,-10.392305,413.232682,'\'(4.8-5.4]\''
4.250626,125.597932,-13.173805,-108.097291,15.588457,124.655697,-14.895637,151.3466,'\'(5.4-6]\''
5.893476,166.893488,-9.885507,-146.635421,51.961524,165.705301,-11.60474,231.401988,'\'(7.8-8.4]\''
19.721477,182.454232,-11.091707,-164.804634,36.373067,181.761412,-12.817176,229.687258,'\'(4.8-5.4]\''
4.762793,151.386437,-10.583177,-128.050516,53.693575,150.6711,-12.297561,221.044324,'\'(6.6-7.2]\''
4.557372,120.173149,-10.407547,-97.601063,34.641016,118.97457,-12.124356,169.7583,'\'(6.6-7.2]\''
17.486958,179.0317,-11.09188,-161.323212,45.033321,177.9509,-12.817176,234.762166,'\'(4.8-5.4]\''
11.561266,182.454232,-9.881523,-165.636019,36.373067,181.70945,-11.60474,229.09836,'\'(4.8-5.4]\''
4.68156,198.082527,-10.058192,-177.760374,58.889727,196.657049,-11.777945,269.212657,'\'(5.4-6]\''
30.031163,288.195934,-10.568108,-270.546336,88.334591,287.070101,-12.297561,386.57642,'\'(5.4-6]\''
12.634618,284.511862,-10.574863,-266.008363,81.406388,283.675281,-12.297561,377.881525,'\'(4.8-5.4]\''
16.448594,359.135539,-10.917809,-341.283291,72.746134,358.257389,-12.643971,442.348456,'\'(5.4-6]\''
23.222298,269.602368,-10.570013,-252.61961,93.530744,268.745003,-12.297561,372.425565,'\'(4.8-5.4]\''
23.239792,264.421804,-10.56984,-247.406137,90.066642,263.548851,-12.297561,363.765311,'\'(5.4-6]\''
21.871298,271.367328,-10.743218,-254.368982,95.262794,270.529016,-12.470766,375.855025,'\'(5.4-6]\''
25.300413,350.497801,-10.050744,-332.241986,119.511506,349.579814,-11.777945,481.042471,'\'(5.4-6]\''
23.222298,269.602368,-10.570013,-252.61961,93.530744,268.745003,-12.297561,372.425565,'\'(4.8-5.4]\''
23.239792,264.421804,-10.56984,-247.406137,90.066642,263.548851,-12.297561,363.765311,'\'(5.4-6]\''
21.871298,271.367328,-10.743218,-254.368982,95.262794,270.529016,-12.470766,375.855025,'\'(5.4-6]\''
15.459766,421.717999,-8.840907,-404.485825,112.583302,420.819064,-10.56551,544.123761,'\'(4.8-5.4]\''
5.230793,236.191108,-10.23642,-213.042249,81.406388,235.437666,-11.951151,333.558345,'\'(6.6-7.2]\''
5.403825,236.189376,-10.236593,-213.024929,83.138439,235.420346,-11.951151,335.255754,'\'(6.6-7.2]\''
5.216244,256.967058,-11.272879,-235.662833,88.334591,256.135673,-12.990381,359.331261,'\'(6.6-7.2]\''
23.706406,416.270699,-10.570879,-399.029865,107.38715,415.467027,-12.297561,534.19911,'\'(5.4-6]\''
30.411175,285.27916,-8.663891,-267.94826,45.033321,284.333461,-10.392305,339.481958,'\'(5.4-6]\''
4.418981,139.246493,-13.178655,-118.195147,25.980762,138.564065,-14.895637,179.63965,'\'(6.6-7.2]\''
20.707707,144.622778,-15.249668,-125.746889,6.928203,144.037345,-16.974098,163.800045,'\'(3.6-4.2]\''
30.411175,285.27916,-8.663891,-267.94826,45.033321,284.333461,-10.392305,339.481958,'\'(5.4-6]\''
25.751265,333.298537,-11.089455,-316.02999,90.066642,332.432511,-12.817176,433.61892,'\'(4.8-5.4]\''
18.907413,281.240018,-10.572092,-263.600812,110.851252,280.436346,-12.297561,402.043633,'\'(4.8-5.4]\''
23.100362,284.558627,-8.66545,-267.099555,95.262794,283.796525,-10.392305,390.179085,'\'(4.8-5.4]\''
35.160631,295.243649,-11.25833,-278.063437,76.210236,294.344714,-12.990381,381.596774,'\'(4.8-5.4]\''
25.751265,333.298537,-11.089455,-316.02999,90.066642,332.432511,-12.817176,433.61892,'\'(4.8-5.4]\''
27.223335,189.436129,-10.916423,-172.252453,58.889727,188.741577,-12.643971,258.300737,'\'(5.4-6]\''
18.907413,281.240018,-10.572092,-263.600812,110.851252,280.436346,-12.297561,402.043633,'\'(4.8-5.4]\''
30.915375,296.856188,-10.567242,-279.397116,103.923048,295.764996,-12.297561,410.79049,'\'(5.4-6]\''
30.915375,296.856188,-10.567242,-279.397116,103.923048,295.764996,-12.297561,410.79049,'\'(5.4-6]\''
4.456047,324.46681,-10.231744,-305.014147,64.08588,323.339245,-11.951151,400.727275,'\'(4.8-5.4]\''
17.382689,283.401617,-9.533381,-266.406735,110.851252,282.584089,-11.25833,403.706402,'\'(5.4-6]\''
35.004747,442.559766,-10.738715,-425.357037,77.942286,441.569033,-12.470766,530.232714,'\'(4.8-5.4]\''
25.631234,338.712928,-10.741833,-321.000976,117.779455,337.801869,-12.470766,466.787693,'\'(4.8-5.4]\''
18.250273,260.481389,-9.878232,-243.162613,50.229473,259.513172,-11.60474,320.931694,'\'(4.8-5.4]\''
18.250273,260.481389,-9.878232,-243.162613,50.229473,259.513172,-11.60474,320.931694,'\'(4.8-5.4]\''
4.319735,178.513816,-7.804621,-160.90752,13.856406,177.708413,-9.526279,203.611233,'\'(3.6-4.2]\''
7.848615,248.169972,-8.67515,-227.348989,43.30127,247.336855,-10.392305,305.360557,'\'(5.4-6]\''
5.353942,147.977761,-10.40772,-126.058658,27.712813,147.189678,-12.124356,190.092576,'\'(5.4-6]\''
25.631234,338.712928,-10.741833,-321.000976,117.779455,337.801869,-12.470766,466.787693,'\'(4.8-5.4]\''
25.596593,340.417266,-10.915038,-322.681065,98.726896,339.447317,-12.643971,449.432544,'\'(4.8-5.4]\''
11.662591,150.837377,-8.49848,-132.138156,36.373067,149.874356,-10.2191,199.77474,'\'(4.8-5.4]\''
23.414556,239.670798,-11.780717,-222.845657,72.746134,238.64196,-13.509996,322.213412,'\'(4.8-5.4]\''
14.125221,227.537783,-11.093439,-209.508866,53.693575,226.846694,-12.817176,291.971805,'\'(4.8-5.4]\''
10.868965,253.464851,-10.227414,-236.494217,24.248711,252.740854,-11.951151,287.520434,'\'(5.4-6]\''
5.304925,274.63744,-9.365545,-256.066391,69.282032,273.854553,-11.085125,354.585441,'\'(5.4-6]\''
4.245603,248.351837,-9.887932,-227.799322,109.119201,247.475419,-11.60474,370.520309,'\'(5.4-6]\''
14.244386,218.693931,-11.095517,-199.324407,50.229473,217.909312,-12.817176,281.891269,'\'(4.8-5.4]\''
15.442619,352.226388,-9.533554,-333.870114,83.138439,351.225263,-11.25833,445.985762,'\'(6.6-7.2]\''
7.538578,311.083253,-8.846623,-290.170472,81.406388,310.019774,-10.56551,405.126684,'\'(6.6-7.2]\''
7.365373,319.746971,-8.846623,-298.830726,79.674337,318.680028,-10.56551,412.037567,'\'(5.4-6]\''
20.168,99.19455,-8.151031,-79.726299,12.124356,98.51905,-9.87269,123.789671,'\'(4.8-5.4]\''
15.442619,352.226388,-9.533554,-333.870114,83.138439,351.225263,-11.25833,445.985762,'\'(6.6-7.2]\''
25.111099,418.182883,-9.529917,-400.848518,102.190998,417.129796,-11.25833,530.345297,'\'(4.8-5.4]\''
29.56299,326.153827,-9.702602,-308.807338,79.674337,325.20986,-11.431535,416.038604,'\'(4.8-5.4]\''
16.135959,352.046255,-10.05265,-335.290395,95.262794,351.086699,-11.777945,457.226772,'\'(4.8-5.4]\''
29.458547,310.636384,-9.876327,-292.439458,76.210236,309.604082,-11.60474,397.696186,'\'(4.8-5.4]\''
4.489476,210.317733,-12.484622,-190.387025,62.353829,209.612789,-14.202817,285.459294,'\'(5.4-6]\''
21.074728,269.706292,-10.56984,-252.636931,84.87049,268.866247,-12.297561,363.574785,'\'(4.8-5.4]\''
5.63211,166.961038,-10.060271,-146.635421,51.961524,165.965108,-11.777945,231.81768,'\'(6.6-7.2]\''
5.68511,137.557743,-12.310898,-115.493148,31.176915,136.606847,-14.029612,183.337578,'\'(5.4-6]\''
6.118816,134.034752,-9.192513,-114.956212,34.641016,133.212028,-10.91192,180.497015,'\'(4.8-5.4]\''
21.074728,269.706292,-10.56984,-252.636931,84.87049,268.866247,-12.297561,363.574785,'\'(4.8-5.4]\''
4.489476,186.089807,-11.965007,-165.68798,65.817931,185.086949,-13.683201,264.657363,'\'(5.4-6]\''
9.88083,172.245525,-12.999561,-153.75415,41.569219,171.265184,-14.722432,224.698951,'\'(5.4-6]\''
5.87529,151.445326,-12.311244,-130.354144,32.908965,150.445933,-14.029612,197.938766,'\'(5.4-6]\''
4.261711,198.163933,-9.196324,-177.898938,64.08588,197.419151,-10.91192,275.664546,'\'(5.4-6]\''
4.610373,291.5284,-7.981637,-272.849964,91.798693,290.811331,-9.699485,394.872943,'\'(5.4-6]\''
10.972715,168.351874,-9.361561,-151.796933,25.980762,167.627877,-11.085125,204.754386,'\'(3.6-4.2]\''
10.256685,139.194531,-9.194245,-116.774865,32.908965,138.131052,-10.91192,186.992205,'\'(6.6-7.2]\''
9.342682,201.53104,-10.229492,-183.978437,39.837169,200.77933,-11.951151,252.290521,'\'(5.4-6]\''
16.235205,264.00438,-11.962582,-242.798882,79.674337,263.375646,-13.683201,357.841697,'\'(6.6-7.2]\''
20.19017,234.718865,-11.437078,-215.934774,100.458947,233.878821,-13.163586,346.306238,'\'(5.4-6]\''
9.342682,201.53104,-10.229492,-183.978437,39.837169,200.77933,-11.951151,252.290521,'\'(5.4-6]\''
4.506623,168.802208,-10.752745,-149.216177,71.014083,167.939646,-12.470766,251.909469,'\'(4.8-5.4]\''
15.409363,132.413552,-12.476655,-113.380046,20.78461,130.873759,-14.202817,164.31966,'\'(5.4-6]\''
26.704586,343.787837,-11.088762,-326.803346,83.138439,342.94606,-12.817176,436.909816,'\'(5.4-6]\''
26.704586,343.787837,-11.088762,-326.803346,83.138439,342.94606,-12.817176,436.909816,'\'(5.4-6]\''
4.728152,215.252346,-8.851126,-192.569409,65.817931,214.462531,-10.56551,296.92547,'\'(6.6-7.2]\''
4.207844,206.245682,-7.292973,-184.584655,74.478185,205.611751,-9.006664,296.492457,'\'(7.8-8.4]\''
4.207844,206.245682,-7.292973,-184.584655,74.478185,205.611751,-9.006664,296.492457,'\'(7.8-8.4]\''
4.728152,215.252346,-8.851126,-192.569409,65.817931,214.462531,-10.56551,296.92547,'\'(6.6-7.2]\''
27.813272,276.46129,-9.356538,-258.941596,46.765372,275.673207,-11.085125,333.142652,'\'(4.8-5.4]\''
10.553732,147.828804,-9.191647,-128.18908,24.248711,147.068434,-10.91192,184.77518,'\'(4.8-5.4]\''
26.704586,343.787837,-11.088762,-326.803346,83.138439,342.94606,-12.817176,436.909816,'\'(5.4-6]\''
25.022938,355.763236,-9.877886,-337.749907,110.851252,354.810608,-11.60474,477.335882,'\'(4.8-5.4]\''
24.8674,307.284866,-10.397155,-288.75019,124.707658,306.347826,-12.124356,443.17984,'\'(4.8-5.4]\''
17.593133,342.093891,-12.821679,-323.564411,67.549981,340.988842,-14.549227,420.420693,'\'(5.4-6]\''
6.182729,170.111638,-9.890703,-147.155037,43.30127,169.290646,-11.60474,230.328116,'\'(6.6-7.2]\''
17.765299,262.17187,-11.263873,-244.496292,34.641016,261.1413,-12.990381,307.456339,'\'(4.8-5.4]\''
19.616861,191.415863,-15.249322,-172.702786,8.660254,190.854678,-16.974098,212.262826,'\'(4.8-5.4]\''
5.110589,231.273816,-10.581791,-207.430405,50.229473,230.224193,-12.297561,297.704893,'\'(5.4-6]\''
5.095174,167.134243,-11.965527,-146.548819,29.444864,166.380801,-13.683201,209.682071,'\'(5.4-6]\''
3.741576,173.910025,-11.448509,-152.784202,6.928203,173.17044,-13.163586,195.461934,'\'(3.6-4.2]\''
10.343461,225.977205,-9.194072,-204.676444,53.693575,225.33981,-10.91192,293.357445,'\'(6.6-7.2]\''
32.924554,300.27006,-11.260062,-280.869359,57.157677,299.073213,-12.990381,369.585001,'\'(4.8-5.4]\''
15.402608,262.301774,-10.231744,-241.326639,86.60254,261.764839,-11.951151,362.899285,'\'(5.4-6]\''
11.363985,113.473577,-10.754303,-90.049321,32.908965,112.687226,-12.470766,162.62225,'\'(3.6-4.2]\''
24.590272,295.061783,-8.491899,-277.49186,98.726896,294.292753,-10.2191,404.174056,'\'(4.8-5.4]\''
3.919804,187.286654,-8.672205,-171.386427,15.588457,186.576513,-10.392305,213.492583,'\'(3.6-4.2]\''
11.803926,305.480069,-9.361735,-287.72828,71.014083,304.217404,-11.085125,386.697663,'\'(5.4-6]\''
11.786779,300.264864,-9.361561,-282.393564,72.746134,299.038572,-11.085125,383.545331,'\'(5.4-6]\''
4.059234,317.316904,-10.576595,-300.285649,105.655099,316.480324,-12.297561,433.792125,'\'(4.8-5.4]\''
40.531721,290.028444,-10.044163,-273.317617,83.138439,289.07928,-11.777945,382.869831,'\'(4.8-5.4]\''
26.669945,393.954956,-10.222737,-375.543256,110.851252,392.863764,-11.951151,515.614205,'\'(5.4-6]\''
23.308208,392.487909,-10.051091,-374.244218,110.851252,391.322239,-11.777945,513.622346,'\'(4.8-5.4]\''
23.308554,399.416112,-10.050744,-381.172421,114.315353,398.250442,-11.777945,524.066613,'\'(4.8-5.4]\''
18.715502,288.299857,-9.880657,-269.31658,84.87049,287.174024,-11.60474,384.54992,'\'(5.4-6]\''
9.391872,206.578236,-8.500213,-186.195462,72.746134,205.646392,-10.2191,292.976394,'\'(4.8-5.4]\''
8.90378,189.458646,-10.062176,-165.809224,45.033321,188.412487,-11.777945,251.095406,'\'(7.8-8.4]\''
16.932875,364.29705,-9.532861,-347.38011,93.530744,363.280336,-11.25833,467.809603,'\'(3.6-4.2]\''
16.932875,366.037761,-9.706066,-349.09484,95.262794,364.995067,-11.431535,471.273704,'\'(5.4-6]\''
40.531721,290.028444,-10.044163,-273.317617,83.138439,289.07928,-11.777945,382.869831,'\'(4.8-5.4]\''
16.199525,213.74373,-10.058365,-192.656011,48.497423,213.024929,-11.777945,276.539232,'\'(5.4-6]\''
11.144361,217.190511,-9.70953,-199.151202,58.889727,216.367787,-11.431535,286.463883,'\'(4.8-5.4]\''
8.71949,314.609709,-9.36312,-297.029393,129.903811,313.553158,-11.085125,454.43817,'\'(4.8-5.4]\''
8.563606,312.889782,-9.36312,-295.331983,131.635861,311.873068,-11.085125,454.455491,'\'(5.4-6]\''
8.71949,318.068614,-9.36312,-300.545456,129.903811,317.069221,-11.085125,457.919593,'\'(4.8-5.4]\''
15.650984,371.164632,-10.05265,-354.429557,93.530744,370.260501,-11.777945,474.633883,'\'(4.8-5.4]\''
24.834144,353.840659,-10.568974,-337.247613,90.066642,352.905352,-12.297561,453.831953,'\'(4.8-5.4]\''
15.650984,371.164632,-10.05265,-354.429557,93.530744,370.260501,-11.777945,474.633883,'\'(4.8-5.4]\''
30.065631,340.017162,-10.048666,-322.50786,95.262794,339.066266,-11.777945,445.864519,'\'(4.8-5.4]\''
24.834144,353.840659,-10.568974,-337.247613,90.066642,352.905352,-12.297561,453.831953,'\'(4.8-5.4]\''
25.144701,409.404849,-10.223776,-391.270277,91.798693,408.452221,-11.951151,512.583116,'\'(4.8-5.4]\''
26.387621,232.742595,-10.054728,-210.392212,67.549981,231.765719,-11.777945,315.112003,'\'(5.4-6]\''
6.308822,198.151809,-8.327007,-178.920848,62.353829,197.193984,-10.045895,272.278387,'\'(3.6-4.2]\''
22.685016,265.942545,-9.357924,-249.016945,77.942286,265.125017,-11.085125,353.095878,'\'(4.8-5.4]\''
16.655054,218.8706,-10.399579,-201.714637,65.817931,218.203761,-12.124356,294.708445,'\'(4.8-5.4]\''
13.989428,216.383375,-15.94041,-196.743651,34.641016,215.415159,-17.666918,262.14589,'\'(3.6-4.2]\''
6.034119,133.939489,-10.056633,-114.419276,25.980762,132.588489,-11.777945,172.252453,'\'(4.8-5.4]\''
3.815708,295.068711,-8.845583,-276.660475,39.837169,293.651894,-10.56551,345.855905,'\'(5.4-6]\''
18.955564,118.267893,-7.977826,-99.004024,20.78461,117.62357,-9.699485,151.441862,'\'(4.8-5.4]\''
4.800898,192.981637,-10.060098,-171.836761,60.621778,191.893909,-11.777945,266.839747,'\'(6.6-7.2]\''
16.655054,218.8706,-10.399579,-201.714637,65.817931,218.203761,-12.124356,294.708445,'\'(4.8-5.4]\''
11.404515,211.900828,-9.882389,-193.868447,53.693575,211.171634,-11.60474,276.071578,'\'(5.4-6]\''
4.574693,182.350309,-9.021906,-161.877468,60.621778,181.536245,-10.738715,256.430122,'\'(6.6-7.2]\''
18.075855,263.763625,-8.320599,-246.332266,95.262794,263.029236,-10.045895,369.53304,'\'(4.8-5.4]\''
14.469379,284.742225,-11.268896,-264.432197,77.942286,284.108294,-12.990381,376.270717,'\'(4.8-5.4]\''
18.075855,263.763625,-8.320599,-246.332266,95.262794,263.029236,-10.045895,369.53304,'\'(4.8-5.4]\''
32.456727,289.744387,-8.142544,-272.209105,103.923048,288.906075,-9.87269,404.208697,'\'(4.8-5.4]\''
14.469206,279.546072,-11.269069,-259.253365,74.478185,278.929462,-12.990381,367.523861,'\'(4.8-5.4]\''
14.469379,284.742225,-11.268896,-264.432197,77.942286,284.108294,-12.990381,376.270717,'\'(4.8-5.4]\''
18.545241,298.397713,-10.743738,-281.198449,57.157677,297.323842,-12.470766,366.82238,'\'(5.4-6]\''
4.574693,182.350309,-9.021906,-161.877468,60.621778,181.536245,-10.738715,256.430122,'\'(6.6-7.2]\''
3.626222,250.00941,-9.537365,-232.978154,57.157677,249.259432,-11.25833,316.740131,'\'(5.4-6]\''
5.218496,242.947839,-9.192167,-223.538477,53.693575,241.932857,-10.91192,309.179729,'\'(5.4-6]\''
33.27235,251.937182,-10.565856,-235.403025,67.549981,251.182008,-12.297561,328.431474,'\'(4.8-5.4]\''
6.43249,347.047556,-9.363813,-328.743243,71.014083,346.098392,-11.085125,428.457408,'\'(5.4-6]\''
20.121061,471.74309,-10.570879,-454.455491,114.315353,470.771409,-12.297561,596.137247,'\'(5.4-6]\''
6.43249,347.047556,-9.363813,-328.743243,71.014083,346.098392,-11.085125,428.457408,'\'(5.4-6]\''
33.27235,251.937182,-10.565856,-235.403025,67.549981,251.182008,-12.297561,328.431474,'\'(4.8-5.4]\''
18.666658,246.197166,-10.050744,-229.739219,45.033321,245.293035,-11.777945,301.671289,'\'(3.6-4.2]\''
15.930711,336.781691,-12.648128,-318.506823,65.817931,335.827331,-14.376022,413.1634,'\'(5.4-6]\''
15.91339,361.009618,-12.474923,-342.928739,84.87049,360.058722,-14.202817,456.326106,'\'(5.4-6]\''
