@relation 'winequality-white_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.5-A12-M-1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R4-precision6'

@attribute '-0.512density+0.437alcohol-0.427residual sugar-0.407total sulfur dioxide-0.3free sulfur dioxide-0.212chlorides-0.157fixed acidity-0.144citric acid+0.129pH-0.043sulphates-0.005volatile acidity' numeric
@attribute '0.588fixed acidity-0.581pH+0.345citric acid-0.29free sulfur dioxide-0.244total sulfur dioxide-0.223sulphates-0.052volatile acidity+0.036alcohol+0.009chlorides-0.009residual sugar-0.006density' numeric
@attribute '-0.591volatile acidity+0.504citric acid+0.433sulphates+0.279free sulfur dioxide-0.214residual sugar-0.129density+0.127pH+0.124total sulfur dioxide+0.121fixed acidity+0.106alcohol-0.102chlorides' numeric
@attribute quality {'\'(-inf-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-6]\'','\'(6-6.6]\'','\'(6.6-7.2]\'','\'(7.2-7.8]\'','\'(7.8-8.4]\'','\'(8.4-inf)\''}

@data
-3.105242,-1.512134,-0.152964,'\'(4.8-5.4]\''
-2.370399,-1.11434,-0.279579,'\'(4.8-5.4]\''
-1.787458,-1.191314,-0.052375,'\'(4.8-5.4]\''
-2.126511,-1.021952,-0.080062,'\'(4.8-5.4]\''
0.843248,1.725225,0.647775,'\'(5.4-6]\''
-2.433448,0.891416,0.481454,'\'(4.8-5.4]\''
1.413882,0.480669,0.929553,'\'(6.6-7.2]\''
1.892773,1.483966,0.546416,'\'(5.4-6]\''
1.546446,-0.085071,-0.5953,'\'(4.8-5.4]\''
-2.433448,0.891416,0.481454,'\'(4.8-5.4]\''
0.933847,0.921873,1.349047,'\'(5.4-6]\''
0.027429,1.744097,0.83224,'\'(5.4-6]\''
1.424216,1.861141,0.99593,'\'(5.4-6]\''
1.384691,0.783841,0.061458,'\'(5.4-6]\''
0.515498,-1.587077,0.524432,'\'(5.4-6]\''
0.527494,-0.972908,-3.702344,'\'(3.6-4.2]\''
2.272092,-0.684286,-0.035754,'\'(6.6-7.2]\''
0.059646,1.239728,-0.857829,'\'(5.4-6]\''
-0.210444,1.247648,0.253211,'\'(6.6-7.2]\''
-1.77355,0.836291,0.926022,'\'(5.4-6]\''
0.059646,1.239728,-0.857829,'\'(5.4-6]\''
0.858717,0.922007,1.013313,'\'(4.8-5.4]\''
-0.414763,1.686164,1.163643,'\'(5.4-6]\''
-3.297825,1.309741,-0.194526,'\'(5.4-6]\''
-3.297825,1.309741,-0.194526,'\'(5.4-6]\''
2.353859,-0.966679,-0.326215,'\'(6.6-7.2]\''
2.777263,-2.383732,-2.212546,'\'(7.8-8.4]\''
2.777263,-2.383732,-2.212546,'\'(7.8-8.4]\''
2.353859,-0.966679,-0.326215,'\'(6.6-7.2]\''
-2.330168,1.298463,-0.05385,'\'(4.8-5.4]\''
1.417775,-0.005675,-1.41474,'\'(4.8-5.4]\''
-3.297825,1.309741,-0.194526,'\'(5.4-6]\''
-2.643992,-0.833474,0.42171,'\'(4.8-5.4]\''
-2.501192,-0.57689,0.601798,'\'(4.8-5.4]\''
-2.260567,0.993103,1.034534,'\'(5.4-6]\''
2.646842,0.352587,-1.70355,'\'(6.6-7.2]\''
-1.264821,0.840279,-0.56753,'\'(4.8-5.4]\''
-0.781502,4.660186,-1.618238,'\'(4.8-5.4]\''
1.467508,0.908935,0.893913,'\'(5.4-6]\''
1.379067,2.10549,0.650344,'\'(5.4-6]\''
2.156795,2.116197,-1.546017,'\'(3.6-4.2]\''
1.308849,-0.238999,0.389896,'\'(6.6-7.2]\''
-2.488384,0.273317,-0.152872,'\'(4.8-5.4]\''
0.05639,0.675067,0.055521,'\'(5.4-6]\''
2.042041,2.139387,-0.174516,'\'(3.6-4.2]\''
-1.915378,-1.494736,-0.39661,'\'(4.8-5.4]\''
1.008815,-0.388115,-4.601972,'\'(3.6-4.2]\''
-1.017931,-1.070878,0.835431,'\'(5.4-6]\''
-0.963288,-1.099009,0.265398,'\'(5.4-6]\''
-0.79803,-0.611571,-0.760554,'\'(4.8-5.4]\''
-3.964613,0.648935,-0.757006,'\'(4.8-5.4]\''
-3.151842,-0.965446,0.80792,'\'(5.4-6]\''
-3.176878,-0.055232,1.706289,'\'(4.8-5.4]\''
-3.286191,-0.128163,1.566319,'\'(4.8-5.4]\''
-1.320157,-0.26411,1.010364,'\'(5.4-6]\''
1.042369,-0.830682,-0.398316,'\'(4.8-5.4]\''
2.150101,-0.157193,-0.79167,'\'(7.8-8.4]\''
-2.122692,-0.906953,0.00988,'\'(3.6-4.2]\''
-2.220871,-0.87764,0.058153,'\'(5.4-6]\''
-3.964613,0.648935,-0.757006,'\'(4.8-5.4]\''
0.553984,1.154334,-0.60687,'\'(5.4-6]\''
0.035963,-0.541677,0.482976,'\'(4.8-5.4]\''
-3.057356,-0.113959,-0.094577,'\'(4.8-5.4]\''
-3.032714,-0.063899,-0.155669,'\'(5.4-6]\''
-3.04451,-0.029613,-0.196942,'\'(4.8-5.4]\''
-2.079933,-0.838879,-0.206426,'\'(4.8-5.4]\''
-2.828734,-0.50959,-0.831697,'\'(4.8-5.4]\''
-2.079933,-0.838879,-0.206426,'\'(4.8-5.4]\''
-2.865552,-0.845006,-0.488881,'\'(4.8-5.4]\''
-2.828734,-0.50959,-0.831697,'\'(4.8-5.4]\''
-2.744616,-1.114399,-1.49013,'\'(4.8-5.4]\''
-0.053446,-0.65081,0.270543,'\'(5.4-6]\''
0.914198,-0.93081,0.141715,'\'(3.6-4.2]\''
-1.984304,0.139299,0.481558,'\'(4.8-5.4]\''
-0.781412,0.309721,-0.154271,'\'(4.8-5.4]\''
-1.757786,4.849293,1.244565,'\'(3.6-4.2]\''
1.347599,-0.613903,-1.168834,'\'(4.8-5.4]\''
0.254932,-1.314215,0.23595,'\'(5.4-6]\''
1.435806,-0.482749,-1.467367,'\'(4.8-5.4]\''
1.422829,-0.367266,1.56718,'\'(6.6-7.2]\''
-0.781412,0.309721,-0.154271,'\'(4.8-5.4]\''
0.270088,-0.745919,0.235717,'\'(5.4-6]\''
1.927899,-0.792568,-0.020328,'\'(6.6-7.2]\''
-0.992935,-1.704761,-0.684575,'\'(4.8-5.4]\''
-0.403361,1.144966,-0.189255,'\'(4.8-5.4]\''
-0.992935,-1.704761,-0.684575,'\'(4.8-5.4]\''
-2.408239,-2.093439,-0.934077,'\'(4.8-5.4]\''
-0.307881,1.19809,-0.021621,'\'(4.8-5.4]\''
-0.403361,1.144966,-0.189255,'\'(4.8-5.4]\''
-1.926688,0.087997,-3.221208,'\'(5.4-6]\''
1.927899,-0.792568,-0.020328,'\'(6.6-7.2]\''
0.402396,-1.021051,0.263789,'\'(5.4-6]\''
0.978691,-1.626642,-1.301162,'\'(5.4-6]\''
-2.707826,-0.091012,-0.501639,'\'(4.8-5.4]\''
-0.256821,-1.987959,1.182,'\'(5.4-6]\''
-3.152005,-1.190739,0.747594,'\'(5.4-6]\''
-0.256821,-1.987959,1.182,'\'(5.4-6]\''
-2.707826,-0.091012,-0.501639,'\'(4.8-5.4]\''
-0.961973,-1.504979,-3.783293,'\'(3.6-4.2]\''
-1.814049,0.165878,0.612507,'\'(5.4-6]\''
-2.152942,-0.083535,0.812367,'\'(5.4-6]\''
-3.04687,0.155087,0.049035,'\'(5.4-6]\''
-3.04687,0.155087,0.049035,'\'(5.4-6]\''
-3.04687,0.155087,0.049035,'\'(5.4-6]\''
-3.04687,0.155087,0.049035,'\'(5.4-6]\''
-2.464054,-1.376404,-1.323566,'\'(5.4-6]\''
1.016806,0.464007,1.440177,'\'(6.6-7.2]\''
-1.34988,-2.259396,-0.305325,'\'(5.4-6]\''
-2.809015,-0.638889,-0.99994,'\'(4.8-5.4]\''
0.476093,1.040383,-0.744179,'\'(4.8-5.4]\''
1.989051,1.132368,0.319582,'\'(6.6-7.2]\''
-1.098911,-1.581941,1.497899,'\'(5.4-6]\''
-2.047687,0.687175,-0.328641,'\'(4.8-5.4]\''
0.382767,-2.032882,2.304883,'\'(5.4-6]\''
2.123055,-0.086854,1.014747,'\'(6.6-7.2]\''
2.681932,-0.090202,-0.498453,'\'(6.6-7.2]\''
2.747073,-0.26703,-0.470545,'\'(6.6-7.2]\''
0.261996,-1.430431,-2.279636,'\'(4.8-5.4]\''
-0.551153,-3.68377,1.430397,'\'(3.6-4.2]\''
-3.000472,0.960079,-0.791331,'\'(-inf-3.6]\''
-2.047687,0.687175,-0.328641,'\'(4.8-5.4]\''
2.497128,-0.887495,0.409753,'\'(-inf-3.6]\''
-0.036282,-0.861327,0.622467,'\'(5.4-6]\''
0.054901,-0.855849,1.149289,'\'(7.8-8.4]\''
1.680924,0.037881,-1.26844,'\'(6.6-7.2]\''
1.680924,0.037881,-1.26844,'\'(6.6-7.2]\''
2.002376,-0.28711,0.828617,'\'(5.4-6]\''
2.932851,0.248145,-1.142195,'\'(3.6-4.2]\''
0.370292,-0.054196,0.807277,'\'(5.4-6]\''
-3.08128,1.051117,-0.935614,'\'(4.8-5.4]\''
0.498901,1.179352,-0.885978,'\'(4.8-5.4]\''
-3.255025,-0.459364,0.781412,'\'(5.4-6]\''
1.021415,0.044864,0.334975,'\'(5.4-6]\''
-3.08128,1.051117,-0.935614,'\'(4.8-5.4]\''
-1.338037,-0.704827,-0.686178,'\'(5.4-6]\''
0.240193,-2.796849,-2.747448,'\'(4.8-5.4]\''
0.234555,-2.776599,-2.805926,'\'(5.4-6]\''
0.177041,-2.754382,-2.778288,'\'(5.4-6]\''
-1.338037,-0.704827,-0.686178,'\'(5.4-6]\''
0.264147,-2.828966,-2.880713,'\'(4.8-5.4]\''
-1.421001,-1.363914,-1.005506,'\'(4.8-5.4]\''
-0.287847,-0.274672,-2.620212,'\'(4.8-5.4]\''
-2.935424,-0.015585,1.437453,'\'(4.8-5.4]\''
-1.382379,-0.358006,1.180115,'\'(5.4-6]\''
-1.356395,-0.279875,1.149539,'\'(5.4-6]\''
1.666386,2.828635,-0.012598,'\'(4.8-5.4]\''
1.798841,1.316791,-0.65181,'\'(3.6-4.2]\''
1.740345,0.45,1.310717,'\'(6.6-7.2]\''
2.32136,0.850829,0.201715,'\'(7.8-8.4]\''
1.473076,-0.299661,1.561005,'\'(7.8-8.4]\''
-0.851291,-0.454118,0.126492,'\'(3.6-4.2]\''
-2.761683,-0.899325,-0.810749,'\'(4.8-5.4]\''
-3.028972,-0.468735,-1.26212,'\'(4.8-5.4]\''
-1.805511,0.01399,-0.70307,'\'(4.8-5.4]\''
-2.469888,-1.030434,-0.226997,'\'(5.4-6]\''
-3.034307,0.643153,0.050083,'\'(6.6-7.2]\''
-3.034307,0.643153,0.050083,'\'(6.6-7.2]\''
-3.034307,0.643153,0.050083,'\'(6.6-7.2]\''
-3.034307,0.643153,0.050083,'\'(6.6-7.2]\''
0.046133,-2.286815,1.043789,'\'(5.4-6]\''
-4.084159,0.903908,-0.539625,'\'(4.8-5.4]\''
-0.168547,-2.020552,-0.047365,'\'(6.6-7.2]\''
-1.788066,1.311753,-1.775238,'\'(-inf-3.6]\''
0.13231,-1.60342,-0.072713,'\'(5.4-6]\''
-2.431105,2.030714,0.926403,'\'(4.8-5.4]\''
-0.890139,-0.62935,2.647055,'\'(6.6-7.2]\''
-1.94552,0.374482,1.130854,'\'(5.4-6]\''
0.730531,0.885456,1.186203,'\'(5.4-6]\''
1.799706,-1.90077,-1.400602,'\'(5.4-6]\''
1.498763,2.312714,-0.006101,'\'(5.4-6]\''
1.799706,-1.90077,-1.400602,'\'(5.4-6]\''
1.036796,-1.595409,-0.293689,'\'(5.4-6]\''
-0.784277,-0.17018,-1.389145,'\'(5.4-6]\''
-0.784277,-0.17018,-1.389145,'\'(5.4-6]\''
-0.767377,-0.232633,-1.541999,'\'(4.8-5.4]\''
-0.830858,-0.181909,-1.326514,'\'(5.4-6]\''
0.774733,-0.460711,-0.864149,'\'(6.6-7.2]\''
0.541681,-0.680427,-0.683372,'\'(5.4-6]\''
2.232331,-1.409028,0.145598,'\'(6.6-7.2]\''
1.666274,-3.428669,-1.985347,'\'(7.8-8.4]\''
-0.388993,0.200892,0.697067,'\'(5.4-6]\''
-0.294935,-2.310787,-0.230998,'\'(5.4-6]\''
-0.311645,-2.199074,-0.155963,'\'(4.8-5.4]\''
-1.166677,1.150237,0.619667,'\'(5.4-6]\''
0.673199,0.173205,-0.045706,'\'(5.4-6]\''
0.164451,0.113859,-0.176005,'\'(4.8-5.4]\''
1.164968,-1.118485,0.197137,'\'(6.6-7.2]\''
1.897845,-1.41398,0.644626,'\'(5.4-6]\''
2.298202,-1.858774,1.075953,'\'(6.6-7.2]\''
0.164451,0.113859,-0.176005,'\'(4.8-5.4]\''
0.673199,0.173205,-0.045706,'\'(5.4-6]\''
-0.312408,0.622638,-0.191132,'\'(5.4-6]\''
-0.020873,2.026984,0.361904,'\'(4.8-5.4]\''
-3.659165,-2.411752,2.443196,'\'(4.8-5.4]\''
-2.786893,1.08568,0.529721,'\'(5.4-6]\''
-0.10106,-1.038555,-0.235726,'\'(5.4-6]\''
-2.503349,-1.096161,-0.037253,'\'(5.4-6]\''
1.207008,0.874304,0.971486,'\'(4.8-5.4]\''
2.025292,-0.872485,0.621207,'\'(7.8-8.4]\''
0.597547,0.140939,0.094252,'\'(4.8-5.4]\''
2.606898,0.011818,-0.146837,'\'(5.4-6]\''
-0.55247,0.255919,-0.627511,'\'(4.8-5.4]\''
1.986032,-0.35913,-1.10404,'\'(4.8-5.4]\''
2.606898,0.011818,-0.146837,'\'(5.4-6]\''
2.195991,-0.175387,0.041929,'\'(5.4-6]\''
-1.736776,-1.700362,-0.63061,'\'(5.4-6]\''
1.009702,-1.154436,0.413982,'\'(4.8-5.4]\''
0.212421,-1.962247,2.599531,'\'(6.6-7.2]\''
-1.281418,0.575353,0.783921,'\'(6.6-7.2]\''
0.247091,1.106358,0.491846,'\'(5.4-6]\''
-1.073615,0.037428,-0.112567,'\'(5.4-6]\''
0.040656,-1.779623,1.578898,'\'(4.8-5.4]\''
0.045045,-1.772853,1.686559,'\'(5.4-6]\''
-0.054788,0.108981,0.445175,'\'(5.4-6]\''
2.994068,-1.578808,-1.264075,'\'(6.6-7.2]\''
-3.308402,-0.64012,0.511514,'\'(5.4-6]\''
-1.74013,1.232812,0.677734,'\'(5.4-6]\''
-1.824871,0.719341,1.038603,'\'(4.8-5.4]\''
0.918586,-1.239887,2.567562,'\'(6.6-7.2]\''
0.71097,1.549905,-0.650151,'\'(6.6-7.2]\''
0.523849,-0.728272,-0.763091,'\'(5.4-6]\''
0.71097,1.549905,-0.650151,'\'(6.6-7.2]\''
-1.079287,-1.634791,0.226503,'\'(5.4-6]\''
-3.08002,1.227341,-0.458068,'\'(5.4-6]\''
-3.08002,1.227341,-0.458068,'\'(5.4-6]\''
0.176577,-0.996877,0.541714,'\'(5.4-6]\''
-0.281381,3.457575,0.675057,'\'(5.4-6]\''
-0.074726,-0.430064,0.966272,'\'(5.4-6]\''
-1.693083,-1.194464,0.079323,'\'(5.4-6]\''
0.652989,0.307314,-1.852872,'\'(4.8-5.4]\''
0.033947,-0.725399,0.392703,'\'(5.4-6]\''
-3.08002,1.227341,-0.458068,'\'(5.4-6]\''
1.915429,-0.27802,0.921692,'\'(6.6-7.2]\''
2.162237,-1.562326,1.241631,'\'(6.6-7.2]\''
0.710991,-2.21252,1.12674,'\'(5.4-6]\''
0.151559,-0.144431,-0.778852,'\'(5.4-6]\''
-0.293275,0.549169,1.547594,'\'(5.4-6]\''
0.665378,1.178719,-1.834734,'\'(4.8-5.4]\''
0.151559,-0.144431,-0.778852,'\'(5.4-6]\''
-0.293275,0.549169,1.547594,'\'(5.4-6]\''
0.359603,-1.698868,-3.818795,'\'(4.8-5.4]\''
-0.157664,0.36216,-0.159603,'\'(5.4-6]\''
3.654416,-1.951506,-0.942185,'\'(6.6-7.2]\''
3.654416,-1.951506,-0.942185,'\'(6.6-7.2]\''
1.669776,-0.518882,-0.4002,'\'(6.6-7.2]\''
0.936341,1.330495,0.70575,'\'(6.6-7.2]\''
0.482236,-0.554764,0.78286,'\'(5.4-6]\''
1.669776,-0.518882,-0.4002,'\'(6.6-7.2]\''
0.936341,1.330495,0.70575,'\'(6.6-7.2]\''
-2.32475,-0.202809,-0.441522,'\'(5.4-6]\''
-1.426172,0.446684,-0.954277,'\'(5.4-6]\''
-0.157664,0.36216,-0.159603,'\'(5.4-6]\''
1.936435,-0.656123,-0.457287,'\'(6.6-7.2]\''
3.654416,-1.951506,-0.942185,'\'(6.6-7.2]\''
2.084073,-1.176779,1.392533,'\'(6.6-7.2]\''
-2.103513,-1.985498,1.059836,'\'(4.8-5.4]\''
-0.055674,-0.756762,0.199835,'\'(5.4-6]\''
-2.724956,-0.712703,0.479809,'\'(6.6-7.2]\''
-2.724956,-0.712703,0.479809,'\'(6.6-7.2]\''
2.136093,0.875716,-0.950118,'\'(4.8-5.4]\''
0.374438,-1.48227,-2.882023,'\'(5.4-6]\''
2.518097,1.597333,1.029242,'\'(5.4-6]\''
-2.54905,-0.157322,-0.012359,'\'(4.8-5.4]\''
-0.258512,-1.514263,0.05916,'\'(4.8-5.4]\''
1.372042,2.137271,0.299357,'\'(4.8-5.4]\''
1.772537,-1.00359,1.247433,'\'(5.4-6]\''
-2.480579,-1.881924,-0.823563,'\'(4.8-5.4]\''
2.10199,0.11501,0.837367,'\'(5.4-6]\''
1.772537,-1.00359,1.247433,'\'(5.4-6]\''
-2.54905,-0.157322,-0.012359,'\'(4.8-5.4]\''
0.836689,-1.152823,-1.772343,'\'(4.8-5.4]\''
-4.24254,-0.649652,-0.108219,'\'(4.8-5.4]\''
0.993653,-0.689956,1.306824,'\'(5.4-6]\''
-0.258512,-1.514263,0.05916,'\'(4.8-5.4]\''
2.607538,-1.0811,0.172498,'\'(6.6-7.2]\''
0.743296,0.122424,-1.827974,'\'(4.8-5.4]\''
1.19346,-0.216994,1.254387,'\'(5.4-6]\''
1.372042,2.137271,0.299357,'\'(4.8-5.4]\''
-3.110634,1.00241,-0.530217,'\'(5.4-6]\''
-1.675591,-0.736507,0.953667,'\'(5.4-6]\''
1.322915,0.906073,0.964082,'\'(4.8-5.4]\''
1.322915,0.906073,0.964082,'\'(4.8-5.4]\''
-3.110634,1.00241,-0.530217,'\'(5.4-6]\''
-1.675591,-0.736507,0.953667,'\'(5.4-6]\''
1.020874,0.893762,-0.408467,'\'(5.4-6]\''
-1.969744,-0.807224,-0.232472,'\'(4.8-5.4]\''
1.020874,0.893762,-0.408467,'\'(5.4-6]\''
