@relation winequality-white-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-P25.0-R42-DSparse1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R3-precision6

@attribute K1 numeric
@attribute K2 numeric
@attribute quality {'\'(-inf-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-6]\'','\'(6-6.6]\'','\'(6.6-7.2]\'','\'(7.2-7.8]\'','\'(7.8-8.4]\'','\'(8.4-inf)\''}

@data
10.524634,348.736306,'\'(4.8-5.4]\''
4.250626,125.597932,'\'(5.4-6]\''
5.893476,166.893488,'\'(7.8-8.4]\''
19.721477,182.454232,'\'(4.8-5.4]\''
4.762793,151.386437,'\'(6.6-7.2]\''
4.557372,120.173149,'\'(6.6-7.2]\''
17.486958,179.0317,'\'(4.8-5.4]\''
11.561266,182.454232,'\'(4.8-5.4]\''
4.68156,198.082527,'\'(5.4-6]\''
30.031163,288.195934,'\'(5.4-6]\''
12.634618,284.511862,'\'(4.8-5.4]\''
16.448594,359.135539,'\'(5.4-6]\''
23.222298,269.602368,'\'(4.8-5.4]\''
23.239792,264.421804,'\'(5.4-6]\''
21.871298,271.367328,'\'(5.4-6]\''
25.300413,350.497801,'\'(5.4-6]\''
23.222298,269.602368,'\'(4.8-5.4]\''
23.239792,264.421804,'\'(5.4-6]\''
21.871298,271.367328,'\'(5.4-6]\''
15.459766,421.717999,'\'(4.8-5.4]\''
5.230793,236.191108,'\'(6.6-7.2]\''
5.403825,236.189376,'\'(6.6-7.2]\''
5.216244,256.967058,'\'(6.6-7.2]\''
23.706406,416.270699,'\'(5.4-6]\''
30.411175,285.27916,'\'(5.4-6]\''
4.418981,139.246493,'\'(6.6-7.2]\''
20.707707,144.622778,'\'(3.6-4.2]\''
30.411175,285.27916,'\'(5.4-6]\''
25.751265,333.298537,'\'(4.8-5.4]\''
18.907413,281.240018,'\'(4.8-5.4]\''
23.100362,284.558627,'\'(4.8-5.4]\''
35.160631,295.243649,'\'(4.8-5.4]\''
25.751265,333.298537,'\'(4.8-5.4]\''
27.223335,189.436129,'\'(5.4-6]\''
18.907413,281.240018,'\'(4.8-5.4]\''
30.915375,296.856188,'\'(5.4-6]\''
30.915375,296.856188,'\'(5.4-6]\''
4.456047,324.46681,'\'(4.8-5.4]\''
17.382689,283.401617,'\'(5.4-6]\''
35.004747,442.559766,'\'(4.8-5.4]\''
25.631234,338.712928,'\'(4.8-5.4]\''
18.250273,260.481389,'\'(4.8-5.4]\''
18.250273,260.481389,'\'(4.8-5.4]\''
4.319735,178.513816,'\'(3.6-4.2]\''
7.848615,248.169972,'\'(5.4-6]\''
5.353942,147.977761,'\'(5.4-6]\''
25.631234,338.712928,'\'(4.8-5.4]\''
25.596593,340.417266,'\'(4.8-5.4]\''
11.662591,150.837377,'\'(4.8-5.4]\''
23.414556,239.670798,'\'(4.8-5.4]\''
14.125221,227.537783,'\'(4.8-5.4]\''
10.868965,253.464851,'\'(5.4-6]\''
5.304925,274.63744,'\'(5.4-6]\''
4.245603,248.351837,'\'(5.4-6]\''
14.244386,218.693931,'\'(4.8-5.4]\''
15.442619,352.226388,'\'(6.6-7.2]\''
7.538578,311.083253,'\'(6.6-7.2]\''
7.365373,319.746971,'\'(5.4-6]\''
20.168,99.19455,'\'(4.8-5.4]\''
15.442619,352.226388,'\'(6.6-7.2]\''
25.111099,418.182883,'\'(4.8-5.4]\''
29.56299,326.153827,'\'(4.8-5.4]\''
16.135959,352.046255,'\'(4.8-5.4]\''
29.458547,310.636384,'\'(4.8-5.4]\''
4.489476,210.317733,'\'(5.4-6]\''
21.074728,269.706292,'\'(4.8-5.4]\''
5.63211,166.961038,'\'(6.6-7.2]\''
5.68511,137.557743,'\'(5.4-6]\''
6.118816,134.034752,'\'(4.8-5.4]\''
21.074728,269.706292,'\'(4.8-5.4]\''
4.489476,186.089807,'\'(5.4-6]\''
9.88083,172.245525,'\'(5.4-6]\''
5.87529,151.445326,'\'(5.4-6]\''
4.261711,198.163933,'\'(5.4-6]\''
4.610373,291.5284,'\'(5.4-6]\''
10.972715,168.351874,'\'(3.6-4.2]\''
10.256685,139.194531,'\'(6.6-7.2]\''
9.342682,201.53104,'\'(5.4-6]\''
16.235205,264.00438,'\'(6.6-7.2]\''
20.19017,234.718865,'\'(5.4-6]\''
9.342682,201.53104,'\'(5.4-6]\''
4.506623,168.802208,'\'(4.8-5.4]\''
15.409363,132.413552,'\'(5.4-6]\''
26.704586,343.787837,'\'(5.4-6]\''
26.704586,343.787837,'\'(5.4-6]\''
4.728152,215.252346,'\'(6.6-7.2]\''
4.207844,206.245682,'\'(7.8-8.4]\''
4.207844,206.245682,'\'(7.8-8.4]\''
4.728152,215.252346,'\'(6.6-7.2]\''
27.813272,276.46129,'\'(4.8-5.4]\''
10.553732,147.828804,'\'(4.8-5.4]\''
26.704586,343.787837,'\'(5.4-6]\''
25.022938,355.763236,'\'(4.8-5.4]\''
24.8674,307.284866,'\'(4.8-5.4]\''
17.593133,342.093891,'\'(5.4-6]\''
6.182729,170.111638,'\'(6.6-7.2]\''
17.765299,262.17187,'\'(4.8-5.4]\''
19.616861,191.415863,'\'(4.8-5.4]\''
5.110589,231.273816,'\'(5.4-6]\''
5.095174,167.134243,'\'(5.4-6]\''
3.741576,173.910025,'\'(3.6-4.2]\''
10.343461,225.977205,'\'(6.6-7.2]\''
32.924554,300.27006,'\'(4.8-5.4]\''
15.402608,262.301774,'\'(5.4-6]\''
11.363985,113.473577,'\'(3.6-4.2]\''
24.590272,295.061783,'\'(4.8-5.4]\''
3.919804,187.286654,'\'(3.6-4.2]\''
11.803926,305.480069,'\'(5.4-6]\''
11.786779,300.264864,'\'(5.4-6]\''
4.059234,317.316904,'\'(4.8-5.4]\''
40.531721,290.028444,'\'(4.8-5.4]\''
26.669945,393.954956,'\'(5.4-6]\''
23.308208,392.487909,'\'(4.8-5.4]\''
23.308554,399.416112,'\'(4.8-5.4]\''
18.715502,288.299857,'\'(5.4-6]\''
9.391872,206.578236,'\'(4.8-5.4]\''
8.90378,189.458646,'\'(7.8-8.4]\''
16.932875,364.29705,'\'(3.6-4.2]\''
16.932875,366.037761,'\'(5.4-6]\''
40.531721,290.028444,'\'(4.8-5.4]\''
16.199525,213.74373,'\'(5.4-6]\''
11.144361,217.190511,'\'(4.8-5.4]\''
8.71949,314.609709,'\'(4.8-5.4]\''
8.563606,312.889782,'\'(5.4-6]\''
8.71949,318.068614,'\'(4.8-5.4]\''
15.650984,371.164632,'\'(4.8-5.4]\''
24.834144,353.840659,'\'(4.8-5.4]\''
15.650984,371.164632,'\'(4.8-5.4]\''
30.065631,340.017162,'\'(4.8-5.4]\''
24.834144,353.840659,'\'(4.8-5.4]\''
25.144701,409.404849,'\'(4.8-5.4]\''
26.387621,232.742595,'\'(5.4-6]\''
6.308822,198.151809,'\'(3.6-4.2]\''
22.685016,265.942545,'\'(4.8-5.4]\''
16.655054,218.8706,'\'(4.8-5.4]\''
13.989428,216.383375,'\'(3.6-4.2]\''
6.034119,133.939489,'\'(4.8-5.4]\''
3.815708,295.068711,'\'(5.4-6]\''
18.955564,118.267893,'\'(4.8-5.4]\''
4.800898,192.981637,'\'(6.6-7.2]\''
16.655054,218.8706,'\'(4.8-5.4]\''
11.404515,211.900828,'\'(5.4-6]\''
4.574693,182.350309,'\'(6.6-7.2]\''
18.075855,263.763625,'\'(4.8-5.4]\''
14.469379,284.742225,'\'(4.8-5.4]\''
18.075855,263.763625,'\'(4.8-5.4]\''
32.456727,289.744387,'\'(4.8-5.4]\''
14.469206,279.546072,'\'(4.8-5.4]\''
14.469379,284.742225,'\'(4.8-5.4]\''
18.545241,298.397713,'\'(5.4-6]\''
4.574693,182.350309,'\'(6.6-7.2]\''
3.626222,250.00941,'\'(5.4-6]\''
5.218496,242.947839,'\'(5.4-6]\''
33.27235,251.937182,'\'(4.8-5.4]\''
6.43249,347.047556,'\'(5.4-6]\''
20.121061,471.74309,'\'(5.4-6]\''
6.43249,347.047556,'\'(5.4-6]\''
33.27235,251.937182,'\'(4.8-5.4]\''
18.666658,246.197166,'\'(3.6-4.2]\''
15.930711,336.781691,'\'(5.4-6]\''
15.91339,361.009618,'\'(5.4-6]\''
27.154919,336.776495,'\'(5.4-6]\''
27.154919,336.776495,'\'(5.4-6]\''
27.154919,336.776495,'\'(5.4-6]\''
27.154919,336.776495,'\'(5.4-6]\''
25.144528,383.413695,'\'(5.4-6]\''
5.164629,208.932093,'\'(6.6-7.2]\''
29.026054,275.827359,'\'(5.4-6]\''
25.85692,341.698983,'\'(4.8-5.4]\''
15.682681,156.388599,'\'(4.8-5.4]\''
6.513031,173.890973,'\'(6.6-7.2]\''
6.986054,379.123405,'\'(5.4-6]\''
22.096638,246.995641,'\'(4.8-5.4]\''
5.806354,432.836033,'\'(5.4-6]\''
5.819691,241.274677,'\'(6.6-7.2]\''
4.608121,133.889259,'\'(6.6-7.2]\''
4.590801,132.138156,'\'(6.6-7.2]\''
19.980938,206.420619,'\'(4.8-5.4]\''
10.178223,345.254884,'\'(3.6-4.2]\''
30.15154,341.705912,'\'(-inf-3.6]\''
22.096638,246.995641,'\'(4.8-5.4]\''
8.541262,189.60587,'\'(-inf-3.6]\''
4.993849,274.433058,'\'(5.4-6]\''
4.301548,255.356251,'\'(7.8-8.4]\''
12.111712,168.589165,'\'(6.6-7.2]\''
12.111712,168.589165,'\'(6.6-7.2]\''
5.51,205.112921,'\'(5.4-6]\''
3.932448,130.626076,'\'(3.6-4.2]\''
11.680777,187.750843,'\'(5.4-6]\''
36.112567,270.967224,'\'(4.8-5.4]\''
16.617988,165.300001,'\'(4.8-5.4]\''
25.976778,400.874499,'\'(5.4-6]\''
4.401488,289.924521,'\'(5.4-6]\''
36.112567,270.967224,'\'(4.8-5.4]\''
16.552344,312.311277,'\'(5.4-6]\''
13.794745,258.271292,'\'(4.8-5.4]\''
14.141329,251.344821,'\'(5.4-6]\''
13.967951,254.810655,'\'(5.4-6]\''
16.552344,312.311277,'\'(5.4-6]\''
13.967951,254.808923,'\'(4.8-5.4]\''
24.8674,256.882187,'\'(4.8-5.4]\''
11.076292,213.660591,'\'(4.8-5.4]\''
21.194413,406.314871,'\'(4.8-5.4]\''
17.849476,293.506402,'\'(5.4-6]\''
18.195887,288.306785,'\'(5.4-6]\''
4.315405,104.688615,'\'(4.8-5.4]\''
4.385379,116.712512,'\'(3.6-4.2]\''
10.706845,182.776394,'\'(6.6-7.2]\''
7.188011,194.672118,'\'(7.8-8.4]\''
11.381133,198.525932,'\'(7.8-8.4]\''
11.19563,348.864478,'\'(3.6-4.2]\''
29.268541,340.095104,'\'(4.8-5.4]\''
28.819247,343.457015,'\'(4.8-5.4]\''
14.629074,312.299153,'\'(4.8-5.4]\''
29.493015,329.753029,'\'(5.4-6]\''
26.999035,333.329714,'\'(6.6-7.2]\''
26.999035,333.329714,'\'(6.6-7.2]\''
26.999035,333.329714,'\'(6.6-7.2]\''
26.999035,333.329714,'\'(6.6-7.2]\''
12.305355,269.075825,'\'(5.4-6]\''
36.754118,338.591684,'\'(4.8-5.4]\''
14.749625,272.384042,'\'(6.6-7.2]\''
5.155969,316.005742,'\'(-inf-3.6]\''
4.266734,303.656219,'\'(5.4-6]\''
21.300068,294.006964,'\'(4.8-5.4]\''
9.098809,324.761258,'\'(6.6-7.2]\''
22.061131,253.721195,'\'(5.4-6]\''
6.222046,212.250702,'\'(5.4-6]\''
4.488436,150.797539,'\'(5.4-6]\''
3.883258,128.86458,'\'(5.4-6]\''
4.488436,150.797539,'\'(5.4-6]\''
4.332552,291.443529,'\'(5.4-6]\''
13.916855,282.838701,'\'(5.4-6]\''
13.916855,282.838701,'\'(5.4-6]\''
13.743823,282.840433,'\'(4.8-5.4]\''
13.743823,288.036585,'\'(5.4-6]\''
10.67411,232.624816,'\'(6.6-7.2]\''
10.483757,256.857939,'\'(5.4-6]\''
5.822635,173.733356,'\'(6.6-7.2]\''
16.336357,284.354245,'\'(7.8-8.4]\''
8.842812,258.858457,'\'(5.4-6]\''
13.690303,287.949983,'\'(5.4-6]\''
13.517098,289.685498,'\'(4.8-5.4]\''
4.665106,221.238314,'\'(5.4-6]\''
10.448943,232.737399,'\'(5.4-6]\''
15.664321,234.48677,'\'(4.8-5.4]\''
16.131109,231.228783,'\'(6.6-7.2]\''
7.8694,120.0138,'\'(5.4-6]\''
4.040355,113.070009,'\'(6.6-7.2]\''
15.664321,234.48677,'\'(4.8-5.4]\''
10.448943,232.737399,'\'(5.4-6]\''
18.592873,238.106757,'\'(5.4-6]\''
6.067374,359.497537,'\'(4.8-5.4]\''
12.305528,542.767565,'\'(4.8-5.4]\''
28.678604,374.902397,'\'(5.4-6]\''
13.032643,248.149187,'\'(5.4-6]\''
29.008041,338.428871,'\'(5.4-6]\''
4.680001,147.996813,'\'(4.8-5.4]\''
10.63687,175.595311,'\'(7.8-8.4]\''
10.275738,234.471182,'\'(4.8-5.4]\''
5.353076,158.193396,'\'(5.4-6]\''
19.460284,231.017473,'\'(4.8-5.4]\''
12.041737,139.068091,'\'(4.8-5.4]\''
5.353076,158.193396,'\'(5.4-6]\''
4.886115,182.499265,'\'(5.4-6]\''
23.49908,294.994233,'\'(5.4-6]\''
4.667011,241.529289,'\'(4.8-5.4]\''
4.924913,244.910252,'\'(6.6-7.2]\''
15.980594,265.826498,'\'(6.6-7.2]\''
4.944659,224.139499,'\'(5.4-6]\''
19.253823,243.290785,'\'(5.4-6]\''
7.730316,250.321179,'\'(4.8-5.4]\''
7.730143,252.051498,'\'(5.4-6]\''
10.261015,227.556835,'\'(5.4-6]\''
4.140641,118.006354,'\'(6.6-7.2]\''
29.461318,269.275011,'\'(5.4-6]\''
26.081221,205.268805,'\'(5.4-6]\''
21.905247,238.163914,'\'(4.8-5.4]\''
5.978,253.579166,'\'(6.6-7.2]\''
14.275563,239.78165,'\'(6.6-7.2]\''
6.568629,222.345094,'\'(5.4-6]\''
14.275563,239.78165,'\'(6.6-7.2]\''
10.069624,425.161316,'\'(5.4-6]\''
27.137426,331.571682,'\'(5.4-6]\''
27.137426,331.571682,'\'(5.4-6]\''
4.196239,293.374766,'\'(5.4-6]\''
4.822029,264.033825,'\'(5.4-6]\''
10.450329,279.518359,'\'(5.4-6]\''
28.088322,281.227893,'\'(5.4-6]\''
4.04278,145.830018,'\'(4.8-5.4]\''
11.421489,220.57667,'\'(5.4-6]\''
27.137426,331.571682,'\'(5.4-6]\''
6.395251,177.426089,'\'(6.6-7.2]\''
8.333243,196.324495,'\'(6.6-7.2]\''
4.784444,248.305072,'\'(5.4-6]\''
3.815188,256.799049,'\'(5.4-6]\''
6.535201,309.221299,'\'(5.4-6]\''
23.978685,125.390086,'\'(4.8-5.4]\''
3.815188,256.799049,'\'(5.4-6]\''
6.535201,309.221299,'\'(5.4-6]\''
3.43535,353.750593,'\'(4.8-5.4]\''
6.345541,258.626362,'\'(5.4-6]\''
4.86585,154.580338,'\'(6.6-7.2]\''
4.86585,154.580338,'\'(6.6-7.2]\''
4.801072,206.663106,'\'(6.6-7.2]\''
4.905861,170.581024,'\'(6.6-7.2]\''
7.088764,269.418771,'\'(5.4-6]\''
4.801072,206.663106,'\'(6.6-7.2]\''
4.905861,170.581024,'\'(6.6-7.2]\''
23.828689,310.567102,'\'(5.4-6]\''
18.839343,272.505286,'\'(5.4-6]\''
6.345541,258.626362,'\'(5.4-6]\''
7.934525,217.228616,'\'(6.6-7.2]\''
4.86585,154.580338,'\'(6.6-7.2]\''
5.283794,200.200825,'\'(6.6-7.2]\''
12.547149,451.00871,'\'(4.8-5.4]\''
11.630721,243.122776,'\'(5.4-6]\''
28.194843,314.214801,'\'(6.6-7.2]\''
28.194843,314.214801,'\'(6.6-7.2]\''
4.177014,114.923303,'\'(4.8-5.4]\''
18.958509,216.819852,'\'(5.4-6]\''
5.923614,120.292661,'\'(5.4-6]\''
23.049439,283.283838,'\'(4.8-5.4]\''
4.177707,291.261664,'\'(4.8-5.4]\''
5.562828,161.86188,'\'(4.8-5.4]\''
5.008571,186.086343,'\'(5.4-6]\''
33.721817,291.535328,'\'(4.8-5.4]\''
7.466525,144.543104,'\'(5.4-6]\''
5.008571,186.086343,'\'(5.4-6]\''
23.049439,283.283838,'\'(4.8-5.4]\''
4.266734,187.302242,'\'(4.8-5.4]\''
33.792311,437.093414,'\'(4.8-5.4]\''
13.166704,295.046195,'\'(5.4-6]\''
4.177707,291.261664,'\'(4.8-5.4]\''
9.231138,172.115621,'\'(6.6-7.2]\''
4.214426,217.006914,'\'(4.8-5.4]\''
4.472155,201.669604,'\'(5.4-6]\''
5.562828,161.86188,'\'(4.8-5.4]\''
35.22974,269.209193,'\'(5.4-6]\''
24.34917,243.179933,'\'(5.4-6]\''
4.471809,147.962172,'\'(4.8-5.4]\''
4.471809,147.962172,'\'(4.8-5.4]\''
35.22974,269.209193,'\'(5.4-6]\''
24.34917,243.179933,'\'(5.4-6]\''
4.265522,172.011698,'\'(5.4-6]\''
15.442792,364.193127,'\'(4.8-5.4]\''
4.265522,172.011698,'\'(5.4-6]\''
4.976009,237.862537,'\'(5.4-6]\''
6.927857,236.147807,'\'(6.6-7.2]\''
17.2779,385.078196,'\'(5.4-6]\''
17.104695,383.346145,'\'(5.4-6]\''
17.104695,383.346145,'\'(5.4-6]\''
16.758284,281.331817,'\'(6.6-7.2]\''
17.2779,385.078196,'\'(5.4-6]\''
17.104695,383.346145,'\'(5.4-6]\''
25.629849,336.975681,'\'(4.8-5.4]\''
4.26708,154.70851,'\'(4.8-5.4]\''
26.098195,342.125068,'\'(4.8-5.4]\''
25.629849,336.975681,'\'(4.8-5.4]\''
3.797868,145.748611,'\'(4.8-5.4]\''
6.293233,371.325712,'\'(6.6-7.2]\''
4.475273,261.882618,'\'(3.6-4.2]\''
14.63964,180.80532,'\'(7.8-8.4]\''
13.097768,168.696553,'\'(6.6-7.2]\''
6.605176,379.080104,'\'(4.8-5.4]\''
4.694897,322.776328,'\'(7.8-8.4]\''
6.293233,371.325712,'\'(6.6-7.2]\''
3.868362,187.234692,'\'(4.8-5.4]\''
5.129122,177.358539,'\'(6.6-7.2]\''
13.499258,237.694528,'\'(5.4-6]\''
6.00987,218.768409,'\'(7.8-8.4]\''
23.620843,425.197689,'\'(5.4-6]\''
38.377916,241.432294,'\'(5.4-6]\''
21.327954,114.935427,'\'(-inf-3.6]\''
6.688141,270.76111,'\'(4.8-5.4]\''
26.393337,196.220572,'\'(5.4-6]\''
26.393337,196.220572,'\'(5.4-6]\''
4.993329,220.562814,'\'(6.6-7.2]\''
19.220741,301.844494,'\'(4.8-5.4]\''
4.229841,222.201334,'\'(4.8-5.4]\''
6.639124,277.443362,'\'(6.6-7.2]\''
4.957822,196.269069,'\'(6.6-7.2]\''
4.993329,220.562814,'\'(6.6-7.2]\''
26.393337,196.220572,'\'(5.4-6]\''
4.848357,142.603207,'\'(6.6-7.2]\''
17.08772,192.822288,'\'(4.8-5.4]\''
4.005194,379.099156,'\'(5.4-6]\''
18.094908,431.98906,'\'(4.8-5.4]\''
17.08772,192.822288,'\'(4.8-5.4]\''
28.5584,296.764389,'\'(4.8-5.4]\''
23.533894,281.002727,'\'(4.8-5.4]\''
5.894515,118.219396,'\'(5.4-6]\''
21.854324,309.460322,'\'(4.8-5.4]\''
20.050567,219.383287,'\'(4.8-5.4]\''
17.867143,244.84097,'\'(5.4-6]\''
5.894515,118.219396,'\'(5.4-6]\''
21.854324,309.460322,'\'(4.8-5.4]\''
34.085374,316.23264,'\'(4.8-5.4]\''
23.985959,274.944013,'\'(5.4-6]\''
8.199009,347.061413,'\'(4.8-5.4]\''
5.681127,149.498501,'\'(5.4-6]\''
10.573131,229.226532,'\'(6.6-7.2]\''
9.896592,177.102195,'\'(5.4-6]\''
21.661893,394.109109,'\'(4.8-5.4]\''
4.242312,182.537371,'\'(6.6-7.2]\''
4.802457,199.734903,'\'(5.4-6]\''
4.891311,286.13999,'\'(5.4-6]\''
5.235643,284.698923,'\'(5.4-6]\''
17.729965,298.576114,'\'(4.8-5.4]\''
4.679482,180.924831,'\'(5.4-6]\''
25.179169,237.782863,'\'(4.8-5.4]\''
17.729965,298.576114,'\'(4.8-5.4]\''
13.675234,347.529066,'\'(4.8-5.4]\''
4.976182,203.356621,'\'(5.4-6]\''
4.958515,203.334105,'\'(5.4-6]\''
4.454142,156.430169,'\'(5.4-6]\''
4.994542,312.349382,'\'(5.4-6]\''
15.425991,307.191335,'\'(5.4-6]\''
4.070146,121.927717,'\'(5.4-6]\''
5.161165,113.314228,'\'(6.6-7.2]\''
17.590708,315.75113,'\'(5.4-6]\''
5.318608,274.187107,'\'(5.4-6]\''
10.520477,179.128695,'\'(5.4-6]\''
14.066504,299.913258,'\'(5.4-6]\''
21.507914,328.502488,'\'(3.6-4.2]\''
5.040961,255.210758,'\'(5.4-6]\''
4.039142,302.03502,'\'(4.8-5.4]\''
21.507914,328.502488,'\'(3.6-4.2]\''
31.590875,347.423411,'\'(5.4-6]\''
27.327432,285.12674,'\'(5.4-6]\''
6.137868,364.316103,'\'(5.4-6]\''
6.120548,364.29705,'\'(4.8-5.4]\''
23.396542,243.115848,'\'(5.4-6]\''
23.396542,243.115848,'\'(5.4-6]\''
7.888452,234.433077,'\'(4.8-5.4]\''
5.479862,294.999429,'\'(6.6-7.2]\''
8.263095,263.824247,'\'(5.4-6]\''
5.479862,294.999429,'\'(6.6-7.2]\''
4.17788,239.301872,'\'(5.4-6]\''
5.440025,289.931449,'\'(5.4-6]\''
11.350302,244.911984,'\'(5.4-6]\''
4.713776,95.877672,'\'(5.4-6]\''
17.86645,199.802453,'\'(6.6-7.2]\''
5.980079,289.791153,'\'(5.4-6]\''
5.132759,267.471946,'\'(4.8-5.4]\''
5.390142,267.541228,'\'(5.4-6]\''
5.493719,135.67154,'\'(5.4-6]\''
24.134742,71.686119,'\'(4.8-5.4]\''
5.809645,248.201149,'\'(4.8-5.4]\''
5.809645,248.201149,'\'(4.8-5.4]\''
4.65939,175.69577,'\'(5.4-6]\''
5.213127,166.888291,'\'(5.4-6]\''
4.087986,125.414335,'\'(4.8-5.4]\''
8.111887,243.360067,'\'(5.4-6]\''
11.172767,51.095499,'\'(3.6-4.2]\''
5.213127,201.357835,'\'(5.4-6]\''
4.51996,180.221619,'\'(5.4-6]\''
10.326833,194.855716,'\'(5.4-6]\''
10.816138,179.090589,'\'(5.4-6]\''
9.482112,260.961167,'\'(4.8-5.4]\''
25.214503,309.044629,'\'(5.4-6]\''
25.214503,309.044629,'\'(5.4-6]\''
25.214503,309.044629,'\'(5.4-6]\''
29.113522,297.14544,'\'(4.8-5.4]\''
29.113522,297.14544,'\'(4.8-5.4]\''
25.214503,309.044629,'\'(5.4-6]\''
4.835886,106.252657,'\'(4.8-5.4]\''
10.02078,365.970211,'\'(5.4-6]\''
19.408149,303.715109,'\'(3.6-4.2]\''
20.867055,333.766191,'\'(4.8-5.4]\''
4.229668,289.936645,'\'(5.4-6]\''
17.50272,257.116014,'\'(5.4-6]\''
26.099061,280.968086,'\'(5.4-6]\''
4.526368,258.525904,'\'(5.4-6]\''
14.611234,298.395981,'\'(5.4-6]\''
5.736899,151.505948,'\'(5.4-6]\''
5.201002,220.583599,'\'(6.6-7.2]\''
20.867055,333.766191,'\'(4.8-5.4]\''
26.167131,291.954484,'\'(6.6-7.2]\''
4.38486,161.714656,'\'(6.6-7.2]\''
5.075082,205.01939,'\'(6.6-7.2]\''
26.167131,291.954484,'\'(6.6-7.2]\''
5.075082,205.01939,'\'(6.6-7.2]\''
4.38486,161.714656,'\'(6.6-7.2]\''
24.089709,278.43756,'\'(4.8-5.4]\''
4.9069,237.791523,'\'(5.4-6]\''
