@relation winequality-white-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-P50.0-R42-DSparse1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R6-precision6

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute quality {'\'(-inf-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-6]\'','\'(6-6.6]\'','\'(6.6-7.2]\'','\'(7.2-7.8]\'','\'(7.8-8.4]\'','\'(8.4-inf)\''}

@data
10.989862,260.529886,-10.22776,-242.002139,55.425626,'\'(4.8-5.4]\''
5.025892,300.289113,-10.753091,-278.617693,53.693575,'\'(5.4-6]\''
4.124706,215.394374,-9.71438,-194.717152,67.549981,'\'(6.6-7.2]\''
4.193295,142.69847,-9.022253,-122.352069,36.373067,'\'(6.6-7.2]\''
4.054904,187.745647,-9.36849,-167.575916,67.549981,'\'(5.4-6]\''
4.300682,229.907228,-10.058019,-212.210865,65.817931,'\'(5.4-6]\''
4.574,331.495472,-10.235035,-310.868479,50.229473,'\'(5.4-6]\''
22.925771,369.590197,-10.745297,-351.433109,64.08588,'\'(5.4-6]\''
23.654964,255.14494,-8.665104,-238.572678,86.60254,'\'(5.4-6]\''
9.947341,135.435981,-9.711436,-116.774865,43.30127,'\'(5.4-6]\''
4.421233,192.946996,-11.097942,-174.521439,76.210236,'\'(5.4-6]\''
10.626305,213.61729,-10.054382,-197.349869,51.961524,'\'(5.4-6]\''
23.654964,255.14494,-8.665104,-238.572678,86.60254,'\'(5.4-6]\''
3.742962,261.721537,-10.407893,-242.764241,29.444864,'\'(4.8-5.4]\''
9.947341,135.435981,-9.711436,-116.774865,43.30127,'\'(5.4-6]\''
4.611932,211.84367,-10.751359,-192.673332,53.693575,'\'(5.4-6]\''
3.851042,208.00891,-9.018096,-191.149127,50.229473,'\'(4.8-5.4]\''
13.216067,215.259274,-9.369875,-192.101755,46.765372,'\'(6.6-7.2]\''
4.021822,301.673021,-9.886546,-283.675281,140.296115,'\'(4.8-5.4]\''
5.893476,166.893488,-9.885507,-146.635421,51.961524,'\'(7.8-8.4]\''
19.721477,182.454232,-11.091707,-164.804634,36.373067,'\'(4.8-5.4]\''
15.979208,423.462174,-9.014285,-406.148594,83.138439,'\'(5.4-6]\''
10.090582,413.598144,-10.053169,-395.600404,87.468566,'\'(4.8-5.4]\''
10.524634,348.736306,-8.666489,-329.591948,53.693575,'\'(4.8-5.4]\''
4.250626,125.597932,-13.173805,-108.097291,15.588457,'\'(5.4-6]\''
5.893476,166.893488,-9.885507,-146.635421,51.961524,'\'(7.8-8.4]\''
19.721477,182.454232,-11.091707,-164.804634,36.373067,'\'(4.8-5.4]\''
4.762793,151.386437,-10.583177,-128.050516,53.693575,'\'(6.6-7.2]\''
4.557372,120.173149,-10.407547,-97.601063,34.641016,'\'(6.6-7.2]\''
17.486958,179.0317,-11.09188,-161.323212,45.033321,'\'(4.8-5.4]\''
11.561266,182.454232,-9.881523,-165.636019,36.373067,'\'(4.8-5.4]\''
4.68156,198.082527,-10.058192,-177.760374,58.889727,'\'(5.4-6]\''
30.031163,288.195934,-10.568108,-270.546336,88.334591,'\'(5.4-6]\''
12.634618,284.511862,-10.574863,-266.008363,81.406388,'\'(4.8-5.4]\''
16.448594,359.135539,-10.917809,-341.283291,72.746134,'\'(5.4-6]\''
23.222298,269.602368,-10.570013,-252.61961,93.530744,'\'(4.8-5.4]\''
23.239792,264.421804,-10.56984,-247.406137,90.066642,'\'(5.4-6]\''
21.871298,271.367328,-10.743218,-254.368982,95.262794,'\'(5.4-6]\''
25.300413,350.497801,-10.050744,-332.241986,119.511506,'\'(5.4-6]\''
23.222298,269.602368,-10.570013,-252.61961,93.530744,'\'(4.8-5.4]\''
23.239792,264.421804,-10.56984,-247.406137,90.066642,'\'(5.4-6]\''
21.871298,271.367328,-10.743218,-254.368982,95.262794,'\'(5.4-6]\''
15.459766,421.717999,-8.840907,-404.485825,112.583302,'\'(4.8-5.4]\''
5.230793,236.191108,-10.23642,-213.042249,81.406388,'\'(6.6-7.2]\''
5.403825,236.189376,-10.236593,-213.024929,83.138439,'\'(6.6-7.2]\''
5.216244,256.967058,-11.272879,-235.662833,88.334591,'\'(6.6-7.2]\''
23.706406,416.270699,-10.570879,-399.029865,107.38715,'\'(5.4-6]\''
30.411175,285.27916,-8.663891,-267.94826,45.033321,'\'(5.4-6]\''
4.418981,139.246493,-13.178655,-118.195147,25.980762,'\'(6.6-7.2]\''
20.707707,144.622778,-15.249668,-125.746889,6.928203,'\'(3.6-4.2]\''
30.411175,285.27916,-8.663891,-267.94826,45.033321,'\'(5.4-6]\''
25.751265,333.298537,-11.089455,-316.02999,90.066642,'\'(4.8-5.4]\''
18.907413,281.240018,-10.572092,-263.600812,110.851252,'\'(4.8-5.4]\''
23.100362,284.558627,-8.66545,-267.099555,95.262794,'\'(4.8-5.4]\''
35.160631,295.243649,-11.25833,-278.063437,76.210236,'\'(4.8-5.4]\''
25.751265,333.298537,-11.089455,-316.02999,90.066642,'\'(4.8-5.4]\''
27.223335,189.436129,-10.916423,-172.252453,58.889727,'\'(5.4-6]\''
18.907413,281.240018,-10.572092,-263.600812,110.851252,'\'(4.8-5.4]\''
30.915375,296.856188,-10.567242,-279.397116,103.923048,'\'(5.4-6]\''
30.915375,296.856188,-10.567242,-279.397116,103.923048,'\'(5.4-6]\''
4.456047,324.46681,-10.231744,-305.014147,64.08588,'\'(4.8-5.4]\''
17.382689,283.401617,-9.533381,-266.406735,110.851252,'\'(5.4-6]\''
35.004747,442.559766,-10.738715,-425.357037,77.942286,'\'(4.8-5.4]\''
25.631234,338.712928,-10.741833,-321.000976,117.779455,'\'(4.8-5.4]\''
18.250273,260.481389,-9.878232,-243.162613,50.229473,'\'(4.8-5.4]\''
18.250273,260.481389,-9.878232,-243.162613,50.229473,'\'(4.8-5.4]\''
4.319735,178.513816,-7.804621,-160.90752,13.856406,'\'(3.6-4.2]\''
7.848615,248.169972,-8.67515,-227.348989,43.30127,'\'(5.4-6]\''
5.353942,147.977761,-10.40772,-126.058658,27.712813,'\'(5.4-6]\''
25.631234,338.712928,-10.741833,-321.000976,117.779455,'\'(4.8-5.4]\''
25.596593,340.417266,-10.915038,-322.681065,98.726896,'\'(4.8-5.4]\''
11.662591,150.837377,-8.49848,-132.138156,36.373067,'\'(4.8-5.4]\''
23.414556,239.670798,-11.780717,-222.845657,72.746134,'\'(4.8-5.4]\''
14.125221,227.537783,-11.093439,-209.508866,53.693575,'\'(4.8-5.4]\''
10.868965,253.464851,-10.227414,-236.494217,24.248711,'\'(5.4-6]\''
5.304925,274.63744,-9.365545,-256.066391,69.282032,'\'(5.4-6]\''
4.245603,248.351837,-9.887932,-227.799322,109.119201,'\'(5.4-6]\''
14.244386,218.693931,-11.095517,-199.324407,50.229473,'\'(4.8-5.4]\''
15.442619,352.226388,-9.533554,-333.870114,83.138439,'\'(6.6-7.2]\''
7.538578,311.083253,-8.846623,-290.170472,81.406388,'\'(6.6-7.2]\''
7.365373,319.746971,-8.846623,-298.830726,79.674337,'\'(5.4-6]\''
20.168,99.19455,-8.151031,-79.726299,12.124356,'\'(4.8-5.4]\''
15.442619,352.226388,-9.533554,-333.870114,83.138439,'\'(6.6-7.2]\''
25.111099,418.182883,-9.529917,-400.848518,102.190998,'\'(4.8-5.4]\''
29.56299,326.153827,-9.702602,-308.807338,79.674337,'\'(4.8-5.4]\''
16.135959,352.046255,-10.05265,-335.290395,95.262794,'\'(4.8-5.4]\''
29.458547,310.636384,-9.876327,-292.439458,76.210236,'\'(4.8-5.4]\''
4.489476,210.317733,-12.484622,-190.387025,62.353829,'\'(5.4-6]\''
21.074728,269.706292,-10.56984,-252.636931,84.87049,'\'(4.8-5.4]\''
5.63211,166.961038,-10.060271,-146.635421,51.961524,'\'(6.6-7.2]\''
5.68511,137.557743,-12.310898,-115.493148,31.176915,'\'(5.4-6]\''
6.118816,134.034752,-9.192513,-114.956212,34.641016,'\'(4.8-5.4]\''
21.074728,269.706292,-10.56984,-252.636931,84.87049,'\'(4.8-5.4]\''
4.489476,186.089807,-11.965007,-165.68798,65.817931,'\'(5.4-6]\''
9.88083,172.245525,-12.999561,-153.75415,41.569219,'\'(5.4-6]\''
5.87529,151.445326,-12.311244,-130.354144,32.908965,'\'(5.4-6]\''
4.261711,198.163933,-9.196324,-177.898938,64.08588,'\'(5.4-6]\''
4.610373,291.5284,-7.981637,-272.849964,91.798693,'\'(5.4-6]\''
10.972715,168.351874,-9.361561,-151.796933,25.980762,'\'(3.6-4.2]\''
10.256685,139.194531,-9.194245,-116.774865,32.908965,'\'(6.6-7.2]\''
9.342682,201.53104,-10.229492,-183.978437,39.837169,'\'(5.4-6]\''
16.235205,264.00438,-11.962582,-242.798882,79.674337,'\'(6.6-7.2]\''
20.19017,234.718865,-11.437078,-215.934774,100.458947,'\'(5.4-6]\''
9.342682,201.53104,-10.229492,-183.978437,39.837169,'\'(5.4-6]\''
4.506623,168.802208,-10.752745,-149.216177,71.014083,'\'(4.8-5.4]\''
15.409363,132.413552,-12.476655,-113.380046,20.78461,'\'(5.4-6]\''
26.704586,343.787837,-11.088762,-326.803346,83.138439,'\'(5.4-6]\''
26.704586,343.787837,-11.088762,-326.803346,83.138439,'\'(5.4-6]\''
4.728152,215.252346,-8.851126,-192.569409,65.817931,'\'(6.6-7.2]\''
4.207844,206.245682,-7.292973,-184.584655,74.478185,'\'(7.8-8.4]\''
4.207844,206.245682,-7.292973,-184.584655,74.478185,'\'(7.8-8.4]\''
4.728152,215.252346,-8.851126,-192.569409,65.817931,'\'(6.6-7.2]\''
27.813272,276.46129,-9.356538,-258.941596,46.765372,'\'(4.8-5.4]\''
10.553732,147.828804,-9.191647,-128.18908,24.248711,'\'(4.8-5.4]\''
26.704586,343.787837,-11.088762,-326.803346,83.138439,'\'(5.4-6]\''
25.022938,355.763236,-9.877886,-337.749907,110.851252,'\'(4.8-5.4]\''
24.8674,307.284866,-10.397155,-288.75019,124.707658,'\'(4.8-5.4]\''
17.593133,342.093891,-12.821679,-323.564411,67.549981,'\'(5.4-6]\''
6.182729,170.111638,-9.890703,-147.155037,43.30127,'\'(6.6-7.2]\''
17.765299,262.17187,-11.263873,-244.496292,34.641016,'\'(4.8-5.4]\''
19.616861,191.415863,-15.249322,-172.702786,8.660254,'\'(4.8-5.4]\''
5.110589,231.273816,-10.581791,-207.430405,50.229473,'\'(5.4-6]\''
5.095174,167.134243,-11.965527,-146.548819,29.444864,'\'(5.4-6]\''
3.741576,173.910025,-11.448509,-152.784202,6.928203,'\'(3.6-4.2]\''
10.343461,225.977205,-9.194072,-204.676444,53.693575,'\'(6.6-7.2]\''
32.924554,300.27006,-11.260062,-280.869359,57.157677,'\'(4.8-5.4]\''
15.402608,262.301774,-10.231744,-241.326639,86.60254,'\'(5.4-6]\''
11.363985,113.473577,-10.754303,-90.049321,32.908965,'\'(3.6-4.2]\''
24.590272,295.061783,-8.491899,-277.49186,98.726896,'\'(4.8-5.4]\''
3.919804,187.286654,-8.672205,-171.386427,15.588457,'\'(3.6-4.2]\''
11.803926,305.480069,-9.361735,-287.72828,71.014083,'\'(5.4-6]\''
11.786779,300.264864,-9.361561,-282.393564,72.746134,'\'(5.4-6]\''
4.059234,317.316904,-10.576595,-300.285649,105.655099,'\'(4.8-5.4]\''
40.531721,290.028444,-10.044163,-273.317617,83.138439,'\'(4.8-5.4]\''
26.669945,393.954956,-10.222737,-375.543256,110.851252,'\'(5.4-6]\''
23.308208,392.487909,-10.051091,-374.244218,110.851252,'\'(4.8-5.4]\''
23.308554,399.416112,-10.050744,-381.172421,114.315353,'\'(4.8-5.4]\''
18.715502,288.299857,-9.880657,-269.31658,84.87049,'\'(5.4-6]\''
9.391872,206.578236,-8.500213,-186.195462,72.746134,'\'(4.8-5.4]\''
8.90378,189.458646,-10.062176,-165.809224,45.033321,'\'(7.8-8.4]\''
16.932875,364.29705,-9.532861,-347.38011,93.530744,'\'(3.6-4.2]\''
16.932875,366.037761,-9.706066,-349.09484,95.262794,'\'(5.4-6]\''
40.531721,290.028444,-10.044163,-273.317617,83.138439,'\'(4.8-5.4]\''
16.199525,213.74373,-10.058365,-192.656011,48.497423,'\'(5.4-6]\''
11.144361,217.190511,-9.70953,-199.151202,58.889727,'\'(4.8-5.4]\''
8.71949,314.609709,-9.36312,-297.029393,129.903811,'\'(4.8-5.4]\''
8.563606,312.889782,-9.36312,-295.331983,131.635861,'\'(5.4-6]\''
8.71949,318.068614,-9.36312,-300.545456,129.903811,'\'(4.8-5.4]\''
15.650984,371.164632,-10.05265,-354.429557,93.530744,'\'(4.8-5.4]\''
24.834144,353.840659,-10.568974,-337.247613,90.066642,'\'(4.8-5.4]\''
15.650984,371.164632,-10.05265,-354.429557,93.530744,'\'(4.8-5.4]\''
30.065631,340.017162,-10.048666,-322.50786,95.262794,'\'(4.8-5.4]\''
24.834144,353.840659,-10.568974,-337.247613,90.066642,'\'(4.8-5.4]\''
25.144701,409.404849,-10.223776,-391.270277,91.798693,'\'(4.8-5.4]\''
26.387621,232.742595,-10.054728,-210.392212,67.549981,'\'(5.4-6]\''
6.308822,198.151809,-8.327007,-178.920848,62.353829,'\'(3.6-4.2]\''
22.685016,265.942545,-9.357924,-249.016945,77.942286,'\'(4.8-5.4]\''
16.655054,218.8706,-10.399579,-201.714637,65.817931,'\'(4.8-5.4]\''
13.989428,216.383375,-15.94041,-196.743651,34.641016,'\'(3.6-4.2]\''
6.034119,133.939489,-10.056633,-114.419276,25.980762,'\'(4.8-5.4]\''
3.815708,295.068711,-8.845583,-276.660475,39.837169,'\'(5.4-6]\''
18.955564,118.267893,-7.977826,-99.004024,20.78461,'\'(4.8-5.4]\''
4.800898,192.981637,-10.060098,-171.836761,60.621778,'\'(6.6-7.2]\''
16.655054,218.8706,-10.399579,-201.714637,65.817931,'\'(4.8-5.4]\''
11.404515,211.900828,-9.882389,-193.868447,53.693575,'\'(5.4-6]\''
4.574693,182.350309,-9.021906,-161.877468,60.621778,'\'(6.6-7.2]\''
18.075855,263.763625,-8.320599,-246.332266,95.262794,'\'(4.8-5.4]\''
14.469379,284.742225,-11.268896,-264.432197,77.942286,'\'(4.8-5.4]\''
18.075855,263.763625,-8.320599,-246.332266,95.262794,'\'(4.8-5.4]\''
32.456727,289.744387,-8.142544,-272.209105,103.923048,'\'(4.8-5.4]\''
14.469206,279.546072,-11.269069,-259.253365,74.478185,'\'(4.8-5.4]\''
14.469379,284.742225,-11.268896,-264.432197,77.942286,'\'(4.8-5.4]\''
18.545241,298.397713,-10.743738,-281.198449,57.157677,'\'(5.4-6]\''
4.574693,182.350309,-9.021906,-161.877468,60.621778,'\'(6.6-7.2]\''
3.626222,250.00941,-9.537365,-232.978154,57.157677,'\'(5.4-6]\''
5.218496,242.947839,-9.192167,-223.538477,53.693575,'\'(5.4-6]\''
33.27235,251.937182,-10.565856,-235.403025,67.549981,'\'(4.8-5.4]\''
6.43249,347.047556,-9.363813,-328.743243,71.014083,'\'(5.4-6]\''
20.121061,471.74309,-10.570879,-454.455491,114.315353,'\'(5.4-6]\''
6.43249,347.047556,-9.363813,-328.743243,71.014083,'\'(5.4-6]\''
33.27235,251.937182,-10.565856,-235.403025,67.549981,'\'(4.8-5.4]\''
18.666658,246.197166,-10.050744,-229.739219,45.033321,'\'(3.6-4.2]\''
15.930711,336.781691,-12.648128,-318.506823,65.817931,'\'(5.4-6]\''
15.91339,361.009618,-12.474923,-342.928739,84.87049,'\'(5.4-6]\''
27.154919,336.776495,-10.742352,-319.667297,95.262794,'\'(5.4-6]\''
27.154919,336.776495,-10.742352,-319.667297,95.262794,'\'(5.4-6]\''
27.154919,336.776495,-10.742352,-319.667297,95.262794,'\'(5.4-6]\''
27.154919,336.776495,-10.742352,-319.667297,95.262794,'\'(5.4-6]\''
25.144528,383.413695,-10.050744,-365.289515,93.530744,'\'(5.4-6]\''
5.164629,208.932093,-10.406508,-187.910192,69.282032,'\'(6.6-7.2]\''
29.026054,275.827359,-9.009782,-257.659878,48.497423,'\'(5.4-6]\''
25.85692,341.698983,-10.914518,-325.348424,84.87049,'\'(4.8-5.4]\''
15.682681,156.388599,-11.61444,-137.005219,39.837169,'\'(4.8-5.4]\''
6.513031,173.890973,-10.582311,-152.801522,39.837169,'\'(6.6-7.2]\''
6.986054,379.123405,-10.057326,-360.647619,111.717277,'\'(5.4-6]\''
22.096638,246.995641,-10.22343,-230.085629,69.282032,'\'(4.8-5.4]\''
5.806354,432.836033,-8.846796,-411.206182,34.641016,'\'(5.4-6]\''
5.819691,241.274677,-10.063215,-217.874671,45.033321,'\'(6.6-7.2]\''
4.608121,133.889259,-8.330298,-113.86502,20.78461,'\'(6.6-7.2]\''
4.590801,132.138156,-7.983888,-112.115649,20.78461,'\'(6.6-7.2]\''
19.980938,206.420619,-8.840387,-188.014115,31.176915,'\'(4.8-5.4]\''
10.178223,345.254884,-8.493284,-326.145167,69.282032,'\'(3.6-4.2]\''
30.15154,341.705912,-12.993845,-323.373886,71.014083,'\'(-inf-3.6]\''
22.096638,246.995641,-10.22343,-230.085629,69.282032,'\'(4.8-5.4]\''
8.541262,189.60587,-8.328913,-167.783762,8.660254,'\'(-inf-3.6]\''
4.993849,274.433058,-8.325622,-256.655289,64.08588,'\'(5.4-6]\''
4.301548,255.356251,-9.883948,-236.979191,77.942286,'\'(7.8-8.4]\''
12.111712,168.589165,-9.192513,-148.246229,13.856406,'\'(6.6-7.2]\''
12.111712,168.589165,-9.192513,-148.246229,13.856406,'\'(6.6-7.2]\''
5.51,205.112921,-9.368316,-183.07777,39.837169,'\'(5.4-6]\''
3.932448,130.626076,-8.330472,-109.569534,5.196152,'\'(3.6-4.2]\''
11.680777,187.750843,-10.229665,-168.667108,62.353829,'\'(5.4-6]\''
36.112567,270.967224,-10.219793,-253.97061,62.353829,'\'(4.8-5.4]\''
16.617988,165.300001,-10.228799,-146.306332,25.980762,'\'(4.8-5.4]\''
25.976778,400.874499,-10.742699,-382.454139,114.315353,'\'(5.4-6]\''
4.401488,289.924521,-9.021906,-270.061362,38.105118,'\'(5.4-6]\''
36.112567,270.967224,-10.219793,-253.97061,62.353829,'\'(4.8-5.4]\''
16.552344,312.311277,-10.225162,-294.950932,55.425626,'\'(5.4-6]\''
13.794745,258.271292,-7.457518,-240.287409,58.889727,'\'(4.8-5.4]\''
14.141329,251.344821,-7.457345,-233.359205,58.889727,'\'(5.4-6]\''
13.967951,254.810655,-7.630723,-236.823307,62.353829,'\'(5.4-6]\''
16.552344,312.311277,-10.225162,-294.950932,55.425626,'\'(5.4-6]\''
13.967951,254.808923,-7.284313,-236.805986,57.157677,'\'(4.8-5.4]\''
24.8674,256.882187,-8.318694,-239.577268,76.210236,'\'(4.8-5.4]\''
11.076292,213.660591,-9.708318,-196.795613,51.961524,'\'(4.8-5.4]\''
21.194413,406.314871,-10.398194,-387.788855,102.190998,'\'(4.8-5.4]\''
17.849476,293.506402,-9.707452,-274.75522,88.334591,'\'(5.4-6]\''
18.195887,288.306785,-9.880657,-269.541747,86.60254,'\'(5.4-6]\''
4.315405,104.688615,-11.619463,-84.697284,15.588457,'\'(4.8-5.4]\''
4.385379,116.712512,-10.059924,-96.873602,24.248711,'\'(3.6-4.2]\''
10.706845,182.776394,-10.406854,-159.21011,29.444864,'\'(6.6-7.2]\''
7.188011,194.672118,-10.409625,-171.507671,38.105118,'\'(7.8-8.4]\''
11.381133,198.525932,-8.849221,-175.110337,62.353829,'\'(7.8-8.4]\''
11.19563,348.864478,-10.056633,-328.829846,79.674337,'\'(3.6-4.2]\''
29.268541,340.095104,-9.875807,-322.525181,88.334591,'\'(4.8-5.4]\''
28.819247,343.457015,-10.567588,-326.855308,79.674337,'\'(4.8-5.4]\''
14.629074,312.299153,-10.918675,-295.713034,81.406388,'\'(4.8-5.4]\''
29.493015,329.753029,-9.53009,-311.405415,88.334591,'\'(5.4-6]\''
26.999035,333.329714,-10.742352,-316.133913,84.87049,'\'(6.6-7.2]\''
26.999035,333.329714,-10.742352,-316.133913,84.87049,'\'(6.6-7.2]\''
26.999035,333.329714,-10.742352,-316.133913,84.87049,'\'(6.6-7.2]\''
26.999035,333.329714,-10.742352,-316.133913,84.87049,'\'(6.6-7.2]\''
12.305355,269.075825,-8.496575,-249.484598,91.798693,'\'(5.4-6]\''
36.754118,338.591684,-11.085125,-321.226143,91.798693,'\'(4.8-5.4]\''
14.749625,272.384042,-9.014112,-253.849366,45.033321,'\'(6.6-7.2]\''
5.155969,316.005742,-14.035154,-299.852636,58.889727,'\'(-inf-3.6]\''
4.266734,303.656219,-9.191301,-285.892306,58.889727,'\'(5.4-6]\''
21.300068,294.006964,-12.648128,-275.44804,57.157677,'\'(4.8-5.4]\''
9.098809,324.761258,-10.750493,-303.455301,142.028166,'\'(6.6-7.2]\''
22.061131,253.721195,-11.263526,-234.779487,112.583302,'\'(5.4-6]\''
6.222046,212.250702,-9.886026,-192.690652,46.765372,'\'(5.4-6]\''
4.488436,150.797539,-8.848355,-130.821797,62.353829,'\'(5.4-6]\''
3.883258,128.86458,-12.657827,-109.327047,20.78461,'\'(5.4-6]\''
4.488436,150.797539,-8.848355,-130.821797,62.353829,'\'(5.4-6]\''
4.332552,291.443529,-8.67515,-271.01399,72.746134,'\'(5.4-6]\''
13.916855,282.838701,-10.920754,-264.466838,71.014083,'\'(5.4-6]\''
13.916855,282.838701,-10.920754,-264.466838,71.014083,'\'(5.4-6]\''
13.743823,282.840433,-10.747375,-264.466838,69.282032,'\'(4.8-5.4]\''
13.743823,288.036585,-10.92058,-269.66299,71.014083,'\'(5.4-6]\''
10.67411,232.624816,-9.019308,-213.354018,51.961524,'\'(6.6-7.2]\''
10.483757,256.857939,-9.019135,-237.62005,62.353829,'\'(5.4-6]\''
5.822635,173.733356,-8.847835,-152.05674,27.712813,'\'(6.6-7.2]\''
16.336357,284.354245,-6.942406,-261.522351,60.621778,'\'(7.8-8.4]\''
8.842812,258.858457,-11.785913,-239.975639,64.08588,'\'(5.4-6]\''
13.690303,287.949983,-8.150858,-269.108734,88.334591,'\'(5.4-6]\''
13.517098,289.685498,-8.324063,-270.858105,86.60254,'\'(4.8-5.4]\''
4.665106,221.238314,-10.057326,-203.446688,72.746134,'\'(5.4-6]\''
10.448943,232.737399,-10.058539,-213.07689,58.889727,'\'(5.4-6]\''
15.664321,234.48677,-9.710223,-214.999467,62.353829,'\'(4.8-5.4]\''
16.131109,231.228783,-8.498654,-209.699391,32.908965,'\'(6.6-7.2]\''
7.8694,120.0138,-8.844891,-100.995883,17.320508,'\'(5.4-6]\''
4.040355,113.070009,-8.672898,-93.686628,25.980762,'\'(6.6-7.2]\''
15.664321,234.48677,-9.710223,-214.999467,62.353829,'\'(4.8-5.4]\''
10.448943,232.737399,-10.058539,-213.07689,58.889727,'\'(5.4-6]\''
18.592873,238.106757,-10.055248,-218.654094,60.621778,'\'(5.4-6]\''
6.067374,359.497537,-12.656095,-337.83651,19.052559,'\'(4.8-5.4]\''
