@relation 'winequality-white_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A12-M-1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R10-precision6'

@attribute '-0.512density+0.437alcohol-0.427residual sugar-0.407total sulfur dioxide-0.3free sulfur dioxide-0.212chlorides-0.157fixed acidity-0.144citric acid+0.129pH-0.043sulphates-0.005volatile acidity' numeric
@attribute '0.588fixed acidity-0.581pH+0.345citric acid-0.29free sulfur dioxide-0.244total sulfur dioxide-0.223sulphates-0.052volatile acidity+0.036alcohol+0.009chlorides-0.009residual sugar-0.006density' numeric
@attribute '-0.591volatile acidity+0.504citric acid+0.433sulphates+0.279free sulfur dioxide-0.214residual sugar-0.129density+0.127pH+0.124total sulfur dioxide+0.121fixed acidity+0.106alcohol-0.102chlorides' numeric
@attribute '-0.711chlorides-0.442sulphates+0.306free sulfur dioxide-0.274volatile acidity+0.274residual sugar-0.149citric acid+0.141alcohol-0.098pH+0.06 total sulfur dioxide+0.022density-0.019fixed acidity' numeric
@attribute '0.643volatile acidity+0.401sulphates+0.337alcohol-0.329chlorides+0.293total sulfur dioxide+0.251fixed acidity+0.177free sulfur dioxide-0.12pH-0.085density+0.054citric acid+0.011residual sugar' numeric
@attribute '0.494free sulfur dioxide-0.481sulphates+0.396chlorides-0.328density-0.289residual sugar+0.276total sulfur dioxide-0.193pH+0.139alcohol+0.132citric acid+0.122volatile acidity-0.104fixed acidity' numeric
@attribute '0.705citric acid+0.427pH-0.309sulphates+0.269volatile acidity+0.213residual sugar-0.198fixed acidity-0.167free sulfur dioxide+0.129alcohol+0.11 density-0.079chlorides-0.068total sulfur dioxide' numeric
@attribute '-0.588fixed acidity-0.534pH+0.388residual sugar+0.27 sulphates-0.247total sulfur dioxide+0.196alcohol+0.152citric acid+0.1  chlorides+0.082free sulfur dioxide-0.069density-0.028volatile acidity' numeric
@attribute '0.621alcohol+0.409residual sugar+0.394chlorides+0.331fixed acidity+0.261pH-0.202citric acid-0.155total sulfur dioxide-0.146volatile acidity+0.144free sulfur dioxide+0.088density-0.012sulphates' numeric
@attribute quality {'\'(-inf-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-6]\'','\'(6-6.6]\'','\'(6.6-7.2]\'','\'(7.2-7.8]\'','\'(7.8-8.4]\'','\'(8.4-inf)\''}

@data
0.977699,0.933957,0.415445,-0.476345,1.28536,0.114255,0.184124,-0.515791,-0.743672,'\'(5.4-6]\''
-0.295192,-0.941306,-1.208056,0.08083,-0.320276,-0.657701,-0.879217,-0.18787,-0.209661,'\'(4.8-5.4]\''
3.043663,-0.036687,-1.570783,-0.61938,2.342518,1.126774,2.762114,0.134239,-0.328978,'\'(7.8-8.4]\''
1.727856,0.651054,-0.633354,0.175408,-0.48691,0.469748,0.831177,0.071917,-0.583226,'\'(6.6-7.2]\''
0.743791,-0.841486,0.927568,-0.487164,-0.440039,0.255271,1.010521,-1.068354,0.100427,'\'(7.8-8.4]\''
-0.391848,0.247932,-3.137141,-2.298988,2.151197,0.846162,-1.098932,-0.990333,-0.895917,'\'(4.8-5.4]\''
0.471491,-0.507398,0.235495,-1.008341,-0.800331,-0.419118,1.1221,-1.172757,-0.514556,'\'(5.4-6]\''
-1.860216,-1.158793,0.684946,0.666379,0.723418,0.786574,-0.266888,-0.677904,0.214775,'\'(5.4-6]\''
0.536164,-0.853682,0.542994,-0.447546,-0.774241,0.355828,0.505048,-1.532512,-0.137971,'\'(5.4-6]\''
-0.516895,-0.522408,0.297017,-0.443604,-0.084128,-0.714231,0.911063,-0.495001,0.58523,'\'(5.4-6]\''
1.379966,1.188517,0.841854,-0.728705,0.281117,0.240639,0.684648,-0.417046,-0.080676,'\'(5.4-6]\''
1.661724,0.375058,1.177716,-0.594809,1.841668,-0.290836,-0.718833,0.732283,0.175686,'\'(6.6-7.2]\''
-1.220877,1.4117,0.263836,-0.193787,0.067252,-1.481582,0.151568,-0.968243,0.610714,'\'(5.4-6]\''
1.857581,1.192182,0.446726,-0.339524,-1.935692,-1.471101,0.524677,-2.232662,0.673975,'\'(5.4-6]\''
1.105765,0.873881,0.256551,-0.260948,-0.429653,0.33899,-0.05217,-0.482037,0.133185,'\'(5.4-6]\''
0.285129,-1.333647,1.278077,-0.096048,-1.792449,-0.294574,-0.041301,-0.717857,-0.671623,'\'(5.4-6]\''
-0.783834,-1.614158,-1.53913,0.875185,-0.950961,-0.671414,0.759782,-0.111385,0.452439,'\'(4.8-5.4]\''
1.709187,1.139915,0.296262,-1.272301,-0.113842,1.361339,0.605332,-0.098343,1.24491,'\'(4.8-5.4]\''
0.319393,-0.422783,-1.766,-0.117291,-0.20935,0.519931,0.245452,-0.660228,-0.412741,'\'(4.8-5.4]\''
1.17033,0.662868,-0.751493,0.309872,-0.133372,1.944828,0.099478,-0.585751,-0.092594,'\'(5.4-6]\''
-3.119976,0.348878,-0.722918,0.786378,-1.219216,-0.485871,0.879535,-0.133301,0.571578,'\'(4.8-5.4]\''
-3.119976,0.348878,-0.722918,0.786378,-1.219216,-0.485871,0.879535,-0.133301,0.571578,'\'(4.8-5.4]\''
-1.966412,0.071407,-0.061717,-3.301123,-2.502609,4.020419,-0.691837,0.290721,1.345004,'\'(5.4-6]\''
-2.001689,0.149256,-0.229175,-3.256738,-2.522157,4.118449,-0.624604,0.316894,1.369175,'\'(5.4-6]\''
-0.855643,0.14028,-0.965674,-0.718633,-0.354496,0.200417,-0.495049,-0.191019,0.075936,'\'(5.4-6]\''
0.095055,-0.653766,0.313081,-0.881512,-0.497557,0.042213,-0.895268,-0.406324,-0.689276,'\'(5.4-6]\''
0.057647,-0.694814,0.352991,-0.951939,-0.583223,0.048638,-0.961236,-0.554413,-0.537567,'\'(5.4-6]\''
-0.150935,0.181695,0.959771,-0.496243,-0.395994,0.468654,-1.133941,-0.727968,-0.207245,'\'(6.6-7.2]\''
-1.124802,-2.000628,-0.631361,-0.687542,1.203922,1.568938,-0.271618,-0.34964,-0.465842,'\'(3.6-4.2]\''
-1.134386,-1.944544,-0.771688,-0.804391,1.23329,1.6385,-0.366179,-0.288895,-0.459244,'\'(4.8-5.4]\''
-0.855643,0.14028,-0.965674,-0.718633,-0.354496,0.200417,-0.495049,-0.191019,0.075936,'\'(5.4-6]\''
-0.434339,-0.542179,0.532008,-0.736681,-1.212865,-0.017688,0.19772,-0.84626,0.285154,'\'(4.8-5.4]\''
0.936114,-0.380159,0.772243,-0.345429,-0.443868,0.883717,-0.099971,-1.208411,0.861857,'\'(5.4-6]\''
1.12103,-0.991994,0.707645,-1.237241,-0.278844,0.435911,-0.449932,-0.256706,0.493337,'\'(6.6-7.2]\''
2.040412,-0.257029,0.513766,-0.594758,-1.686619,-0.012413,0.162597,-0.015017,0.117755,'\'(6.6-7.2]\''
1.55273,-0.279306,0.5106,0.500565,-1.324921,0.955368,0.380051,-0.489885,-0.035612,'\'(5.4-6]\''
-1.199557,1.480646,0.690077,-3.304659,-2.586556,2.967737,0.399743,0.503057,0.119337,'\'(5.4-6]\''
0.740022,0.088882,0.782068,-0.083758,0.604718,0.660175,-0.519519,-0.331822,-0.698776,'\'(5.4-6]\''
-2.033268,0.151366,0.284003,0.630445,0.057992,-0.207393,-0.444956,-0.055664,-0.207226,'\'(5.4-6]\''
-1.589506,-1.301596,-0.587629,1.146934,-1.734314,-0.028422,0.233438,-0.014919,0.019602,'\'(5.4-6]\''
1.211262,0.278342,-2.132603,0.078076,-0.393233,-0.039098,-0.605127,0.061525,-0.293874,'\'(5.4-6]\''
0.722204,0.124431,0.547239,0.647282,-1.10841,0.595147,0.356509,-1.584581,-0.141167,'\'(5.4-6]\''
-0.944199,0.532987,-0.801865,-1.419794,-1.823755,0.495912,-1.374219,0.257125,-0.26203,'\'(5.4-6]\''
-1.589506,-1.301596,-0.587629,1.146934,-1.734314,-0.028422,0.233438,-0.014919,0.019602,'\'(5.4-6]\''
1.456609,0.439856,-2.774727,0.218744,0.884199,0.760303,-1.269338,-0.796137,-0.973438,'\'(4.8-5.4]\''
1.211262,0.278342,-2.132603,0.078076,-0.393233,-0.039098,-0.605127,0.061525,-0.293874,'\'(5.4-6]\''
0.87227,0.451977,0.028486,0.163939,-0.317222,0.049524,-0.769141,-0.592737,-0.43205,'\'(5.4-6]\''
0.64094,-1.390825,-1.683747,-1.201613,-0.570006,-0.184273,-1.838066,-0.387694,-0.611952,'\'(4.8-5.4]\''
1.94274,-0.408418,-0.135167,0.384222,0.260513,0.093961,-0.195159,0.527643,0.882095,'\'(6.6-7.2]\''
-0.312496,-1.347832,0.10944,1.282481,0.118724,2.029335,-2.032179,-0.609634,-0.422408,'\'(4.8-5.4]\''
1.292522,-0.640968,0.895394,-0.89298,-0.218862,-0.883688,-0.33303,-0.098216,0.098405,'\'(7.8-8.4]\''
-0.557192,1.167615,-1.151677,0.383482,-1.319573,-0.61826,0.033175,-0.33333,0.183406,'\'(4.8-5.4]\''
-2.334488,-0.746493,0.567915,-0.142009,0.186146,1.02011,0.014196,0.262908,-1.256131,'\'(5.4-6]\''
-1.683176,-1.926912,0.342103,-0.721881,0.645275,0.448377,-0.941371,-1.083137,-0.227788,'\'(4.8-5.4]\''
-0.576306,-3.403099,0.908474,-1.745884,-0.040128,-1.167822,0.533771,-1.286922,0.341131,'\'(4.8-5.4]\''
0.283338,3.317652,0.296899,-1.195327,-0.799605,-0.738601,-0.517194,-0.544135,-0.848648,'\'(5.4-6]\''
1.292522,-0.640968,0.895394,-0.89298,-0.218862,-0.883688,-0.33303,-0.098216,0.098405,'\'(7.8-8.4]\''
-0.557192,1.167615,-1.151677,0.383482,-1.319573,-0.61826,0.033175,-0.33333,0.183406,'\'(4.8-5.4]\''
2.549942,0.700518,0.697574,0.537573,-0.669063,0.778058,0.355226,-0.319526,1.008372,'\'(6.6-7.2]\''
2.418015,0.030861,0.53867,-1.199393,0.672745,-0.987671,0.135001,0.068119,0.491795,'\'(6.6-7.2]\''
-0.957416,1.477087,-0.067661,-0.618296,-1.037059,-0.873522,-1.350275,0.836303,-0.003634,'\'(4.8-5.4]\''
0.025524,-0.079863,-2.694731,-1.218686,0.078183,0.09248,0.948909,-0.75336,-0.757535,'\'(4.8-5.4]\''
0.937522,-1.222021,1.605856,-1.587641,0.17877,-1.176946,-0.687034,-0.199091,0.238971,'\'(5.4-6]\''
-2.696163,-0.560042,0.561169,0.344205,-0.228959,-1.085331,-0.251904,0.399507,0.577379,'\'(5.4-6]\''
-0.753189,-0.392683,-1.036879,-0.110625,0.057664,0.930658,-0.800722,-0.58948,0.256093,'\'(4.8-5.4]\''
-1.646674,-0.79085,0.298824,0.392668,-0.293737,-0.055037,-0.092479,-1.352878,0.102813,'\'(5.4-6]\''
-2.592262,0.775021,-0.092856,-0.058102,0.82568,0.477545,1.796397,0.352584,-1.011905,'\'(4.8-5.4]\''
-2.543313,0.791167,-0.10473,-0.149714,0.891779,0.338915,1.914399,0.351636,-1.047902,'\'(5.4-6]\''
-2.596052,0.996915,0.242515,0.084356,0.62063,0.569429,1.711768,0.299488,-1.059486,'\'(5.4-6]\''
-2.58778,-1.1767,0.267029,0.986625,0.16131,0.582927,-0.212838,0.01719,0.485194,'\'(5.4-6]\''
-2.592262,0.775021,-0.092856,-0.058102,0.82568,0.477545,1.796397,0.352584,-1.011905,'\'(4.8-5.4]\''
-2.543313,0.791167,-0.10473,-0.149714,0.891779,0.338915,1.914399,0.351636,-1.047902,'\'(5.4-6]\''
-2.596052,0.996915,0.242515,0.084356,0.62063,0.569429,1.711768,0.299488,-1.059486,'\'(5.4-6]\''
-2.498125,-1.10207,0.735984,0.518472,0.271856,1.5425,0.053845,0.197375,-1.256279,'\'(4.8-5.4]\''
1.839679,-0.175243,0.7197,0.923054,0.338112,1.304744,0.110061,-0.406086,0.683038,'\'(6.6-7.2]\''
1.829581,-0.158298,0.946376,1.027538,0.218379,1.255193,-0.031109,-0.328405,0.703721,'\'(6.6-7.2]\''
0.787017,0.19401,1.198266,0.801903,-0.05177,1.015809,-0.658338,-0.785412,0.517606,'\'(6.6-7.2]\''
-2.983412,-0.333326,-0.178302,1.341649,0.386442,0.982276,-0.79149,-0.149544,-0.323014,'\'(5.4-6]\''
-2.432545,0.40643,0.075393,-0.349954,-0.123163,-0.706237,2.512485,1.355868,-1.2053,'\'(5.4-6]\''
1.740793,3.183639,-0.292473,0.359357,0.051361,0.162446,-0.507953,-0.651222,0.037075,'\'(6.6-7.2]\''
-0.489243,4.713315,-1.419478,0.284256,0.28451,-0.807373,0.541105,-0.965201,0.293043,'\'(3.6-4.2]\''
-2.432545,0.40643,0.075393,-0.349954,-0.123163,-0.706237,2.512485,1.355868,-1.2053,'\'(5.4-6]\''
-2.925963,0.670659,-0.161463,0.496381,-0.168036,0.534773,-0.415297,0.292591,0.038047,'\'(4.8-5.4]\''
-1.660374,-1.11249,0.955101,0.957563,-1.412592,0.417582,0.001044,-1.025837,0.788864,'\'(4.8-5.4]\''
-1.577224,-1.748246,-0.453937,1.063606,-1.26094,0.184123,0.151393,-0.120544,0.329022,'\'(4.8-5.4]\''
-3.555862,1.042167,-0.812892,0.392725,-0.001989,-0.436607,0.226204,0.752518,0.380787,'\'(4.8-5.4]\''
-2.925963,0.670659,-0.161463,0.496381,-0.168036,0.534773,-0.415297,0.292591,0.038047,'\'(4.8-5.4]\''
-1.460713,0.707417,-0.376111,1.016,-2.051585,-0.785078,0.191379,-0.144899,0.718691,'\'(5.4-6]\''
-1.660374,-1.11249,0.955101,0.957563,-1.412592,0.417582,0.001044,-1.025837,0.788864,'\'(4.8-5.4]\''
-3.021354,-0.526093,0.505064,0.834786,0.209411,-0.91344,-0.258792,0.535897,0.314236,'\'(5.4-6]\''
-3.021354,-0.526093,0.505064,0.834786,0.209411,-0.91344,-0.258792,0.535897,0.314236,'\'(5.4-6]\''
0.115236,-0.980007,0.363587,-0.934463,0.88276,0.301044,-0.652853,-0.786368,-0.462665,'\'(4.8-5.4]\''
-2.590961,1.065017,0.868372,-0.067339,-1.412582,2.07083,-0.054878,1.360815,-0.665846,'\'(5.4-6]\''
-4.335731,0.202254,0.164681,0.503143,0.557254,-0.241547,0.395475,0.463086,-0.195107,'\'(4.8-5.4]\''
-3.389116,0.484255,0.399287,0.48311,0.564724,0.993075,0.377741,0.640067,-0.22242,'\'(4.8-5.4]\''
-1.209963,-0.329716,-1.112299,-0.652517,0.348327,-0.613668,0.561114,-0.143711,-0.651676,'\'(4.8-5.4]\''
-1.209963,-0.329716,-1.112299,-0.652517,0.348327,-0.613668,0.561114,-0.143711,-0.651676,'\'(4.8-5.4]\''
1.812362,-2.866281,-3.274917,-1.584301,-0.950161,-0.620094,0.377674,-1.649583,-0.061071,'\'(3.6-4.2]\''
1.565551,-1.070611,-0.610503,0.042783,-0.085993,0.292006,0.182177,-0.229365,-0.127854,'\'(5.4-6]\''
2.238527,1.172562,0.85443,0.361592,-1.037317,-0.191157,0.317347,-0.069714,0.178349,'\'(5.4-6]\''
-3.389116,0.484255,0.399287,0.48311,0.564724,0.993075,0.377741,0.640067,-0.22242,'\'(4.8-5.4]\''
-3.224385,0.501314,0.214199,0.016286,0.563118,0.56539,0.359939,0.466983,-0.140277,'\'(4.8-5.4]\''
1.339166,-1.174912,-2.096889,-0.354428,-0.424628,-0.903543,-1.101071,0.350687,-0.111532,'\'(4.8-5.4]\''
-2.369382,1.048072,-0.169667,0.023069,-0.28871,-0.824243,-0.916139,0.225809,0.073504,'\'(4.8-5.4]\''
-0.433408,0.366352,-0.107059,0.275687,-1.759044,0.084271,0.09127,-1.130815,0.505505,'\'(4.8-5.4]\''
-0.204566,0.067747,-0.608148,-0.255768,-1.886732,-0.312229,0.06569,-1.19174,-0.354292,'\'(5.4-6]\''
-0.361014,0.132563,1.007067,-1.005707,-2.175947,1.972255,0.348139,-0.18665,-0.121208,'\'(5.4-6]\''
0.836536,-0.762562,1.582556,1.093529,0.122156,1.020698,-0.273593,-0.393933,-0.236547,'\'(5.4-6]\''
0.304111,0.519219,-1.42247,0.429284,0.660952,-0.217291,-0.233248,-0.509549,-0.048162,'\'(4.8-5.4]\''
-1.172374,-1.993755,0.760381,0.32332,0.036586,-0.271721,0.334947,-0.995051,-0.141097,'\'(6.6-7.2]\''
0.075481,-0.891908,1.677597,-0.538546,0.77963,0.883542,1.307658,0.234824,-0.74231,'\'(6.6-7.2]\''
0.042848,-0.941068,1.679045,-0.626333,0.765457,0.916112,1.326324,0.167075,-0.723697,'\'(5.4-6]\''
1.759812,-0.64198,-1.43902,0.951962,-1.512574,-1.76056,1.303266,0.247371,0.033524,'\'(4.8-5.4]\''
-1.172374,-1.993755,0.760381,0.32332,0.036586,-0.271721,0.334947,-0.995051,-0.141097,'\'(6.6-7.2]\''
-3.105242,-1.512134,-0.152964,0.232059,1.669022,0.139139,0.658449,-0.00471,-0.819317,'\'(4.8-5.4]\''
-2.370399,-1.11434,-0.279579,1.077923,-0.160245,-0.940722,-0.058538,0.100247,0.084136,'\'(4.8-5.4]\''
-1.787458,-1.191314,-0.052375,0.797016,0.31495,0.015053,-1.025717,-0.547267,-0.71534,'\'(4.8-5.4]\''
-2.126511,-1.021952,-0.080062,0.695404,0.258254,-1.123982,0.209733,0.230438,0.261388,'\'(4.8-5.4]\''
0.843248,1.725225,0.647775,0.815019,0.057026,0.50517,-0.140827,-1.163065,-0.273574,'\'(5.4-6]\''
-2.433448,0.891416,0.481454,-0.121465,0.337338,0.366196,2.152548,0.118651,-1.081897,'\'(4.8-5.4]\''
1.413882,0.480669,0.929553,0.00797,-0.412146,-0.315921,-0.402014,0.276683,-0.379455,'\'(6.6-7.2]\''
1.892773,1.483966,0.546416,-0.202109,0.533505,-0.872253,0.282556,-0.788494,0.464264,'\'(5.4-6]\''
1.546446,-0.085071,-0.5953,-0.531071,-0.887434,-0.286872,0.719789,-0.211919,-0.52952,'\'(4.8-5.4]\''
-2.433448,0.891416,0.481454,-0.121465,0.337338,0.366196,2.152548,0.118651,-1.081897,'\'(4.8-5.4]\''
0.933847,0.921873,1.349047,-0.164872,0.101651,-0.076086,-0.332322,-0.725381,0.111686,'\'(5.4-6]\''
0.027429,1.744097,0.83224,-0.236411,-0.253358,-1.168837,-0.197158,-1.083408,-0.090303,'\'(5.4-6]\''
1.424216,1.861141,0.99593,-0.298828,-0.027995,-0.727571,-0.355999,-0.405385,0.193828,'\'(5.4-6]\''
1.384691,0.783841,0.061458,0.456226,-0.368234,1.25912,-0.254609,0.72875,-0.895662,'\'(5.4-6]\''
0.515498,-1.587077,0.524432,0.917179,-1.295951,1.485033,-0.361629,-0.27298,-0.708958,'\'(5.4-6]\''
0.527494,-0.972908,-3.702344,-1.285773,0.061245,-0.328667,0.766277,-1.159854,-0.597599,'\'(3.6-4.2]\''
2.272092,-0.684286,-0.035754,-0.560546,0.465345,-1.028597,0.859881,0.26014,0.421874,'\'(6.6-7.2]\''
0.059646,1.239728,-0.857829,-0.100624,-1.12591,0.293174,-0.636925,0.130705,-0.838852,'\'(5.4-6]\''
-0.210444,1.247648,0.253211,1.278142,-0.04337,1.092219,0.163463,-0.561925,0.91631,'\'(6.6-7.2]\''
-1.77355,0.836291,0.926022,0.617804,-0.68457,0.455215,0.268363,-0.004013,0.595914,'\'(5.4-6]\''
0.059646,1.239728,-0.857829,-0.100624,-1.12591,0.293174,-0.636925,0.130705,-0.838852,'\'(5.4-6]\''
0.858717,0.922007,1.013313,0.014099,-0.833723,0.604217,-0.236656,-0.129519,-0.228585,'\'(4.8-5.4]\''
-0.414763,1.686164,1.163643,-1.879495,0.438291,-2.925358,-0.998011,0.603071,0.070504,'\'(5.4-6]\''
-3.297825,1.309741,-0.194526,0.35939,-0.347949,0.738778,-0.38514,0.670411,-0.215736,'\'(5.4-6]\''
-3.297825,1.309741,-0.194526,0.35939,-0.347949,0.738778,-0.38514,0.670411,-0.215736,'\'(5.4-6]\''
2.353859,-0.966679,-0.326215,0.490154,0.375434,0.968143,0.084601,-0.054164,0.31645,'\'(6.6-7.2]\''
2.777263,-2.383732,-2.212546,0.772348,0.358582,1.424064,-0.199631,-0.165875,0.143746,'\'(7.8-8.4]\''
2.777263,-2.383732,-2.212546,0.772348,0.358582,1.424064,-0.199631,-0.165875,0.143746,'\'(7.8-8.4]\''
2.353859,-0.966679,-0.326215,0.490154,0.375434,0.968143,0.084601,-0.054164,0.31645,'\'(6.6-7.2]\''
-2.330168,1.298463,-0.05385,0.258875,-1.120965,-0.121237,1.274481,1.327153,-0.744386,'\'(4.8-5.4]\''
1.417775,-0.005675,-1.41474,-0.486744,-0.677055,-0.283484,0.872735,-0.106352,-0.147295,'\'(4.8-5.4]\''
-3.297825,1.309741,-0.194526,0.35939,-0.347949,0.738778,-0.38514,0.670411,-0.215736,'\'(5.4-6]\''
-2.643992,-0.833474,0.42171,0.814011,0.130413,0.516862,-0.227575,0.350911,0.094343,'\'(4.8-5.4]\''
-2.501192,-0.57689,0.601798,0.956442,0.068826,0.5946,-0.213854,0.33958,0.564785,'\'(4.8-5.4]\''
-2.260567,0.993103,1.034534,-0.400738,0.921352,-0.498316,-0.070512,-0.868706,-0.004654,'\'(5.4-6]\''
2.646842,0.352587,-1.70355,0.092835,1.43473,0.593465,-0.452545,0.387403,0.199529,'\'(6.6-7.2]\''
-1.264821,0.840279,-0.56753,-0.67858,-0.098401,-0.946979,-0.524005,-0.148293,-0.250906,'\'(4.8-5.4]\''
-0.781502,4.660186,-1.618238,0.289645,0.878909,-0.508935,0.719828,-1.150832,-0.119546,'\'(4.8-5.4]\''
1.467508,0.908935,0.893913,-1.186732,0.776334,1.059852,0.299387,0.487603,0.66969,'\'(5.4-6]\''
1.379067,2.10549,0.650344,-0.090284,-0.787151,0.153869,0.308972,-0.677144,0.020606,'\'(5.4-6]\''
2.156795,2.116197,-1.546017,-0.680079,1.179425,0.336009,0.512329,-0.374488,-0.723618,'\'(3.6-4.2]\''
1.308849,-0.238999,0.389896,0.728205,-0.839515,0.708847,1.450477,-0.367123,0.140816,'\'(6.6-7.2]\''
-2.488384,0.273317,-0.152872,-0.03132,0.668434,-1.595479,-0.424994,0.73721,0.967579,'\'(4.8-5.4]\''
0.05639,0.675067,0.055521,1.572995,-0.364675,1.621775,0.564114,0.047811,0.336723,'\'(5.4-6]\''
2.042041,2.139387,-0.174516,-0.068746,0.280573,0.353915,0.926245,0.93219,0.538645,'\'(3.6-4.2]\''
-1.915378,-1.494736,-0.39661,0.935635,-1.090695,0.46505,0.405472,0.280837,0.194478,'\'(4.8-5.4]\''
1.008815,-0.388115,-4.601972,-1.603767,0.517054,0.469602,-0.32361,-0.45067,-1.799696,'\'(3.6-4.2]\''
-1.017931,-1.070878,0.835431,-0.774221,0.224704,-0.533415,-0.82751,0.274859,-0.867168,'\'(5.4-6]\''
-0.963288,-1.099009,0.265398,-0.843612,0.68944,-0.371116,-0.605166,0.223663,-0.909457,'\'(5.4-6]\''
